,users,catchingUpRatio,order,freq,ordinary-late,features,prediction
16,1496b095-5b5f-4c47-5066-49bcf5d6,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
17,14a5fec5-bb5b-cac7-e40e-9a363e5c,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]",1
18,16ba8f74-d9b7-c724-98c5-f31f43be,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]",3
19,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,0.875,0.8571428571428571,0.125,ordinary,"[0.875,0.8571428571428571,0.125]",1
20,195b9f52-3731-37a7-2c74-19d11cb6,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
21,196bc15c-4aac-31e9-7c5d-3599ce10,0.0,0.0,0.2,ordinary,"[0.0,0.0,0.2]",2
22,1acb1c12-47e9-e408-eaf9-8167947a,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
23,1b1cd7ac-2f24-1493-5d7e-d7873af1,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",3
24,1beb31a1-0aea-018e-a7e1-82085ffa,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
25,1c09a110-d9c3-2442-9f5d-aee802c0,0.75,0.6666666666666666,0.25,ordinary,"[0.75,0.6666666666666666,0.25]",1
26,1cb07e56-7b73-0087-0a17-3e9c1f88,0.5,0.8571428571428571,0.5,ordinary,"[0.5,0.8571428571428571,0.5]",1
27,1d3ed189-1162-0dd0-bcb2-fda83a50,0.0,0.8,0.8333333333333334,ordinary,"[0.0,0.8,0.8333333333333334]",3
28,1d66d118-9cc1-c6cd-c61c-02ca2ddc,0.6,0.75,0.4,ordinary,"[0.6,0.75,0.4]",1
29,1d90b45b-4d8d-42a1-43cd-38e1a241,0.0,0.75,0.8,ordinary,"[0.0,0.75,0.8]",3
30,1e81aa64-c3c9-ee4f-ce3c-c4248be0,0.0,0.0,0.0,ordinary,"(3,[],[])",2
31,1f7f3fd7-7087-1461-cf43-9add2172,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]",3
32,1f96865d-62d4-b049-1788-cfccf324,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
33,20e2fc85-7d0f-8a2c-b651-4b811a97,0.16666666666666666,0.4,0.3333333333333333,ordinary,"[0.16666666666666666,0.4,0.3333333333333333]",2
34,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,0.9166666666666666,0.9090909090909092,0.08333333333333333,ordinary,"[0.9166666666666666,0.9090909090909092,0.08333333333333333]",1
35,258d2e1f-e3e8-2612-8285-895fb96d,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",3
36,269144fa-ef0e-c81e-52ff-df9a348a,0.6923076923076923,0.8333333333333334,0.2307692307692308,ordinary,"[0.6923076923076923,0.8333333333333334,0.2307692307692308]",1
37,270174bf-baf8-aab4-48e3-139fcf47,0.0,0.3333333333333333,0.0,ordinary,"[0.0,0.3333333333333333,0.0]",2
38,27080783-250a-3521-f816-6e7b29cf,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
39,2c1d08f2-a1ba-6915-db46-1a7721b9,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
40,2ee1d86b-74ed-47f3-5733-61cc4821,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
41,2f7f0e40-1234-75db-2bcf-bdfbdfbc,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
42,31a88be4-13ad-06c2-119c-3551a490,0.2,1.0,0.1,ordinary,"[0.2,1.0,0.1]",0
43,3244a4c0-3f85-3017-5694-2f5647cb,0.0,0.8333333333333334,0.8571428571428571,ordinary,"[0.0,0.8333333333333334,0.8571428571428571]",3
44,3447bacb-f54d-55c2-592f-3a3ff765,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
45,34a3d1d8-74eb-8a4e-0506-b9ca1551,0.0,1.0,0.25,ordinary,"[0.0,1.0,0.25]",0
46,35813a40-7aa6-5336-237b-c93f1759,0.875,0.8571428571428571,0.0,ordinary,"[0.875,0.8571428571428571,0.0]",1
47,35ce5334-aefb-9a61-d1c3-7f01a776,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",1
48,35daa597-4591-5a82-57a9-1fba2635,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",3
49,367365a7-8d2a-3b00-f3e3-f877be3c,0.7142857142857143,0.8333333333333334,0.2857142857142857,ordinary,"[0.7142857142857143,0.8333333333333334,0.2857142857142857]",1
50,3681eecc-7864-c1c1-0024-4d4234be,0.9,1.0,0.1,ordinary,"[0.9,1.0,0.1]",1
51,36a67ef1-5f22-7846-3f95-faec67c9,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
52,37ada581-75c2-560e-2eb3-3db3a231,0.8,0.5,0.2,ordinary,"[0.8,0.5,0.2]",1
53,37d73652-37e1-cc5f-6c84-3b9a528c,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]",3
54,380773a6-f975-22c8-187e-e40fe702,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]",3
55,3be7d5a2-f78e-3472-e5ac-fa27ed08,0.0,0.4,0.0,ordinary,"[0.0,0.4,0.0]",2
56,3c370e25-1bd5-c34b-ec40-31117752,0.75,0.3333333333333333,0.25,ordinary,"[0.75,0.3333333333333333,0.25]",1
57,3d524e1d-934c-6d53-022b-983c91c3,0.2,1.0,0.4,ordinary,"[0.2,1.0,0.4]",0
58,3d7d0f75-dda5-644d-e527-018ff340,0.09090909090909091,0.7,0.09090909090909093,ordinary,"[0.09090909090909091,0.7,0.09090909090909093]",0
59,3dc06a27-afe4-b105-1f3c-997851c7,0.7272727272727273,0.7,0.18181818181818185,ordinary,"[0.7272727272727273,0.7,0.18181818181818185]",1
60,3e4346e0-6285-8776-f373-101eac22,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
61,3e713aeb-dcb2-d6a8-962f-635df3e8,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
62,3fc2e2fe-697a-3255-1a17-4204819d,0.5,0.7142857142857143,0.5,ordinary,"[0.5,0.7142857142857143,0.5]",1
63,404bc704-6703-c3c0-815e-55c756c5,0.0,0.8571428571428571,0.625,ordinary,"[0.0,0.8571428571428571,0.625]",3
64,4196e8ee-e405-a1e1-4a7f-7d9149a5,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
65,42779e7e-90bc-7eac-5aa8-a9874f90,0.2727272727272727,1.0,0.3636363636363637,ordinary,"[0.2727272727272727,1.0,0.3636363636363637]",0
66,440d90ef-c7d7-0530-608e-8c0fc440,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]",3
67,459f5319-edaf-cd53-126d-fdfb12a5,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
68,45d78fe4-7d30-3b18-371e-57bb06c7,0.8888888888888888,1.0,0.1111111111111111,ordinary,"[0.8888888888888888,1.0,0.1111111111111111]",1
69,4641102c-f3d3-3878-6d00-1c49a28c,0.09090909090909091,0.7,0.2727272727272727,ordinary,"[0.09090909090909091,0.7,0.2727272727272727]",0
70,4a97a9b2-74fe-c9f3-625f-0176bddf,0.0,0.8,0.3333333333333333,ordinary,"[0.0,0.8,0.3333333333333333]",0
71,4b21d918-4ac0-0787-3094-37c9432c,0.5454545454545454,0.6,0.2727272727272727,ordinary,"[0.5454545454545454,0.6,0.2727272727272727]",1
72,4bd540f6-e34d-4592-7680-b2735389,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
73,4c4ac589-35f5-76e3-d0a3-fedab6c6,0.25,0.7142857142857143,0.5,ordinary,"[0.25,0.7142857142857143,0.5]",3
74,4cc576c8-f218-94be-fef3-4b6fd86e,0.3076923076923077,0.8333333333333334,0.3076923076923077,ordinary,"[0.3076923076923077,0.8333333333333334,0.3076923076923077]",0
75,4d0232bc-202c-ee3a-e58c-e543848c,0.0,1.0,0.7142857142857143,ordinary,"[0.0,1.0,0.7142857142857143]",3
76,4debb215-7398-77ba-2243-94adbd31,0.0,1.0,0.1111111111111111,ordinary,"[0.0,1.0,0.1111111111111111]",0
77,4f3771bf-0850-3813-5de9-d0592e66,0.0,0.75,0.0,ordinary,"[0.0,0.75,0.0]",0
78,502b50b6-08fa-b922-9bb6-dbd4d848,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
79,53cb26b0-7222-8eb4-ef0d-29e7a801,0.8,0.25,0.2,ordinary,"[0.8,0.25,0.2]",1
80,5409088d-b542-9cac-7fac-9ab00271,0.75,0.7272727272727273,0.25,ordinary,"[0.75,0.7272727272727273,0.25]",1
81,5414140f-2888-40b9-e1e2-7984f327,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
82,54e1c86d-b289-f693-e3a3-5d393778,0.16666666666666666,0.8,0.8333333333333334,ordinary,"[0.16666666666666666,0.8,0.8333333333333334]",3
83,554558f4-55fd-07df-ddb3-309239ad,0.0,1.0,0.25,ordinary,"[0.0,1.0,0.25]",0
84,56a4a9a0-7ab4-0a76-0621-b118321b,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
85,57b97824-05f2-21af-72f1-95f7d697,0.5,0.5714285714285714,0.125,ordinary,"[0.5,0.5714285714285714,0.125]",1
86,5bfa22fd-175f-02d2-c446-36369a81,0.0,0.1,0.0,ordinary,"[0.0,0.1,0.0]",2
87,5d557ed3-ce5e-24e4-a66e-aa966d6c,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]",3
88,5e97ad83-2b2c-529e-f831-deac0066,0.6,0.5,0.2,ordinary,"[0.6,0.5,0.2]",1
89,5fad3306-616d-9b57-3411-75efa34d,0.3333333333333333,0.6,0.3333333333333333,ordinary,"[0.3333333333333333,0.6,0.3333333333333333]",2
90,600fadb1-9f64-3bf4-b14c-378c45ae,0.0,0.9,0.4545454545454545,ordinary,"[0.0,0.9,0.4545454545454545]",0
91,6408c27b-ab13-d145-5b44-24f30202,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
92,6613f3e0-2e08-24f1-52ba-bfab8807,0.8888888888888888,0.125,0.1111111111111111,ordinary,"[0.8888888888888888,0.125,0.1111111111111111]",1
93,6809fd15-56b5-3424-e33d-88eb107c,0.8,0.25,0.2,ordinary,"[0.8,0.25,0.2]",1
94,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,0.14285714285714285,1.0,0.8571428571428571,ordinary,"[0.14285714285714285,1.0,0.8571428571428571]",3
95,6c86b1d0-fd95-c414-78d2-9495251b,0.2,0.75,0.8,ordinary,"[0.2,0.75,0.8]",3
96,6e25573c-8b7b-a2e7-a782-480ddb63,0.25,0.3333333333333333,0.25,ordinary,"[0.25,0.3333333333333333,0.25]",2
97,6f168bc8-c816-a359-ba88-da8c663d,0.75,0.7142857142857143,0.125,ordinary,"[0.75,0.7142857142857143,0.125]",1
98,6f359ebe-9f0a-2bae-a27a-c4ec1712,0.5,1.0,0.5,ordinary,"[0.5,1.0,0.5]",1
99,6f99bc0c-a871-5dd6-80cb-22296ada,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
100,70eacff4-a340-e4fd-746a-807b58c3,0.4166666666666667,1.0,0.16666666666666666,ordinary,"[0.4166666666666667,1.0,0.16666666666666666]",0
101,74105285-3bd1-71b2-bb2b-df56e6f7,0.5,1.0,0.25,ordinary,"[0.5,1.0,0.25]",1
102,74df8aff-e884-bc0d-7710-a23afc0d,0.0,0.75,0.0,ordinary,"[0.0,0.75,0.0]",0
103,7550652e-a184-e590-1205-03d91e86,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
104,755f4b52-e48e-eda7-42c0-2dabd3cf,0.16666666666666666,0.6,0.3333333333333333,ordinary,"[0.16666666666666666,0.6,0.3333333333333333]",2
105,75bece44-7ed0-9de1-f411-854abe3b,0.0,0.6666666666666666,0.5,ordinary,"[0.0,0.6666666666666666,0.5]",3
106,77d5ac07-0cfc-ac01-e741-58dae777,0.0,0.2857142857142857,0.0,ordinary,"[0.0,0.2857142857142857,0.0]",2
107,78928b9d-af19-1353-e439-c5b1d36f,0.8,0.5,0.2,ordinary,"[0.8,0.5,0.2]",1
108,78f08216-f3b9-62f6-7676-e8f9b3e2,0.4,0.5,0.2,ordinary,"[0.4,0.5,0.2]",2
109,7b7820c3-5040-cdf4-4448-bacd9426,0.8888888888888888,0.625,0.1111111111111111,ordinary,"[0.8888888888888888,0.625,0.1111111111111111]",1
110,7c6856f2-bacb-4be2-61d0-ba4bf284,0.2,0.75,0.8,ordinary,"[0.2,0.75,0.8]",3
111,7d0acedd-f795-6e39-b508-3eea42ac,0.0,0.8333333333333334,0.7142857142857143,ordinary,"[0.0,0.8333333333333334,0.7142857142857143]",3
112,80e6c3aa-f56c-4679-d623-79d6fd2d,0.0,0.3333333333333333,0.25,ordinary,"[0.0,0.3333333333333333,0.25]",2
113,85d4f155-5a13-7eb1-4d96-5c0b6e30,0.7692307692307693,0.9166666666666666,0.07692307692307693,ordinary,"[0.7692307692307693,0.9166666666666666,0.07692307692307693]",1
114,8a2e2082-7444-5533-6931-1b05fd88,0.5714285714285714,0.8333333333333334,0.14285714285714285,ordinary,"[0.5714285714285714,0.8333333333333334,0.14285714285714285]",1
115,8a68d73e-17f5-4571-ef15-e1d03878,0.1,1.0,0.1,ordinary,"[0.1,1.0,0.1]",0
116,8a6d88da-00af-01eb-e85b-db817e28,0.5,0.5714285714285714,0.25,ordinary,"[0.5,0.5714285714285714,0.25]",1
117,8ae29d55-64a1-1cf2-962b-4a35e380,0.5,0.5555555555555556,0.1,ordinary,"[0.5,0.5555555555555556,0.1]",1
118,8c7bdf99-8cda-02c4-7ccf-ad45ef8a,0.0,0.9166666666666666,0.0,ordinary,"[0.0,0.9166666666666666,0.0]",0
119,8cedbb4b-6088-0b3c-fc04-ad8ce093,0.4444444444444444,1.0,0.1111111111111111,ordinary,"[0.4444444444444444,1.0,0.1111111111111111]",1
120,8f38fcd5-8798-9850-2359-5268418e,0.375,1.0,0.125,ordinary,"[0.375,1.0,0.125]",0
121,9187a2a4-6ffb-f4f5-f012-df8a1141,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",3
122,92d86eda-129e-0d8c-0a73-835acef9,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
123,9627fef7-14c0-4a88-0954-9cf43b68,0.0,1.0,0.1111111111111111,ordinary,"[0.0,1.0,0.1111111111111111]",0
124,97372a43-0a6d-3145-e63f-0202242e,0.0,0.8,0.16666666666666666,ordinary,"[0.0,0.8,0.16666666666666666]",0
125,97f93288-c344-0f1f-19c0-14aff5aa,0.0,0.75,0.6666666666666666,ordinary,"[0.0,0.75,0.6666666666666666]",3
126,98599cc0-703a-b3be-34dc-7bcf7e6a,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",1
127,987749e2-fc0f-96db-2aa7-7df33e6d,0.5,0.3333333333333333,0.5,ordinary,"[0.5,0.3333333333333333,0.5]",2
128,991dbd0d-8c68-1ed6-f469-0348585f,0.0,1.0,0.8571428571428571,ordinary,"[0.0,1.0,0.8571428571428571]",3
129,9946a658-3dc0-f680-6e04-89182b0f,0.16666666666666666,0.8,0.16666666666666666,ordinary,"[0.16666666666666666,0.8,0.16666666666666666]",0
130,999f9f91-e880-70f1-00d3-e8994609,0.125,0.8571428571428571,0.375,ordinary,"[0.125,0.8571428571428571,0.375]",0
131,99d9bce0-1f7d-da02-6d84-afe0122e,0.7142857142857143,0.6666666666666666,0.14285714285714285,ordinary,"[0.7142857142857143,0.6666666666666666,0.14285714285714285]",1
132,9c5c43e2-3def-6e8f-844e-4ee72d08,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
133,9cc2cc33-730e-86eb-e910-ff1ec6fd,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
134,9dfba79f-46d5-9b68-3a28-dff09283,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
135,9e184ea2-45e6-abdb-90a9-fb5b011b,0.25,0.5454545454545454,0.16666666666666666,ordinary,"[0.25,0.5454545454545454,0.16666666666666666]",2
136,a070cc15-8fb3-b7eb-834d-d191a652,0.0,0.6666666666666666,0.25,ordinary,"[0.0,0.6666666666666666,0.25]",0
137,a134cb86-69ed-3ceb-ab8b-42799b5f,0.14285714285714285,0.5,0.14285714285714285,ordinary,"[0.14285714285714285,0.5,0.14285714285714285]",2
138,a1ac05b8-d131-07d0-f419-28c0d19a,0.8461538461538461,0.08333333333333333,0.15384615384615385,ordinary,"[0.8461538461538461,0.08333333333333333,0.15384615384615385]",2
139,a1b9f7ef-402c-6b05-11c1-33d65f47,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
140,a4793f2a-58de-2b33-168f-32424641,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0
141,a55e8048-fa92-f072-72e3-bbf2ba61,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
142,a7010942-2bf9-c022-3897-796a718f,0.6,0.75,0.2,ordinary,"[0.6,0.75,0.2]",1
143,a898d118-8b18-a02c-ae58-2a774d5f,0.2857142857142857,0.3333333333333333,0.14285714285714285,ordinary,"[0.2857142857142857,0.3333333333333333,0.14285714285714285]",2
144,a932ede5-1443-cb58-2838-6a6efc0a,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
145,a96e9db0-5940-66d7-4a98-2379b34d,0.0,0.75,0.2,ordinary,"[0.0,0.75,0.2]",0
146,a98a0de3-d8ed-675c-b2d4-ac776c7b,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
147,a997f5a7-10f2-8566-1c1d-559b423c,0.6153846153846154,1.0,0.15384615384615385,ordinary,"[0.6153846153846154,1.0,0.15384615384615385]",1
148,abcc36e1-adfa-f564-04d4-d632273a,0.3333333333333333,0.8,0.3333333333333333,ordinary,"[0.3333333333333333,0.8,0.3333333333333333]",0
149,abda0840-539e-d7ad-7f3c-e3005350,0.42857142857142855,0.6666666666666666,0.5714285714285714,ordinary,"[0.42857142857142855,0.6666666666666666,0.5714285714285714]",1
150,abe4e05a-6e7f-9b91-6fc2-255d8ca8,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0
151,ad50ec3a-b5fa-441c-dff6-68962309,0.75,0.0,0.25,ordinary,"[0.75,0.0,0.25]",2
152,af82af91-5c05-62ed-d5f4-ab452057,0.375,1.0,0.125,ordinary,"[0.375,1.0,0.125]",0
153,b203a259-8fca-f544-f793-7196165c,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
154,b341bfef-bd17-e48f-e3c6-71e45a3b,0.875,0.42857142857142855,0.125,ordinary,"[0.875,0.42857142857142855,0.125]",1
155,b3ed71c3-f69d-be41-8e55-61063ba5,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
156,b4317fab-f533-bf46-11da-30745ab3,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
157,b51ab28b-c73d-4a8a-b819-1193d14b,0.2727272727272727,0.9,0.5454545454545454,ordinary,"[0.2727272727272727,0.9,0.5454545454545454]",3
158,bbed801c-180e-99dc-7c6b-4a6ce07e,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",3
159,bc165eba-99d1-fcf2-3c18-7b8ddbe3,0.0,0.125,0.0,ordinary,"[0.0,0.125,0.0]",2
160,bc59fb83-de20-c8dc-0046-06b5a884,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",1
161,bde2c3b9-096f-3106-3105-39e3c690,0.0,0.875,0.0,ordinary,"[0.0,0.875,0.0]",0
162,be7e4626-8ea8-e4e7-bd98-df4d6b7e,0.4,0.75,0.4,ordinary,"[0.4,0.75,0.4]",1
163,be8f96e0-decb-0d0f-f5a0-da9a731a,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
164,bf2d4ca4-7b76-c83f-c25b-69db4d40,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
165,c0a279eb-433f-7d20-4fe4-30c7bf1d,0.0,0.3333333333333333,0.0,ordinary,"[0.0,0.3333333333333333,0.0]",2
166,c0e4f1b6-286e-9a62-9b55-08b882ec,0.0,1.0,0.2307692307692308,ordinary,"[0.0,1.0,0.2307692307692308]",0
167,c0f2c451-9f22-3dc5-b0ab-d6747910,0.9,1.0,0.1,ordinary,"[0.9,1.0,0.1]",1
168,c1b850ff-362a-890f-0c23-014773bb,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",1
169,c24334a0-477a-6656-021d-668ba57f,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
170,c3385c79-a01d-377d-9eac-6cf460e9,0.125,1.0,0.125,ordinary,"[0.125,1.0,0.125]",0
171,c9f74898-df82-973e-76ca-08186d7c,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",1
172,cc1e5f29-a1bd-4a13-5c8d-dbcaa11b,0.6666666666666666,1.0,0.16666666666666666,ordinary,"[0.6666666666666666,1.0,0.16666666666666666]",1
173,ce280b9f-f7cf-eef4-dd34-fdc44bfe,0.25,0.6666666666666666,0.25,ordinary,"[0.25,0.6666666666666666,0.25]",0
174,ce4913ec-b21e-60b6-d455-4bc5b2b4,0.25,0.6666666666666666,0.75,ordinary,"[0.25,0.6666666666666666,0.75]",3
175,ceff0481-0e5a-e1d8-5361-b5ba2a52,0.0,0.875,0.5555555555555556,ordinary,"[0.0,0.875,0.5555555555555556]",3
176,cf23b843-3219-15e7-f878-361bbfeb,0.8333333333333334,0.8,0.16666666666666666,ordinary,"[0.8333333333333334,0.8,0.16666666666666666]",1
177,d0fe3bbe-eeeb-e784-986f-51c01c74,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
178,d2a78c5a-c501-ea53-1bcf-2fedb47d,0.1111111111111111,0.5,0.4444444444444444,ordinary,"[0.1111111111111111,0.5,0.4444444444444444]",2
179,d41a406c-81b7-dca2-962a-a408e155,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
180,d424420a-72ee-7166-ac7e-9b96c0e6,0.0,0.7142857142857143,0.125,ordinary,"[0.0,0.7142857142857143,0.125]",0
181,d4ca59b9-1058-6388-4cc5-e58c2290,0.0,1.0,0.8333333333333334,ordinary,"[0.0,1.0,0.8333333333333334]",3
182,d5d7fee4-5428-bea3-17aa-30fb97f1,0.0,0.75,0.0,ordinary,"[0.0,0.75,0.0]",0
183,d6458839-e410-c16f-44d7-7aad9b6b,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",1
184,d80b6775-ae61-8dae-98ce-99412037,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
185,d89aba44-424b-9d5d-5dd4-f1fbabf1,0.8181818181818182,1.0,0.09090909090909093,ordinary,"[0.8181818181818182,1.0,0.09090909090909093]",1
186,d92b593e-555f-9b3b-4007-752ea02c,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
187,d964c832-c32d-77ff-672a-1cf12f7e,0.8888888888888888,0.875,0.1111111111111111,ordinary,"[0.8888888888888888,0.875,0.1111111111111111]",1
188,daf25c41-8b84-6414-7646-b7df2abd,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",1
189,db98a0d9-3d4f-4219-b27d-74a44a01,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
190,dd30c478-d26e-3f37-f395-b912bead,0.8888888888888888,1.0,0.0,ordinary,"[0.8888888888888888,1.0,0.0]",1
191,de14f7c6-1844-4e1b-bb5c-16ceef86,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
192,dfc849d9-7793-4345-d533-579da01b,0.0,1.0,0.2727272727272727,ordinary,"[0.0,1.0,0.2727272727272727]",0
193,e091c85e-d8a5-ed63-dfdb-631d4614,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",3
194,e3485d79-4f92-1fff-4e64-56943e9b,0.6,0.7777777777777778,0.4,ordinary,"[0.6,0.7777777777777778,0.4]",1
195,e65e8c36-5f2d-131d-9602-cd643f97,0.0,0.0,0.0,ordinary,"(3,[],[])",2
196,e74ddfe8-97b1-613e-1495-f884f58c,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
197,e88cc767-fc0d-54d4-243a-4479ebf9,0.2857142857142857,1.0,0.14285714285714285,ordinary,"[0.2857142857142857,1.0,0.14285714285714285]",0
198,e9822752-a8af-cf42-1ddc-d2518ca8,0.5555555555555556,0.75,0.2222222222222222,ordinary,"[0.5555555555555556,0.75,0.2222222222222222]",1
199,e99d6a57-d572-b7f6-34cf-3ac76f24,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",3
200,eb9864df-c827-4027-9de4-5829eee9,0.6363636363636364,0.4,0.2727272727272727,ordinary,"[0.6363636363636364,0.4,0.2727272727272727]",1
201,eba3b0ea-3aeb-a6e3-8df6-742db8a0,0.42857142857142855,1.0,0.14285714285714285,ordinary,"[0.42857142857142855,1.0,0.14285714285714285]",1
