,users,catchingUpRatio,order,freq,ordinary-late,features,prediction
22,Anela,0.5,0.6666666666666666,0.25,ordinary,"[0.5,0.6666666666666666,0.25]",1
23,Ankica,0.45454545454545453,1.0,0.09090909090909093,ordinary,"[0.45454545454545453,1.0,0.09090909090909093]",1
24,Annie,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",2
25,ante vrataric,0.16666666666666666,1.0,0.3333333333333333,ordinary,"[0.16666666666666666,1.0,0.3333333333333333]",0
26,anton jane��,0.0,1.0,0.3636363636363637,ordinary,"[0.0,1.0,0.3636363636363637]",0
27,Anze-G,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
28,Anzze99,0.3333333333333333,0.875,0.6666666666666666,ordinary,"[0.3333333333333333,0.875,0.6666666666666666]",2
29,Apsirtgirl,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]",2
30,benjamin,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",1
31,blaz02,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",1
32,Bojan1825,0.3333333333333333,1.0,0.6666666666666666,ordinary,"[0.3333333333333333,1.0,0.6666666666666666]",2
33,BORIS MREVLJE,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
34,Bo��tjan M.,0.0,1.0,0.7142857142857143,ordinary,"[0.0,1.0,0.7142857142857143]",2
35,BostjanH,0.0,0.9166666666666666,0.0,ordinary,"[0.0,0.9166666666666666,0.0]",0
36,Bo��tjanK,0.0,1.0,0.6153846153846154,ordinary,"[0.0,1.0,0.6153846153846154]",2
37,Branklo,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
38,BrunoB,0.2222222222222222,0.875,0.6666666666666666,ordinary,"[0.2222222222222222,0.875,0.6666666666666666]",2
39,Buda,0.6666666666666666,0.4,0.3333333333333333,ordinary,"[0.6666666666666666,0.4,0.3333333333333333]",1
40,Buki,0.0,1.0,0.8,ordinary,"[0.0,1.0,0.8]",2
41,chibu79,0.08333333333333333,1.0,0.9166666666666666,ordinary,"[0.08333333333333333,1.0,0.9166666666666666]",2
42,Cromiza,0.2727272727272727,0.8,0.2727272727272727,ordinary,"[0.2727272727272727,0.8,0.2727272727272727]",0
43,cvjetko,0.25,1.0,0.6666666666666666,ordinary,"[0.25,1.0,0.6666666666666666]",2
44,Dalka,0.0,0.5714285714285714,0.5,ordinary,"[0.0,0.5714285714285714,0.5]",0
45,Damir Mulalic,0.25,1.0,0.16666666666666666,ordinary,"[0.25,1.0,0.16666666666666666]",0
46,damir.juretic,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",2
47,Danilo4783,0.2727272727272727,1.0,0.09090909090909093,ordinary,"[0.2727272727272727,1.0,0.09090909090909093]",0
48,Dario,0.1111111111111111,1.0,0.2222222222222222,ordinary,"[0.1111111111111111,1.0,0.2222222222222222]",0
49,DarioR,0.14285714285714285,1.0,0.14285714285714285,ordinary,"[0.14285714285714285,1.0,0.14285714285714285]",0
50,Darko Babic,0.15384615384615385,1.0,0.6923076923076923,ordinary,"[0.15384615384615385,1.0,0.6923076923076923]",2
51,Dejan Adamic,0.15384615384615385,0.5833333333333334,0.6153846153846154,ordinary,"[0.15384615384615385,0.5833333333333334,0.6153846153846154]",2
52,DejanJ,0.07692307692307693,0.9166666666666666,0.8461538461538461,ordinary,"[0.07692307692307693,0.9166666666666666,0.8461538461538461]",2
53,delimir,0.0,0.8,0.0,ordinary,"[0.0,0.8,0.0]",0
54,demirel,0.75,0.6666666666666666,0.25,ordinary,"[0.75,0.6666666666666666,0.25]",1
55,Deni Oreb,0.9090909090909091,1.0,0.09090909090909093,ordinary,"[0.9090909090909091,1.0,0.09090909090909093]",1
56,Dimen,0.2,0.75,0.4,ordinary,"[0.2,0.75,0.4]",0
57,dkervina,0.5,1.0,0.5,ordinary,"[0.5,1.0,0.5]",1
58,dmeic,0.46153846153846156,0.8333333333333334,0.3076923076923077,ordinary,"[0.46153846153846156,0.8333333333333334,0.3076923076923077]",1
59,Domen S,0.0,1.0,0.9166666666666666,ordinary,"[0.0,1.0,0.9166666666666666]",2
60,Dorsi,0.6,1.0,0.4,ordinary,"[0.6,1.0,0.4]",1
61,dragana,0.5714285714285714,0.5,0.42857142857142855,ordinary,"[0.5714285714285714,0.5,0.42857142857142855]",1
62,Dra��en,0.0,0.875,0.5555555555555556,ordinary,"[0.0,0.875,0.5555555555555556]",2
63,drejc,0.09090909090909091,0.7,0.18181818181818185,ordinary,"[0.09090909090909091,0.7,0.18181818181818185]",0
64,Du��i,0.0,1.0,0.125,ordinary,"[0.0,1.0,0.125]",0
65,Edvard,0.1111111111111111,1.0,0.7777777777777778,ordinary,"[0.1111111111111111,1.0,0.7777777777777778]",2
66,Efa i Neno,0.38461538461538464,0.75,0.38461538461538464,ordinary,"[0.38461538461538464,0.75,0.38461538461538464]",1
67,Elena Nikolovska,0.5,1.0,0.125,ordinary,"[0.5,1.0,0.125]",1
68,Ferijan Perkovic,0.3333333333333333,0.875,0.5555555555555556,ordinary,"[0.3333333333333333,0.875,0.5555555555555556]",2
69,filip mestrovic,0.2857142857142857,1.0,0.7142857142857143,ordinary,"[0.2857142857142857,1.0,0.7142857142857143]",2
70,Gasper,0.14285714285714285,0.6666666666666666,0.42857142857142855,ordinary,"[0.14285714285714285,0.6666666666666666,0.42857142857142855]",0
71,gcampa,0.25,1.0,0.4166666666666667,ordinary,"[0.25,1.0,0.4166666666666667]",0
72,GITA MARINKOVIC,0.75,0.6666666666666666,0.25,ordinary,"[0.75,0.6666666666666666,0.25]",1
73,Goran Cacic,0.16666666666666666,1.0,0.08333333333333333,ordinary,"[0.16666666666666666,1.0,0.08333333333333333]",0
74,Goran ��urica,0.0,0.9166666666666666,0.3076923076923077,ordinary,"[0.0,0.9166666666666666,0.3076923076923077]",0
75,Gordan,0.0,0.9166666666666666,0.07692307692307693,ordinary,"[0.0,0.9166666666666666,0.07692307692307693]",0
76,Gordana Genc,0.1111111111111111,1.0,0.8888888888888888,ordinary,"[0.1111111111111111,1.0,0.8888888888888888]",2
77,gpet,0.16666666666666666,0.9090909090909092,0.8333333333333334,ordinary,"[0.16666666666666666,0.9090909090909092,0.8333333333333334]",2
78,Gregor Primc,0.08333333333333333,1.0,0.4166666666666667,ordinary,"[0.08333333333333333,1.0,0.4166666666666667]",0
79,greta,0.42857142857142855,0.6666666666666666,0.2857142857142857,ordinary,"[0.42857142857142855,0.6666666666666666,0.2857142857142857]",1
80,Grozdana Sirotic,0.0,1.0,0.5,ordinary,"[0.0,1.0,0.5]",2
81,Grup amor,0.0,0.875,0.1111111111111111,ordinary,"[0.0,0.875,0.1111111111111111]",0
82,HanaP,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
83,Hrvoje Juvancic,0.4444444444444444,1.0,0.5555555555555556,ordinary,"[0.4444444444444444,1.0,0.5555555555555556]",1
84,Igor ��utic,0.0,1.0,0.8461538461538461,ordinary,"[0.0,1.0,0.8461538461538461]",2
85,Igor ��afran,0.0,0.75,0.7692307692307693,ordinary,"[0.0,0.75,0.7692307692307693]",2
86,Igor29,0.6666666666666666,1.0,0.3333333333333333,ordinary,"[0.6666666666666666,1.0,0.3333333333333333]",1
87,IgorGancevic,0.25,0.8571428571428571,0.125,ordinary,"[0.25,0.8571428571428571,0.125]",0
88,igorr,0.1111111111111111,1.0,0.2222222222222222,ordinary,"[0.1111111111111111,1.0,0.2222222222222222]",0
89,iivana,0.14285714285714285,0.8333333333333334,0.2857142857142857,ordinary,"[0.14285714285714285,0.8333333333333334,0.2857142857142857]",0
90,Ina,0.0,1.0,0.9,ordinary,"[0.0,1.0,0.9]",2
91,Ines,0.875,1.0,0.125,ordinary,"[0.875,1.0,0.125]",1
92,Ivan Odrljin,0.07692307692307693,0.9166666666666666,0.6923076923076923,ordinary,"[0.07692307692307693,0.9166666666666666,0.6923076923076923]",2
93,Ivana PR,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",2
94,IvanV,0.3333333333333333,0.8,0.3333333333333333,ordinary,"[0.3333333333333333,0.8,0.3333333333333333]",1
95,Ivica Komljenovic,0.8461538461538461,0.9166666666666666,0.15384615384615385,ordinary,"[0.8461538461538461,0.9166666666666666,0.15384615384615385]",1
96,Iztok3,0.4,1.0,0.2,ordinary,"[0.4,1.0,0.2]",1
97,jadralec Jaro,0.125,0.7142857142857143,0.625,ordinary,"[0.125,0.7142857142857143,0.625]",2
98,Jadran,0.16666666666666666,1.0,0.8333333333333334,ordinary,"[0.16666666666666666,1.0,0.8333333333333334]",2
99,Janez  stupica,0.0,0.8571428571428571,0.625,ordinary,"[0.0,0.8571428571428571,0.625]",2
100,Jani Pristavec,0.07692307692307693,1.0,0.6923076923076923,ordinary,"[0.07692307692307693,1.0,0.6923076923076923]",2
101,Jaro��,0.0,0.8,0.5,ordinary,"[0.0,0.8,0.5]",2
102,Jasminka,0.2857142857142857,0.8333333333333334,0.5714285714285714,ordinary,"[0.2857142857142857,0.8333333333333334,0.5714285714285714]",2
103,jelena,0.09090909090909091,1.0,0.9090909090909092,ordinary,"[0.09090909090909091,1.0,0.9090909090909092]",2
104,Jelena-Marija,0.6363636363636364,0.8,0.2727272727272727,ordinary,"[0.6363636363636364,0.8,0.2727272727272727]",1
105,Jelena Cutura,0.2,1.0,0.6,ordinary,"[0.2,1.0,0.6]",2
106,jerko,0.5,0.9090909090909092,0.5,ordinary,"[0.5,0.9090909090909092,0.5]",1
107,Jerko. Marinkovic,0.3333333333333333,0.9090909090909092,0.6666666666666666,ordinary,"[0.3333333333333333,0.9090909090909092,0.6666666666666666]",2
108,Josip Rabanasic,0.42857142857142855,0.8333333333333334,0.42857142857142855,ordinary,"[0.42857142857142855,0.8333333333333334,0.42857142857142855]",1
109,josko52@gmail.com,0.7142857142857143,0.8333333333333334,0.14285714285714285,ordinary,"[0.7142857142857143,0.8333333333333334,0.14285714285714285]",1
110,JOZE,0.0,0.5,0.0,ordinary,"[0.0,0.5,0.0]",0
111,Jo��ko,0.0,0.8888888888888888,0.6,ordinary,"[0.0,0.8888888888888888,0.6]",2
112,Jure Gros,0.3076923076923077,1.0,0.3076923076923077,ordinary,"[0.3076923076923077,1.0,0.3076923076923077]",1
113,jure111,0.8333333333333334,1.0,0.16666666666666666,ordinary,"[0.8333333333333334,1.0,0.16666666666666666]",1
114,jurebizjak,0.08333333333333333,1.0,0.5,ordinary,"[0.08333333333333333,1.0,0.5]",2
115,kapitan72,0.4444444444444444,0.625,0.5555555555555556,ordinary,"[0.4444444444444444,0.625,0.5555555555555556]",1
116,Karla,0.5,1.0,0.5,ordinary,"[0.5,1.0,0.5]",1
117,Karmen Hrvatic,0.45454545454545453,1.0,0.5454545454545454,ordinary,"[0.45454545454545453,1.0,0.5454545454545454]",1
118,Katarina ��edlbauer,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
119,kec,0.07692307692307693,0.9166666666666666,0.07692307692307693,ordinary,"[0.07692307692307693,0.9166666666666666,0.07692307692307693]",0
120,kemi,0.25,0.5714285714285714,0.5,ordinary,"[0.25,0.5714285714285714,0.5]",0
121,Kiklop,0.0,0.4,0.18181818181818185,ordinary,"[0.0,0.4,0.18181818181818185]",0
122,KlaraM,0.0,1.0,0.25,ordinary,"[0.0,1.0,0.25]",0
123,Kreso,0.5,1.0,0.16666666666666666,ordinary,"[0.5,1.0,0.16666666666666666]",1
124,Kristijan Lopac,0.18181818181818182,0.7,0.2727272727272727,ordinary,"[0.18181818181818182,0.7,0.2727272727272727]",0
125,Ksenija Sekulic,0.0,0.4545454545454545,0.0,ordinary,"[0.0,0.4545454545454545,0.0]",0
126,Kskoric,0.0,0.8888888888888888,0.0,ordinary,"[0.0,0.8888888888888888,0.0]",0
127,Kvasina,0.5454545454545454,1.0,0.4545454545454545,ordinary,"[0.5454545454545454,1.0,0.4545454545454545]",1
128,Labura,0.5,1.0,0.25,ordinary,"[0.5,1.0,0.25]",1
129,Lana,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
130,Lea Svilicic,0.08333333333333333,0.9090909090909092,0.3333333333333333,ordinary,"[0.08333333333333333,0.9090909090909092,0.3333333333333333]",0
131,Leo Mihaljevic,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
132,ljubica basic,0.0,1.0,0.9230769230769232,ordinary,"[0.0,1.0,0.9230769230769232]",2
133,Luc,0.18181818181818182,1.0,0.8181818181818182,ordinary,"[0.18181818181818182,1.0,0.8181818181818182]",2
134,lucijan,0.07692307692307693,0.6666666666666666,0.4615384615384616,ordinary,"[0.07692307692307693,0.6666666666666666,0.4615384615384616]",0
135,ludmilla,0.0,0.5,0.4,ordinary,"[0.0,0.5,0.4]",0
136,Luka Skocir,0.5555555555555556,1.0,0.4444444444444444,ordinary,"[0.5555555555555556,1.0,0.4444444444444444]",1
137,luka.voncina,0.16666666666666666,1.0,0.8333333333333334,ordinary,"[0.16666666666666666,1.0,0.8333333333333334]",2
138,lukaaa11,0.3333333333333333,1.0,0.3333333333333333,ordinary,"[0.3333333333333333,1.0,0.3333333333333333]",1
139,Lupodimare,0.3333333333333333,0.4,0.3333333333333333,ordinary,"[0.3333333333333333,0.4,0.3333333333333333]",1
140,Maja Demaria,0.4,1.0,0.6,ordinary,"[0.4,1.0,0.6]",2
141,Maja Grinek,0.4444444444444444,0.875,0.3333333333333333,ordinary,"[0.4444444444444444,0.875,0.3333333333333333]",1
142,maja laurence,0.0,0.6666666666666666,0.0,ordinary,"[0.0,0.6666666666666666,0.0]",0
143,MajaM,0.6153846153846154,0.5833333333333334,0.38461538461538464,ordinary,"[0.6153846153846154,0.5833333333333334,0.38461538461538464]",1
144,Mare_,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",2
145,mare10,0.0,0.8333333333333334,0.0,ordinary,"[0.0,0.8333333333333334,0.0]",0
146,Maria,0.0,0.8571428571428571,0.625,ordinary,"[0.0,0.8571428571428571,0.625]",2
147,Marijana,0.42857142857142855,1.0,0.42857142857142855,ordinary,"[0.42857142857142855,1.0,0.42857142857142855]",1
148,MARINO BRZAC,0.6666666666666666,0.9090909090909092,0.3333333333333333,ordinary,"[0.6666666666666666,0.9090909090909092,0.3333333333333333]",1
149,Mario Bursac,0.1111111111111111,1.0,0.7777777777777778,ordinary,"[0.1111111111111111,1.0,0.7777777777777778]",2
150,Mario91,0.5555555555555556,1.0,0.1111111111111111,ordinary,"[0.5555555555555556,1.0,0.1111111111111111]",1
151,Marjan Henigman,0.09090909090909091,1.0,0.9090909090909092,ordinary,"[0.09090909090909091,1.0,0.9090909090909092]",2
152,Markisha,0.5,1.0,0.5,ordinary,"[0.5,1.0,0.5]",1
153,Marko Dundovic,0.07692307692307693,0.9166666666666666,0.15384615384615385,ordinary,"[0.07692307692307693,0.9166666666666666,0.15384615384615385]",0
154,Marko Kralj,0.6,1.0,0.4,ordinary,"[0.6,1.0,0.4]",1
155,Marko L,0.0,0.9090909090909092,0.0,ordinary,"[0.0,0.9090909090909092,0.0]",0
156,marko maticic,0.25,0.6666666666666666,0.5,ordinary,"[0.25,0.6666666666666666,0.5]",2
157,Ma��a,0.0,1.0,0.8,ordinary,"[0.0,1.0,0.8]",2
158,masa sarusic,0.25,0.9090909090909092,0.75,ordinary,"[0.25,0.9090909090909092,0.75]",2
159,Mate Vitaljic,0.2,0.7777777777777778,0.8,ordinary,"[0.2,0.7777777777777778,0.8]",2
160,Matija Osterc,0.6923076923076923,0.9166666666666666,0.2307692307692308,ordinary,"[0.6923076923076923,0.9166666666666666,0.2307692307692308]",1
161,Matija Turkalj,0.0,0.9,0.0,ordinary,"[0.0,0.9,0.0]",0
162,Matjazzavrl,0.125,0.8571428571428571,0.375,ordinary,"[0.125,0.8571428571428571,0.375]",0
163,Mauro,0.0,0.75,0.0,ordinary,"[0.0,0.75,0.0]",0
164,MedoPiki,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
165,melina lako��,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
166,mihaelas,0.4444444444444444,1.0,0.1111111111111111,ordinary,"[0.4444444444444444,1.0,0.1111111111111111]",1
167,Miho,0.18181818181818182,0.8,0.3636363636363637,ordinary,"[0.18181818181818182,0.8,0.3636363636363637]",0
168,Milan Kura��,0.0,0.9166666666666666,0.07692307692307693,ordinary,"[0.0,0.9166666666666666,0.07692307692307693]",0
169,Mirela,0.07692307692307693,0.8333333333333334,0.2307692307692308,ordinary,"[0.07692307692307693,0.8333333333333334,0.2307692307692308]",0
170,Mirjana Pu��karski,0.0,1.0,0.875,ordinary,"[0.0,1.0,0.875]",2
171,Mirkomatic,0.3076923076923077,0.9166666666666666,0.2307692307692308,ordinary,"[0.3076923076923077,0.9166666666666666,0.2307692307692308]",0
172,miroc,0.8333333333333334,0.8,0.16666666666666666,ordinary,"[0.8333333333333334,0.8,0.16666666666666666]",1
173,Mi��o,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",2
174,MojcaDamijan,0.3076923076923077,1.0,0.6153846153846154,ordinary,"[0.3076923076923077,1.0,0.6153846153846154]",2
175,Nata��a,0.0,1.0,0.7142857142857143,ordinary,"[0.0,1.0,0.7142857142857143]",2
176,Nejc Kodric,0.6153846153846154,1.0,0.15384615384615385,ordinary,"[0.6153846153846154,1.0,0.15384615384615385]",1
177,Nejc Likar,0.0,1.0,0.25,ordinary,"[0.0,1.0,0.25]",0
178,nenad,0.0,1.0,0.8571428571428571,ordinary,"[0.0,1.0,0.8571428571428571]",2
179,NenadS,0.5,1.0,0.25,ordinary,"[0.5,1.0,0.25]",1
180,Neven,0.23076923076923078,0.9166666666666666,0.6923076923076923,ordinary,"[0.23076923076923078,0.9166666666666666,0.6923076923076923]",2
181,Niko Vukusic,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
182,niko.mihovilovic,0.08333333333333333,0.9090909090909092,0.4166666666666667,ordinary,"[0.08333333333333333,0.9090909090909092,0.4166666666666667]",0
183,Nikola Bar��ic,0.0,0.0,0.0,ordinary,"(3,[],[])",0
184,Nikoleta,0.3,1.0,0.7,ordinary,"[0.3,1.0,0.7]",2
185,nikonikokaoja,0.0,0.6666666666666666,0.25,ordinary,"[0.0,0.6666666666666666,0.25]",0
186,Oaky,0.2222222222222222,1.0,0.7777777777777778,ordinary,"[0.2222222222222222,1.0,0.7777777777777778]",2
187,Ojiga,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
188,Pavle,0.15384615384615385,1.0,0.8461538461538461,ordinary,"[0.15384615384615385,1.0,0.8461538461538461]",2
189,pedro,0.8,1.0,0.2,ordinary,"[0.8,1.0,0.2]",1
190,peri,0.0,0.75,0.7692307692307693,ordinary,"[0.0,0.75,0.7692307692307693]",2
191,Pero,0.1111111111111111,1.0,0.1111111111111111,ordinary,"[0.1111111111111111,1.0,0.1111111111111111]",0
192,Petar,0.16666666666666666,1.0,0.4166666666666667,ordinary,"[0.16666666666666666,1.0,0.4166666666666667]",0
193,PeterKogej,0.2727272727272727,0.8,0.18181818181818185,ordinary,"[0.2727272727272727,0.8,0.18181818181818185]",0
194,PetraP,0.4,1.0,0.6,ordinary,"[0.4,1.0,0.6]",2
195,Pina,0.07692307692307693,1.0,0.9230769230769232,ordinary,"[0.07692307692307693,1.0,0.9230769230769232]",2
196,Pino,0.1111111111111111,1.0,0.2222222222222222,ordinary,"[0.1111111111111111,1.0,0.2222222222222222]",0
197,Pirko,0.16666666666666666,1.0,0.16666666666666666,ordinary,"[0.16666666666666666,1.0,0.16666666666666666]",0
198,Pjerino,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",2
199,Pjero,0.1111111111111111,1.0,0.5555555555555556,ordinary,"[0.1111111111111111,1.0,0.5555555555555556]",2
200,Plavac_mali,0.3333333333333333,1.0,0.6666666666666666,ordinary,"[0.3333333333333333,1.0,0.6666666666666666]",2
201,plombar,0.46153846153846156,0.75,0.5384615384615384,ordinary,"[0.46153846153846156,0.75,0.5384615384615384]",1
202,Pokmon,0.4166666666666667,1.0,0.5833333333333334,ordinary,"[0.4166666666666667,1.0,0.5833333333333334]",1
203,Pokret Otoka,0.42857142857142855,1.0,0.5714285714285714,ordinary,"[0.42857142857142855,1.0,0.5714285714285714]",1
204,Polona,0.0,0.9166666666666666,0.4615384615384616,ordinary,"[0.0,0.9166666666666666,0.4615384615384616]",0
205,Primosius,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
206,RadoL,0.25,1.0,0.5,ordinary,"[0.25,1.0,0.5]",2
207,Ramo,0.15384615384615385,0.8333333333333334,0.8461538461538461,ordinary,"[0.15384615384615385,0.8333333333333334,0.8461538461538461]",2
208,Rebeka,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
209,RobiF,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",2
210,rocco337,0.7777777777777778,1.0,0.2222222222222222,ordinary,"[0.7777777777777778,1.0,0.2222222222222222]",1
211,Rok321,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
212,Roki,0.07692307692307693,0.9166666666666666,0.2307692307692308,ordinary,"[0.07692307692307693,0.9166666666666666,0.2307692307692308]",0
213,rokian,0.0,1.0,0.5,ordinary,"[0.0,1.0,0.5]",2
214,Romana,0.3333333333333333,0.75,0.3333333333333333,ordinary,"[0.3333333333333333,0.75,0.3333333333333333]",1
215,ruzica kovacevic,0.3333333333333333,1.0,0.5,ordinary,"[0.3333333333333333,1.0,0.5]",1
216,Sailman,0.3333333333333333,1.0,0.6666666666666666,ordinary,"[0.3333333333333333,1.0,0.6666666666666666]",2
217,Salieri,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
218,Sandi,0.16666666666666666,1.0,0.6666666666666666,ordinary,"[0.16666666666666666,1.0,0.6666666666666666]",2
219,sawyer,0.46153846153846156,1.0,0.2307692307692308,ordinary,"[0.46153846153846156,1.0,0.2307692307692308]",1
220,shrike,0.16666666666666666,1.0,0.8333333333333334,ordinary,"[0.16666666666666666,1.0,0.8333333333333334]",2
221,Silvestar Tokic,0.6153846153846154,1.0,0.38461538461538464,ordinary,"[0.6153846153846154,1.0,0.38461538461538464]",1
222,��imun Zamberlin,0.0,0.9166666666666666,0.8461538461538461,ordinary,"[0.0,0.9166666666666666,0.8461538461538461]",2
223,��katja,0.0,0.8333333333333334,0.2857142857142857,ordinary,"[0.0,0.8333333333333334,0.2857142857142857]",0
224,slipke,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
225,splicho,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
226,staneb,0.25,1.0,0.75,ordinary,"[0.25,1.0,0.75]",2
227,Stanojevic,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
228,stipica,0.38461538461538464,0.3333333333333333,0.38461538461538464,ordinary,"[0.38461538461538464,0.3333333333333333,0.38461538461538464]",1
229,TAMARA L.,0.07692307692307693,0.9166666666666666,0.8461538461538461,ordinary,"[0.07692307692307693,0.9166666666666666,0.8461538461538461]",2
230,tasa,0.2857142857142857,1.0,0.5714285714285714,ordinary,"[0.2857142857142857,1.0,0.5714285714285714]",2
231,Tatjana,0.5,0.6666666666666666,0.5,ordinary,"[0.5,0.6666666666666666,0.5]",1
232,tibor,0.3333333333333333,1.0,0.16666666666666666,ordinary,"[0.3333333333333333,1.0,0.16666666666666666]",0
233,Tina Kiler,0.5384615384615384,1.0,0.4615384615384616,ordinary,"[0.5384615384615384,1.0,0.4615384615384616]",1
234,Tja��a,0.0,1.0,0.6666666666666666,ordinary,"[0.0,1.0,0.6666666666666666]",2
235,Tojo,0.75,1.0,0.25,ordinary,"[0.75,1.0,0.25]",1
236,tomaz1961,0.16666666666666666,0.8181818181818182,0.6666666666666666,ordinary,"[0.16666666666666666,0.8181818181818182,0.6666666666666666]",2
237,tomba,0.4444444444444444,0.875,0.5555555555555556,ordinary,"[0.4444444444444444,0.875,0.5555555555555556]",1
238,Tome,0.2857142857142857,0.8333333333333334,0.7142857142857143,ordinary,"[0.2857142857142857,0.8333333333333334,0.7142857142857143]",2
239,Tomica,0.0,1.0,1.0,ordinary,"[0.0,1.0,1.0]",2
240,Tomislav Cipcic,0.25,1.0,0.25,ordinary,"[0.25,1.0,0.25]",0
241,TonCa,0.23076923076923078,1.0,0.3076923076923077,ordinary,"[0.23076923076923078,1.0,0.3076923076923077]",0
242,toni88,0.5,1.0,0.25,ordinary,"[0.5,1.0,0.25]",1
243,Tpk,0.14285714285714285,0.8333333333333334,0.7142857142857143,ordinary,"[0.14285714285714285,0.8333333333333334,0.7142857142857143]",2
244,Trojan,0.0,1.0,0.8888888888888888,ordinary,"[0.0,1.0,0.8888888888888888]",2
245,Urle,0.15384615384615385,1.0,0.07692307692307693,ordinary,"[0.15384615384615385,1.0,0.07692307692307693]",0
246,Urosv,0.16666666666666666,1.0,0.75,ordinary,"[0.16666666666666666,1.0,0.75]",2
247,vanja123,0.4,0.5,0.6,ordinary,"[0.4,0.5,0.6]",1
248,Vedran,0.09090909090909091,1.0,0.5454545454545454,ordinary,"[0.09090909090909091,1.0,0.5454545454545454]",2
249,Vedran_499,0.14285714285714285,0.5,0.42857142857142855,ordinary,"[0.14285714285714285,0.5,0.42857142857142855]",0
