,users,followingRatio,order,freq,prediction
101,igorr,0.3333333333333333,1.0,0.2222222222222222,1
102,iivana,0.25,0.8333333333333334,0.2857142857142857,1
103,Ina,0.1,1.0,0.9,3
104,Ines,1.0,1.0,0.125,2
105,Ivan Odrljin,0.09090909090909093,0.9166666666666666,0.6923076923076923,3
106,Ivana Kozina,0.3333333333333333,0.9166666666666666,0.0,1
107,Ivana PR,0.2,1.0,1.0,3
108,IvanV,0.5,0.8,0.3333333333333333,1
109,Ivica Komljenovic,0.5,0.9166666666666666,0.15384615384615385,1
110,Iztok3,0.25,1.0,0.2,1
111,jadralec Jaro,0.14285714285714285,0.7142857142857143,0.625,3
112,Jadran,0.09999999999999999,1.0,0.8333333333333334,3
113,Janez  stupica,0.16666666666666666,0.8571428571428571,0.625,3
114,Jani Pristavec,0.08333333333333333,1.0,0.6923076923076923,3
115,Jaro��,0.19999999999999998,0.8,0.5,0
116,Jasminka,0.19999999999999998,0.8333333333333334,0.5714285714285714,3
117,jelena,0.1,1.0,0.9090909090909092,3
118,Jelena-Marija,0.25,0.8,0.2727272727272727,1
119,Jelena Cutura,0.25,1.0,0.6,3
120,Jelenaa,0.5,0.9090909090909092,0.0,1
121,jerko,0.16666666666666666,0.9090909090909092,0.5,3
122,Jerko. Marinkovic,0.125,0.9090909090909092,0.6666666666666666,3
123,Jolanda,1.0,1.0,0.0,2
124,Josip Rabanasic,0.25,0.8333333333333334,0.42857142857142855,0
125,josko52@gmail.com,0.5,0.8333333333333334,0.14285714285714285,1
126,JOZE,0.5,0.5,0.0,0
127,Jo��ko,0.125,0.8888888888888888,0.6,3
128,Jure Gros,0.16666666666666666,1.0,0.3076923076923077,1
129,jure111,1.0,1.0,0.16666666666666666,2
130,jurebizjak,0.1111111111111111,1.0,0.5,3
131,kapitan72,0.2,0.625,0.5555555555555556,0
132,Karla,0.5,1.0,0.5,1
133,Karmen Hrvatic,0.16666666666666666,1.0,0.5454545454545454,3
134,Katarina ��edlbauer,0.5,1.0,0.0,1
135,Katja De Faveri,1.0,1.0,0.0,2
136,kec,0.3333333333333333,0.9166666666666666,0.07692307692307693,1
137,kemi,0.2,0.5714285714285714,0.5,0
138,Kiklop,0.2,0.4,0.18181818181818185,0
139,KlaraM,0.3333333333333333,1.0,0.25,1
140,Kopacin,1.0,1.0,0.0,2
141,Kreso,0.25,1.0,0.16666666666666666,1
142,Kristijan Lopac,0.16666666666666666,0.7,0.2727272727272727,0
143,Ksenija,1.0,1.0,0.0,2
144,Ksenija Sekulic,0.16666666666666666,0.4545454545454545,0.0,0
145,Kskoric,0.3333333333333333,0.8888888888888888,0.0,1
146,Kvasina,0.2,1.0,0.4545454545454545,3
147,Labura,0.5,1.0,0.25,1
148,Lana,0.3333333333333333,1.0,0.75,3
149,Lea Svilicic,0.14285714285714285,0.9090909090909092,0.3333333333333333,1
150,Lejla,1.0,1.0,0.0,2
151,Leo Mihaljevic,0.3333333333333333,1.0,0.75,3
152,ljubica basic,0.07692307692307693,1.0,0.9230769230769232,3
153,Luc,0.11111111111111112,1.0,0.8181818181818182,3
154,lucijan,0.125,0.6666666666666666,0.4615384615384616,0
155,ludmilla,0.2,0.5,0.4,0
156,Luka Skocir,0.25,1.0,0.4444444444444444,3
157,luka.voncina,0.09999999999999999,1.0,0.8333333333333334,3
158,lukaaa11,0.25,1.0,0.3333333333333333,1
159,Lupodimare,0.25,0.4,0.3333333333333333,0
160,Maja Demaria,0.16666666666666669,1.0,0.6,3
161,Maja Grinek,0.2,0.875,0.3333333333333333,1
162,maja laurence,1.0,0.6666666666666666,0.0,2
163,MajaM,0.2,0.5833333333333334,0.38461538461538464,0
164,Marco,0.3333333333333333,0.8333333333333334,0.0,1
165,Mare_,0.2,1.0,1.0,3
166,mare10,0.5,0.8333333333333334,0.0,1
167,Maria,0.14285714285714285,0.8571428571428571,0.625,3
168,Marijana,0.3333333333333333,1.0,0.42857142857142855,1
169,MARINO BRZAC,0.25,0.9090909090909092,0.3333333333333333,1
170,Mario Bursac,0.125,1.0,0.7777777777777778,3
171,Mario91,0.5,1.0,0.1111111111111111,1
172,Marjan Henigman,0.1,1.0,0.9090909090909092,3
173,Markisha,0.5,1.0,0.5,1
174,Marko Dundovic,0.16666666666666666,0.9166666666666666,0.15384615384615385,1
175,Marko Kralj,0.5,1.0,0.4,1
176,Marko L,0.3333333333333333,0.9090909090909092,0.0,1
177,marko maticic,0.3333333333333333,0.6666666666666666,0.5,0
178,Maru��aaaa,1.0,1.0,0.0,2
179,Ma��a,0.125,1.0,0.8,3
180,masa sarusic,0.1111111111111111,0.9090909090909092,0.75,3
181,Mate Vitaljic,0.125,0.7777777777777778,0.8,3
182,Matea Pavicic,0.25,1.0,0.0,1
183,Matija Osterc,0.25,0.9166666666666666,0.2307692307692308,1
184,Matija Turkalj,0.2,0.9,0.0,1
185,Matjazzavrl,0.25,0.8571428571428571,0.375,1
186,Mauro,0.25,0.75,0.0,1
187,MedoPiki,0.2,1.0,0.0,1
188,melina lako��,1.0,1.0,0.0,2
189,mihaelas,0.5,1.0,0.1111111111111111,1
190,Miho,0.14285714285714285,0.8,0.3636363636363637,0
191,Milan Kura��,0.3333333333333333,0.9166666666666666,0.07692307692307693,1
192,miranF,1.0,1.0,0.0,2
193,Mirela,0.2,0.8333333333333334,0.2307692307692308,1
194,Mirjana Pu��karski,0.14285714285714285,1.0,0.875,3
195,Mirkomatic,0.16666666666666666,0.9166666666666666,0.2307692307692308,1
196,miroc,1.0,0.8,0.16666666666666666,2
197,Mi��o,0.3333333333333333,1.0,0.75,3
198,MojcaDamijan,0.1111111111111111,1.0,0.6153846153846154,3
199,Nada,1.0,1.0,0.0,2
200,Nata��a,0.16666666666666669,1.0,0.7142857142857143,3
201,Nejc Kodric,0.25,1.0,0.15384615384615385,1
202,Nejc Likar,0.5,1.0,0.25,1
203,nenad,0.14285714285714285,1.0,0.8571428571428571,3
204,NenadS,0.19999999999999998,1.0,0.25,1
205,Neven,0.1,0.9166666666666666,0.6923076923076923,3
206,Niko Vukusic,0.1111111111111111,1.0,0.75,3
207,niko.mihovilovic,0.0909090909090909,0.9090909090909092,0.4166666666666667,3
208,Nikola Bar��ic,0.5,0.0,0.0,0
209,Nikolaj,1.0,1.0,0.0,2
210,Nikoleta,0.14285714285714285,1.0,0.7,3
211,nikonikokaoja,0.25,0.6666666666666666,0.25,0
212,Nina1,1.0,1.0,0.0,2
213,NinaP,1.0,0.6666666666666666,0.0,2
214,noordung,1.0,1.0,0.0,2
215,Oaky,0.14285714285714288,1.0,0.7777777777777778,3
216,Ojiga,0.3333333333333333,1.0,0.75,3
217,p2035e,0.5,1.0,0.0,1
218,Paval,0.3333333333333333,1.0,0.0,1
219,Pavle,0.09090909090909093,1.0,0.8461538461538461,3
220,pedro,1.0,1.0,0.2,2
221,peri,0.08333333333333333,0.75,0.7692307692307693,3
222,Pero,0.3333333333333333,1.0,0.1111111111111111,1
223,Petar,0.14285714285714285,1.0,0.4166666666666667,3
224,PeterKogej,0.25,0.8,0.18181818181818185,1
225,PetraP,0.16666666666666669,1.0,0.6,3
226,Pina,0.08333333333333333,1.0,0.9230769230769232,3
227,Pino,0.3333333333333333,1.0,0.2222222222222222,1
228,Pirko,0.25,1.0,0.16666666666666666,1
229,Pjerino,0.16666666666666666,1.0,1.0,3
230,Pjero,0.125,1.0,0.5555555555555556,3
231,Plavac_mali,0.125,1.0,0.6666666666666666,3
232,plombar,0.14285714285714282,0.75,0.5384615384615384,0
233,Pokmon,0.14285714285714285,1.0,0.5833333333333334,3
234,Pokret Otoka,0.25,1.0,0.5714285714285714,3
235,Polona,0.1111111111111111,0.9166666666666666,0.4615384615384616,3
236,poppy,0.25,0.9166666666666666,0.0,1
237,Primosius,0.3333333333333333,1.0,0.0,1
238,RadoL,0.14285714285714285,1.0,0.5,3
239,Ramo,0.09090909090909093,0.8333333333333334,0.8461538461538461,3
240,Rebeka,0.125,1.0,0.0,1
241,RobiF,0.25,1.0,0.75,3
242,rocco337,0.5,1.0,0.2222222222222222,1
243,Rok321,0.3333333333333333,1.0,0.75,3
244,Roki,0.16666666666666666,0.9166666666666666,0.2307692307692308,1
245,rokian,0.3333333333333333,1.0,0.5,3
246,roman113,1.0,1.0,0.0,2
247,Romana,0.2,0.75,0.3333333333333333,0
248,ruzica kovacevic,0.125,1.0,0.5,3
249,Safet,0.3333333333333333,1.0,0.0,1
250,Sailman,0.125,1.0,0.6666666666666666,3
251,Salieri,0.19999999999999998,1.0,0.0,1
252,Sandi,0.19999999999999998,1.0,0.6666666666666666,3
253,sawyer,0.25,1.0,0.2307692307692308,1
254,shrike,0.19999999999999998,1.0,0.8333333333333334,3
255,Silvestar Tokic,0.2,1.0,0.38461538461538464,1
256,��imun Zamberlin,0.08333333333333333,0.9166666666666666,0.8461538461538461,3
257,��katja,0.3333333333333333,0.8333333333333334,0.2857142857142857,1
258,slipke,1.0,1.0,0.0,2
259,Spasic Vladimir,0.3333333333333333,1.0,0.0,1
260,splicho,0.5,1.0,0.25,1
261,staneb,0.1111111111111111,1.0,0.75,3
262,Stanojevic,0.33333333333333337,1.0,0.0,1
263,stinfio,0.2,0.9166666666666666,0.0,1
264,stipica,0.14285714285714282,0.3333333333333333,0.38461538461538464,0
265,TAMARA L.,0.08333333333333333,0.9166666666666666,0.8461538461538461,3
266,tasa,0.25,1.0,0.5714285714285714,3
267,Tatjana,0.5,0.6666666666666666,0.5,0
268,tibor,0.25,1.0,0.16666666666666666,1
269,Tina Kiler,0.16666666666666666,1.0,0.4615384615384616,3
270,Tja��a,0.1111111111111111,1.0,0.6666666666666666,3
271,Tojo,0.3333333333333333,1.0,0.25,1
272,tomaz1961,0.1111111111111111,0.8181818181818182,0.6666666666666666,3
273,tomba,0.2,0.875,0.5555555555555556,3
274,Tome,0.19999999999999998,0.8333333333333334,0.7142857142857143,3
275,Tomica,0.14285714285714285,1.0,1.0,3
276,Tomislav Cipcic,0.3333333333333333,1.0,0.25,1
277,TonCa,0.16666666666666666,1.0,0.3076923076923077,1
278,Tone,1.0,0.6666666666666666,0.0,2
279,Toni Petkovic,0.16666666666666666,1.0,0.0,1
280,toni88,0.25,1.0,0.25,1
281,Tpk,0.16666666666666669,0.8333333333333334,0.7142857142857143,3
282,Trojan,0.1111111111111111,1.0,0.8888888888888888,3
283,Urle,0.3333333333333333,1.0,0.07692307692307693,1
284,Urosv,0.1111111111111111,1.0,0.75,3
285,Valentin,0.5,0.9166666666666666,0.0,1
286,Vanda,0.5,0.75,0.0,1
287,vanja123,0.33333333333333337,0.5,0.6,0
288,varga,0.19999999999999998,1.0,0.0,1
289,Vedran,0.1,1.0,0.5454545454545454,3
290,Vedran Nikolic,1.0,1.0,0.0,2
291,Vedran_499,0.19999999999999998,0.5,0.42857142857142855,0
292,vedrana,0.3333333333333333,0.3333333333333333,0.5,0
293,vibord,0.14285714285714282,0.9166666666666666,0.15384615384615385,1
294,vid,0.16666666666666666,0.9,0.2727272727272727,1
295,Vido,0.5,0.6666666666666666,0.5,0
296,Vido Repan��ek,0.3333333333333333,1.0,0.75,3
297,Viktor Vic,0.1,0.8,0.6363636363636364,3
298,vini,0.2,0.7777777777777778,0.1,1
299,Vlado,0.09090909090909091,0.9,0.8181818181818182,3
300,Vlajko,0.25,1.0,0.15384615384615385,1
301,Vlasta Svetina,1.0,0.0,0.0,2
302,wavemaker,0.16666666666666666,1.0,0.4166666666666667,3
303,x,0.5,1.0,0.0,1
304,��anetic,0.5,1.0,0.07692307692307693,1
305,Zdenko,0.5,0.5,0.2,0
306,Zdenko ��krlj,0.14285714285714282,0.5,0.38461538461538464,0
307,Zdravko,0.125,1.0,0.3076923076923077,1
308,��ivko Joncic,0.5,1.0,0.07692307692307693,1
309,��S,1.0,0.6666666666666666,0.0,2
310,zvjezdana,0.33333333333333337,1.0,0.4,1
311,Zvonimir Matic,1.0,0.0,0.25,2
