,users,followingRatio,order,freq,catchingUpRatio,features,prediction
36,DejanJ,0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693,"[0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693]",0
37,demirel,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]",1
38,Deni Oreb,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]",1
39,Dimen,0.33333333333333337,0.75,0.4,0.2,"[0.33333333333333337,0.75,0.4,0.2]",3
40,dkervina,0.25,1.0,0.5,0.5,"[0.25,1.0,0.5,0.5]",2
41,dmeic,0.2,0.8333333333333334,0.3076923076923077,0.46153846153846156,"[0.2,0.8333333333333334,0.3076923076923077,0.46153846153846156]",2
42,Dorsi,0.25,1.0,0.4,0.6,"[0.25,1.0,0.4,0.6]",2
43,dragana,0.3333333333333333,0.5,0.42857142857142855,0.5714285714285714,"[0.3333333333333333,0.5,0.42857142857142855,0.5714285714285714]",2
44,drejc,0.125,0.7,0.18181818181818185,0.09090909090909091,"[0.125,0.7,0.18181818181818185,0.09090909090909091]",3
45,Edvard,0.125,1.0,0.7777777777777778,0.1111111111111111,"[0.125,1.0,0.7777777777777778,0.1111111111111111]",0
46,Efa i Neno,0.125,0.75,0.38461538461538464,0.38461538461538464,"[0.125,0.75,0.38461538461538464,0.38461538461538464]",2
47,Elena Nikolovska,0.5,1.0,0.125,0.5,"[0.5,1.0,0.125,0.5]",2
48,Ferijan Perkovic,0.16666666666666666,0.875,0.5555555555555556,0.3333333333333333,"[0.16666666666666666,0.875,0.5555555555555556,0.3333333333333333]",0
49,filip mestrovic,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]",0
50,Gasper,0.25,0.6666666666666666,0.42857142857142855,0.14285714285714285,"[0.25,0.6666666666666666,0.42857142857142855,0.14285714285714285]",3
51,gcampa,0.125,1.0,0.4166666666666667,0.25,"[0.125,1.0,0.4166666666666667,0.25]",3
52,GITA MARINKOVIC,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]",1
53,Goran Cacic,0.16666666666666666,1.0,0.08333333333333333,0.16666666666666666,"[0.16666666666666666,1.0,0.08333333333333333,0.16666666666666666]",3
54,Gordana Genc,0.125,1.0,0.8888888888888888,0.1111111111111111,"[0.125,1.0,0.8888888888888888,0.1111111111111111]",0
55,gpet,0.09999999999999999,0.9090909090909092,0.8333333333333334,0.16666666666666666,"[0.09999999999999999,0.9090909090909092,0.8333333333333334,0.16666666666666666]",0
56,Gregor Primc,0.09999999999999999,1.0,0.4166666666666667,0.08333333333333333,"[0.09999999999999999,1.0,0.4166666666666667,0.08333333333333333]",3
57,greta,0.25,0.6666666666666666,0.2857142857142857,0.42857142857142855,"[0.25,0.6666666666666666,0.2857142857142857,0.42857142857142855]",2
58,Hrvoje Juvancic,0.2,1.0,0.5555555555555556,0.4444444444444444,"[0.2,1.0,0.5555555555555556,0.4444444444444444]",2
59,Igor29,0.5,1.0,0.3333333333333333,0.6666666666666666,"[0.5,1.0,0.3333333333333333,0.6666666666666666]",2
60,IgorGancevic,0.3333333333333333,0.8571428571428571,0.125,0.25,"[0.3333333333333333,0.8571428571428571,0.125,0.25]",3
61,igorr,0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111,"[0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111]",3
62,iivana,0.25,0.8333333333333334,0.2857142857142857,0.14285714285714285,"[0.25,0.8333333333333334,0.2857142857142857,0.14285714285714285]",3
63,Ines,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",1
64,Ivan Odrljin,0.09090909090909093,0.9166666666666666,0.6923076923076923,0.07692307692307693,"[0.09090909090909093,0.9166666666666666,0.6923076923076923,0.07692307692307693]",0
65,IvanV,0.5,0.8,0.3333333333333333,0.3333333333333333,"[0.5,0.8,0.3333333333333333,0.3333333333333333]",2
66,Ivica Komljenovic,0.5,0.9166666666666666,0.15384615384615385,0.8461538461538461,"[0.5,0.9166666666666666,0.15384615384615385,0.8461538461538461]",2
67,Iztok3,0.25,1.0,0.2,0.4,"[0.25,1.0,0.2,0.4]",3
68,jadralec Jaro,0.14285714285714285,0.7142857142857143,0.625,0.125,"[0.14285714285714285,0.7142857142857143,0.625,0.125]",0
69,Jadran,0.09999999999999999,1.0,0.8333333333333334,0.16666666666666666,"[0.09999999999999999,1.0,0.8333333333333334,0.16666666666666666]",0
70,Jani Pristavec,0.08333333333333333,1.0,0.6923076923076923,0.07692307692307693,"[0.08333333333333333,1.0,0.6923076923076923,0.07692307692307693]",0
71,Jasminka,0.19999999999999998,0.8333333333333334,0.5714285714285714,0.2857142857142857,"[0.19999999999999998,0.8333333333333334,0.5714285714285714,0.2857142857142857]",0
72,jelena,0.1,1.0,0.9090909090909092,0.09090909090909091,"[0.1,1.0,0.9090909090909092,0.09090909090909091]",0
73,Jelena-Marija,0.25,0.8,0.2727272727272727,0.6363636363636364,"[0.25,0.8,0.2727272727272727,0.6363636363636364]",2
74,Jelena Cutura,0.25,1.0,0.6,0.2,"[0.25,1.0,0.6,0.2]",0
75,jerko,0.16666666666666666,0.9090909090909092,0.5,0.5,"[0.16666666666666666,0.9090909090909092,0.5,0.5]",2
76,Jerko. Marinkovic,0.125,0.9090909090909092,0.6666666666666666,0.3333333333333333,"[0.125,0.9090909090909092,0.6666666666666666,0.3333333333333333]",0
77,Josip Rabanasic,0.25,0.8333333333333334,0.42857142857142855,0.42857142857142855,"[0.25,0.8333333333333334,0.42857142857142855,0.42857142857142855]",2
78,josko52@gmail.com,0.5,0.8333333333333334,0.14285714285714285,0.7142857142857143,"[0.5,0.8333333333333334,0.14285714285714285,0.7142857142857143]",2
79,Jure Gros,0.16666666666666666,1.0,0.3076923076923077,0.3076923076923077,"[0.16666666666666666,1.0,0.3076923076923077,0.3076923076923077]",3
80,jure111,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",1
81,jurebizjak,0.1111111111111111,1.0,0.5,0.08333333333333333,"[0.1111111111111111,1.0,0.5,0.08333333333333333]",0
82,kapitan72,0.2,0.625,0.5555555555555556,0.4444444444444444,"[0.2,0.625,0.5555555555555556,0.4444444444444444]",2
83,Karla,0.5,1.0,0.5,0.5,"[0.5,1.0,0.5,0.5]",2
84,Karmen Hrvatic,0.16666666666666666,1.0,0.5454545454545454,0.45454545454545453,"[0.16666666666666666,1.0,0.5454545454545454,0.45454545454545453]",2
85,kec,0.3333333333333333,0.9166666666666666,0.07692307692307693,0.07692307692307693,"[0.3333333333333333,0.9166666666666666,0.07692307692307693,0.07692307692307693]",3
86,kemi,0.2,0.5714285714285714,0.5,0.25,"[0.2,0.5714285714285714,0.5,0.25]",3
87,Kreso,0.25,1.0,0.16666666666666666,0.5,"[0.25,1.0,0.16666666666666666,0.5]",2
88,Kristijan Lopac,0.16666666666666666,0.7,0.2727272727272727,0.18181818181818182,"[0.16666666666666666,0.7,0.2727272727272727,0.18181818181818182]",3
89,Kvasina,0.2,1.0,0.4545454545454545,0.5454545454545454,"[0.2,1.0,0.4545454545454545,0.5454545454545454]",2
90,Labura,0.5,1.0,0.25,0.5,"[0.5,1.0,0.25,0.5]",2
91,Lana,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0
92,Lea Svilicic,0.14285714285714285,0.9090909090909092,0.3333333333333333,0.08333333333333333,"[0.14285714285714285,0.9090909090909092,0.3333333333333333,0.08333333333333333]",3
93,Leo Mihaljevic,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0
94,Luc,0.11111111111111112,1.0,0.8181818181818182,0.18181818181818182,"[0.11111111111111112,1.0,0.8181818181818182,0.18181818181818182]",0
95,lucijan,0.125,0.6666666666666666,0.4615384615384616,0.07692307692307693,"[0.125,0.6666666666666666,0.4615384615384616,0.07692307692307693]",3
96,Luka Skocir,0.25,1.0,0.4444444444444444,0.5555555555555556,"[0.25,1.0,0.4444444444444444,0.5555555555555556]",2
97,luka.voncina,0.09999999999999999,1.0,0.8333333333333334,0.16666666666666666,"[0.09999999999999999,1.0,0.8333333333333334,0.16666666666666666]",0
98,lukaaa11,0.25,1.0,0.3333333333333333,0.3333333333333333,"[0.25,1.0,0.3333333333333333,0.3333333333333333]",3
99,Lupodimare,0.25,0.4,0.3333333333333333,0.3333333333333333,"[0.25,0.4,0.3333333333333333,0.3333333333333333]",2
100,Maja Demaria,0.16666666666666669,1.0,0.6,0.4,"[0.16666666666666669,1.0,0.6,0.4]",0
101,Maja Grinek,0.2,0.875,0.3333333333333333,0.4444444444444444,"[0.2,0.875,0.3333333333333333,0.4444444444444444]",2
102,MajaM,0.2,0.5833333333333334,0.38461538461538464,0.6153846153846154,"[0.2,0.5833333333333334,0.38461538461538464,0.6153846153846154]",2
103,Marijana,0.3333333333333333,1.0,0.42857142857142855,0.42857142857142855,"[0.3333333333333333,1.0,0.42857142857142855,0.42857142857142855]",2
104,MARINO BRZAC,0.25,0.9090909090909092,0.3333333333333333,0.6666666666666666,"[0.25,0.9090909090909092,0.3333333333333333,0.6666666666666666]",2
105,Mario Bursac,0.125,1.0,0.7777777777777778,0.1111111111111111,"[0.125,1.0,0.7777777777777778,0.1111111111111111]",0
106,Mario91,0.5,1.0,0.1111111111111111,0.5555555555555556,"[0.5,1.0,0.1111111111111111,0.5555555555555556]",2
107,Marjan Henigman,0.1,1.0,0.9090909090909092,0.09090909090909091,"[0.1,1.0,0.9090909090909092,0.09090909090909091]",0
108,Markisha,0.5,1.0,0.5,0.5,"[0.5,1.0,0.5,0.5]",2
109,Marko Dundovic,0.16666666666666666,0.9166666666666666,0.15384615384615385,0.07692307692307693,"[0.16666666666666666,0.9166666666666666,0.15384615384615385,0.07692307692307693]",3
110,Marko Kralj,0.5,1.0,0.4,0.6,"[0.5,1.0,0.4,0.6]",2
111,marko maticic,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]",2
112,masa sarusic,0.1111111111111111,0.9090909090909092,0.75,0.25,"[0.1111111111111111,0.9090909090909092,0.75,0.25]",0
113,Mate Vitaljic,0.125,0.7777777777777778,0.8,0.2,"[0.125,0.7777777777777778,0.8,0.2]",0
114,Matija Osterc,0.25,0.9166666666666666,0.2307692307692308,0.6923076923076923,"[0.25,0.9166666666666666,0.2307692307692308,0.6923076923076923]",2
115,Matjazzavrl,0.25,0.8571428571428571,0.375,0.125,"[0.25,0.8571428571428571,0.375,0.125]",3
116,mihaelas,0.5,1.0,0.1111111111111111,0.4444444444444444,"[0.5,1.0,0.1111111111111111,0.4444444444444444]",2
117,Miho,0.14285714285714285,0.8,0.3636363636363637,0.18181818181818182,"[0.14285714285714285,0.8,0.3636363636363637,0.18181818181818182]",3
118,Mirela,0.2,0.8333333333333334,0.2307692307692308,0.07692307692307693,"[0.2,0.8333333333333334,0.2307692307692308,0.07692307692307693]",3
119,Mirkomatic,0.16666666666666666,0.9166666666666666,0.2307692307692308,0.3076923076923077,"[0.16666666666666666,0.9166666666666666,0.2307692307692308,0.3076923076923077]",3
120,miroc,1.0,0.8,0.16666666666666666,0.8333333333333334,"[1.0,0.8,0.16666666666666666,0.8333333333333334]",1
121,MojcaDamijan,0.1111111111111111,1.0,0.6153846153846154,0.3076923076923077,"[0.1111111111111111,1.0,0.6153846153846154,0.3076923076923077]",0
122,Nejc Kodric,0.25,1.0,0.15384615384615385,0.6153846153846154,"[0.25,1.0,0.15384615384615385,0.6153846153846154]",2
123,NenadS,0.19999999999999998,1.0,0.25,0.5,"[0.19999999999999998,1.0,0.25,0.5]",2
124,Neven,0.1,0.9166666666666666,0.6923076923076923,0.23076923076923078,"[0.1,0.9166666666666666,0.6923076923076923,0.23076923076923078]",0
125,Niko Vukusic,0.1111111111111111,1.0,0.75,0.25,"[0.1111111111111111,1.0,0.75,0.25]",0
126,niko.mihovilovic,0.0909090909090909,0.9090909090909092,0.4166666666666667,0.08333333333333333,"[0.0909090909090909,0.9090909090909092,0.4166666666666667,0.08333333333333333]",3
127,Nikoleta,0.14285714285714285,1.0,0.7,0.3,"[0.14285714285714285,1.0,0.7,0.3]",0
128,Oaky,0.14285714285714288,1.0,0.7777777777777778,0.2222222222222222,"[0.14285714285714288,1.0,0.7777777777777778,0.2222222222222222]",0
129,Ojiga,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0
130,Pavle,0.09090909090909093,1.0,0.8461538461538461,0.15384615384615385,"[0.09090909090909093,1.0,0.8461538461538461,0.15384615384615385]",0
131,pedro,1.0,1.0,0.2,0.8,"[1.0,1.0,0.2,0.8]",1
132,Pero,0.3333333333333333,1.0,0.1111111111111111,0.1111111111111111,"[0.3333333333333333,1.0,0.1111111111111111,0.1111111111111111]",3
133,Petar,0.14285714285714285,1.0,0.4166666666666667,0.16666666666666666,"[0.14285714285714285,1.0,0.4166666666666667,0.16666666666666666]",3
134,PeterKogej,0.25,0.8,0.18181818181818185,0.2727272727272727,"[0.25,0.8,0.18181818181818185,0.2727272727272727]",3
135,PetraP,0.16666666666666669,1.0,0.6,0.4,"[0.16666666666666669,1.0,0.6,0.4]",0
136,Pina,0.08333333333333333,1.0,0.9230769230769232,0.07692307692307693,"[0.08333333333333333,1.0,0.9230769230769232,0.07692307692307693]",0
137,Pino,0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111,"[0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111]",3
138,Pirko,0.25,1.0,0.16666666666666666,0.16666666666666666,"[0.25,1.0,0.16666666666666666,0.16666666666666666]",3
139,Pjero,0.125,1.0,0.5555555555555556,0.1111111111111111,"[0.125,1.0,0.5555555555555556,0.1111111111111111]",0
140,Plavac_mali,0.125,1.0,0.6666666666666666,0.3333333333333333,"[0.125,1.0,0.6666666666666666,0.3333333333333333]",0
141,plombar,0.14285714285714282,0.75,0.5384615384615384,0.46153846153846156,"[0.14285714285714282,0.75,0.5384615384615384,0.46153846153846156]",2
142,Pokmon,0.14285714285714285,1.0,0.5833333333333334,0.4166666666666667,"[0.14285714285714285,1.0,0.5833333333333334,0.4166666666666667]",0
143,Pokret Otoka,0.25,1.0,0.5714285714285714,0.42857142857142855,"[0.25,1.0,0.5714285714285714,0.42857142857142855]",2
144,RadoL,0.14285714285714285,1.0,0.5,0.25,"[0.14285714285714285,1.0,0.5,0.25]",0
145,Ramo,0.09090909090909093,0.8333333333333334,0.8461538461538461,0.15384615384615385,"[0.09090909090909093,0.8333333333333334,0.8461538461538461,0.15384615384615385]",0
146,rocco337,0.5,1.0,0.2222222222222222,0.7777777777777778,"[0.5,1.0,0.2222222222222222,0.7777777777777778]",2
147,Rok321,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0
148,Roki,0.16666666666666666,0.9166666666666666,0.2307692307692308,0.07692307692307693,"[0.16666666666666666,0.9166666666666666,0.2307692307692308,0.07692307692307693]",3
149,Romana,0.2,0.75,0.3333333333333333,0.3333333333333333,"[0.2,0.75,0.3333333333333333,0.3333333333333333]",3
150,ruzica kovacevic,0.125,1.0,0.5,0.3333333333333333,"[0.125,1.0,0.5,0.3333333333333333]",0
151,Sailman,0.125,1.0,0.6666666666666666,0.3333333333333333,"[0.125,1.0,0.6666666666666666,0.3333333333333333]",0
152,Sandi,0.19999999999999998,1.0,0.6666666666666666,0.16666666666666666,"[0.19999999999999998,1.0,0.6666666666666666,0.16666666666666666]",0
153,sawyer,0.25,1.0,0.2307692307692308,0.46153846153846156,"[0.25,1.0,0.2307692307692308,0.46153846153846156]",2
154,shrike,0.19999999999999998,1.0,0.8333333333333334,0.16666666666666666,"[0.19999999999999998,1.0,0.8333333333333334,0.16666666666666666]",0
155,Silvestar Tokic,0.2,1.0,0.38461538461538464,0.6153846153846154,"[0.2,1.0,0.38461538461538464,0.6153846153846154]",2
156,splicho,0.5,1.0,0.25,0.75,"[0.5,1.0,0.25,0.75]",2
157,staneb,0.1111111111111111,1.0,0.75,0.25,"[0.1111111111111111,1.0,0.75,0.25]",0
158,stipica,0.14285714285714282,0.3333333333333333,0.38461538461538464,0.38461538461538464,"[0.14285714285714282,0.3333333333333333,0.38461538461538464,0.38461538461538464]",2
159,TAMARA L.,0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693,"[0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693]",0
160,tasa,0.25,1.0,0.5714285714285714,0.2857142857142857,"[0.25,1.0,0.5714285714285714,0.2857142857142857]",0
161,Tatjana,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",2
162,tibor,0.25,1.0,0.16666666666666666,0.3333333333333333,"[0.25,1.0,0.16666666666666666,0.3333333333333333]",3
163,Tina Kiler,0.16666666666666666,1.0,0.4615384615384616,0.5384615384615384,"[0.16666666666666666,1.0,0.4615384615384616,0.5384615384615384]",2
164,Tojo,0.3333333333333333,1.0,0.25,0.75,"[0.3333333333333333,1.0,0.25,0.75]",2
165,tomaz1961,0.1111111111111111,0.8181818181818182,0.6666666666666666,0.16666666666666666,"[0.1111111111111111,0.8181818181818182,0.6666666666666666,0.16666666666666666]",0
166,tomba,0.2,0.875,0.5555555555555556,0.4444444444444444,"[0.2,0.875,0.5555555555555556,0.4444444444444444]",2
167,Tome,0.19999999999999998,0.8333333333333334,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,0.8333333333333334,0.7142857142857143,0.2857142857142857]",0
168,Tomislav Cipcic,0.3333333333333333,1.0,0.25,0.25,"[0.3333333333333333,1.0,0.25,0.25]",3
169,TonCa,0.16666666666666666,1.0,0.3076923076923077,0.23076923076923078,"[0.16666666666666666,1.0,0.3076923076923077,0.23076923076923078]",3
170,toni88,0.25,1.0,0.25,0.5,"[0.25,1.0,0.25,0.5]",2
171,Tpk,0.16666666666666669,0.8333333333333334,0.7142857142857143,0.14285714285714285,"[0.16666666666666669,0.8333333333333334,0.7142857142857143,0.14285714285714285]",0
172,Urle,0.3333333333333333,1.0,0.07692307692307693,0.15384615384615385,"[0.3333333333333333,1.0,0.07692307692307693,0.15384615384615385]",3
173,Urosv,0.1111111111111111,1.0,0.75,0.16666666666666666,"[0.1111111111111111,1.0,0.75,0.16666666666666666]",0
174,vanja123,0.33333333333333337,0.5,0.6,0.4,"[0.33333333333333337,0.5,0.6,0.4]",2
175,Vedran,0.1,1.0,0.5454545454545454,0.09090909090909091,"[0.1,1.0,0.5454545454545454,0.09090909090909091]",0
176,Vedran_499,0.19999999999999998,0.5,0.42857142857142855,0.14285714285714285,"[0.19999999999999998,0.5,0.42857142857142855,0.14285714285714285]",3
177,vedrana,0.3333333333333333,0.3333333333333333,0.5,0.25,"[0.3333333333333333,0.3333333333333333,0.5,0.25]",2
178,vibord,0.14285714285714282,0.9166666666666666,0.15384615384615385,0.23076923076923078,"[0.14285714285714282,0.9166666666666666,0.15384615384615385,0.23076923076923078]",3
179,vid,0.16666666666666666,0.9,0.2727272727272727,0.36363636363636365,"[0.16666666666666666,0.9,0.2727272727272727,0.36363636363636365]",3
180,Vido,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",2
181,Viktor Vic,0.1,0.8,0.6363636363636364,0.09090909090909091,"[0.1,0.8,0.6363636363636364,0.09090909090909091]",0
182,wavemaker,0.16666666666666666,1.0,0.4166666666666667,0.4166666666666667,"[0.16666666666666666,1.0,0.4166666666666667,0.4166666666666667]",2
183,Zdenko,0.5,0.5,0.2,0.4,"[0.5,0.5,0.2,0.4]",2
184,Zdravko,0.125,1.0,0.3076923076923077,0.15384615384615385,"[0.125,1.0,0.3076923076923077,0.15384615384615385]",3
185,zvjezdana,0.33333333333333337,1.0,0.4,0.4,"[0.33333333333333337,1.0,0.4,0.4]",2
186,Zvonimir Matic,1.0,0.0,0.25,0.75,"[1.0,0.0,0.25,0.75]",1
