,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,prediction
183,Nikola Bar��ic,0.5384615384615384,0.20833333333333331,0.0,"[0.5384615384615384,0.20833333333333331,0.0]",-0.5266706242185586,-0.1433687673800321,2
184,Nikoleta,0.7692307692307693,0.03571428571428572,1.0,"[0.7692307692307693,0.03571428571428572,1.0]",-0.971210936149511,0.7957256294038252,0
185,nikonikokaoja,0.3076923076923077,0.0,0.6666666666666666,"[0.3076923076923077,0.0,0.6666666666666666]",-0.4472382199554624,0.578189944248742,1
186,Oaky,0.6923076923076923,0.02380952380952382,1.0,"[0.6923076923076923,0.02380952380952382,1.0]",-0.8961010690170642,0.8139856555376528,0
187,Ojiga,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
188,Pavle,1.0,0.015151515151515155,1.0,"[1.0,0.015151515151515155,1.0]",-1.1961346429740853,0.7479457794962678,0
189,pedro,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]",-0.976362674957691,0.7068765754424621,0
190,peri,1.0,0.006944444444444438,0.75,"[1.0,0.006944444444444438,0.75]",-1.1408971247607242,0.5069766042066464,0
191,Pero,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8971314167787001,0.7962158447453802,0
192,Petar,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",-1.1214306704144046,0.7592055771361699,0
193,PeterKogej,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]",-1.0028865071642161,0.5716568247943216,0
194,PetraP,0.7692307692307693,0.05555555555555556,1.0,"[0.7692307692307693,0.05555555555555556,1.0]",-0.9713540400052938,0.7932576001271207,0
195,Pina,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.196075450015557,0.748966646151632,0
196,Pino,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8971314167787001,0.7962158447453802,0
197,Pirko,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]",-1.1222034312356315,0.7458782190419654,0
198,Pjerino,0.4615384615384616,0.0,1.0,"[0.4615384615384616,0.0,1.0]",-0.6708573299331937,0.867284916373113,1
199,Pjero,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8960044739144108,0.8156515752994284,0
200,Plavac_mali,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",-1.1213018769442,0.7614268034852039,0
201,plombar,1.0,0.07142857142857144,0.75,"[1.0,0.07142857142857144,0.75]",-1.1413622122920184,0.4989555090573566,0
202,Pokmon,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",-1.1214306704144046,0.7592055771361699,0
203,Pokret Otoka,0.5384615384615384,0.0625,1.0,"[0.5384615384615384,0.0625,1.0]",-0.7463321118978864,0.8427314155836889,1
204,Polona,1.0,0.037037037037037035,0.9166666666666666,"[1.0,0.037037037037037035,0.9166666666666666]",-1.17789971577855,0.6645601211003015,0
205,Primosius,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
206,RadoL,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]",-1.1214306704144046,0.7592055771361699,0
207,Ramo,1.0,0.015151515151515155,0.8333333333333334,"[1.0,0.015151515151515155,0.8333333333333334]",-1.159349092804197,0.5866190848662775,0
208,Rebeka,1.0,0.052083333333333336,1.0,"[1.0,0.052083333333333336,1.0]",-1.196401011287463,0.7433518795471291,0
209,RobiF,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]",-0.5208093202952395,0.9008433335087229,1
210,rocco337,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.8980329710701317,0.7806672603021416,0
211,Rok321,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
212,Roki,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",-1.1783337974744246,0.6570737656276311,0
213,rokian,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
214,Romana,0.6923076923076923,0.06666666666666668,0.75,"[0.6923076923076923,0.06666666666666668,0.75]",-0.8412318480907222,0.5666646703549854,0
215,ruzica kovacevic,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",-1.1213018769442,0.7614268034852039,0
216,Sailman,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",-1.1213018769442,0.7614268034852039,0
217,Salieri,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]",-1.121842809519059,0.7520976528192608,0
218,Sandi,0.4615384615384616,0.016666666666666663,1.0,"[0.4615384615384616,0.016666666666666663,1.0]",-0.6709775371720512,0.8652117717806812,1
219,sawyer,1.0,0.1875,1.0,"[1.0,0.1875,1.0]",-1.1973776951031803,0.7265075797336207,0
220,shrike,0.4615384615384616,0.016666666666666663,1.0,"[0.4615384615384616,0.016666666666666663,1.0]",-0.6709775371720512,0.8652117717806812,1
221,Silvestar Tokic,1.0,0.13333333333333333,1.0,"[1.0,0.13333333333333333,1.0]",-1.1969870215768934,0.7332452996590241,0
222,��imun Zamberlin,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]",-1.1776826749306128,0.6683032988366366,0
223,��katja,0.5384615384615384,0.11111111111111112,0.8333333333333334,"[0.5384615384615384,0.11111111111111112,0.8333333333333334]",-0.7098971661746656,0.6753580492257724,1
224,slipke,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]",-0.5982374698913672,0.8426012330922819,1
225,splicho,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",-0.8227084481540109,0.8026293303510261,1
226,staneb,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.121201704245152,0.7631544239788971,0
227,Stanojevic,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]",-0.5962340159104084,0.8771536429661453,1
228,stipica,1.0,0.07142857142857144,0.3333333333333333,"[1.0,0.07142857142857144,0.3333333333333333]",-1.049398336867297,0.09563877248238045,2
229,TAMARA L.,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]",-1.1776826749306128,0.6683032988366366,0
230,tasa,0.5384615384615384,0.0625,1.0,"[0.5384615384615384,0.0625,1.0]",-0.7463321118978864,0.8427314155836889,1
231,Tatjana,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.44783925614975006,0.567824221286583,1
232,tibor,0.4615384615384616,0.04166666666666666,1.0,"[0.4615384615384616,0.04166666666666666,1.0]",-0.6711578480303375,0.8621020548920335,1
233,Tina Kiler,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",-1.1967265725593688,0.7377371129426263,0
234,Tja��a,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.121201704245152,0.7631544239788971,0
235,Tojo,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]",-1.1228044674299194,0.7355124960798064,0
236,tomaz1961,0.9230769230769232,0.027777777777777773,0.8181818181818182,"[0.9230769230769232,0.027777777777777773,0.8181818181818182]",-1.0810720131507283,0.5871616662007257,0
237,tomba,0.6923076923076923,0.06666666666666668,0.875,"[0.6923076923076923,0.06666666666666668,0.875]",-0.8688210107181386,0.6876596913274782,0
238,Tome,0.5384615384615384,0.033333333333333326,0.8333333333333334,"[0.5384615384615384,0.033333333333333326,0.8333333333333334]",-0.7093361990599971,0.6850327239904541,1
239,Tomica,0.5384615384615384,0.0,1.0,"[0.5384615384615384,0.0,1.0]",-0.7458813347521707,0.8505057078053081,1
240,Tomislav Cipcic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
241,TonCa,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",-1.1967265725593688,0.7377371129426263,0
242,toni88,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]",-1.1222034312356315,0.7458782190419654,0
243,Tpk,0.5384615384615384,0.013888888888888895,0.8333333333333334,"[0.5384615384615384,0.013888888888888895,0.8333333333333334]",-0.70919595728133,0.6874513926816246,1
244,Trojan,0.6923076923076923,0.0,1.0,"[0.6923076923076923,0.0,1.0]",-0.8959293443901248,0.8169472906696983,0
245,Urle,1.0,0.2777777777777777,1.0,"[1.0,0.2777777777777777,1.0]",-1.198028817646992,0.7152780465246151,0
246,Urosv,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.121201704245152,0.7631544239788971,0
247,vanja123,0.38461538461538464,0.05555555555555556,0.5,"[0.38461538461538464,0.05555555555555556,0.5]",-0.4858773654007428,0.39317355907617396,2
248,Vedran,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]",-1.0460374576475078,0.7823523012378725,0
249,Vedran_499,0.5384615384615384,0.033333333333333326,0.5,"[0.5384615384615384,0.033333333333333326,0.5]",-0.6357650987202201,0.3623793347304732,2
250,vedrana,0.3076923076923077,0.027777777777777773,0.3333333333333333,"[0.3076923076923077,0.027777777777777773,0.3333333333333333]",-0.37386746501378126,0.2520813140013748,2
251,vibord,1.0,0.07142857142857144,0.9166666666666666,"[1.0,0.07142857142857144,0.9166666666666666]",-1.178147762461907,0.660282203687347,0
252,vid,0.8461538461538461,0.06944444444444442,0.9,"[0.8461538461538461,0.06944444444444442,0.9]",-1.0244068874213856,0.6779547542876283,0
253,Vido,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]",-0.44783925614975006,0.567824221286583,1
254,Vido Repan��ek,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
255,Viktor Vic,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]",-1.0018947974436414,0.5887602676818839,0
256,vini,0.7692307692307693,0.08333333333333333,0.7777777777777778,"[0.7692307692307693,0.08333333333333333,0.7777777777777778]",-0.9225069851768717,0.5747000996330803,0
257,Vlado,0.8461538461538461,0.0,0.9,"[0.8461538461538461,0.0,0.9]",-1.023906023926146,0.6865928567560942,0
258,Vlajko,1.0,0.1875,1.0,"[1.0,0.1875,1.0]",-1.1973776951031803,0.7265075797336207,0
259,Vlasta Svetina,0.9230769230769232,0.9166666666666666,0.0,"[0.9230769230769232,0.9166666666666666,0.0]",-0.9068994559648894,-0.31537345539740846,2
260,wavemaker,0.9230769230769232,0.08333333333333333,1.0,"[0.9230769230769232,0.08333333333333333,1.0]",-1.1216023950413438,0.7562439420041245,0
261,x,0.7692307692307693,0.3333333333333333,1.0,"[0.7692307692307693,0.3333333333333333,1.0]",-0.9733574939862527,0.7587051902532572,0
262,��anetic,1.0,0.4583333333333333,1.0,"[1.0,0.4583333333333333,1.0]",-1.1993310627346152,0.6928189801066039,0
263,Zdenko,0.38461538461538464,0.125,0.5,"[0.38461538461538464,0.125,0.5]",-0.48637822889598253,0.38453545660770816,2
264,Zdenko ��krlj,1.0,0.07142857142857144,0.5,"[1.0,0.07142857142857144,0.5]",-1.0861838870371856,0.2569654671123709,2
265,Zdravko,1.0,0.052083333333333336,1.0,"[1.0,0.052083333333333336,1.0]",-1.196401011287463,0.7433518795471291,0
266,��ivko Joncic,1.0,0.4583333333333333,1.0,"[1.0,0.4583333333333333,1.0]",-1.1993310627346152,0.6928189801066039,0
267,zvjezdana,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]",-0.5962340159104084,0.8771536429661453,1
268,Zvonimir Matic,0.3076923076923077,0.25,0.0,"[0.3076923076923077,0.25,0.0]",-0.3018991278587713,-0.09821400315769681,2
