,users,totalVidsRatio,intensityNormalized,order,features,probability,prediction
138,Kiklop,0.8461538461538461,0.10000000000000002,0.4,"[0.8461538461538461,0.10000000000000002,0.4]","[6.517995394639878e-16,0.03659645444966054,0.9634035455503381,6.517995382170148e-16]",2
139,KlaraM,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
140,Kopacin,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
141,Kreso,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]","[3.227687506384855e-11,1.461677952364842e-09,5.6088828963397505e-08,0.9999999424172162]",3
142,Kristijan Lopac,0.8461538461538461,0.06944444444444442,0.7,"[0.8461538461538461,0.06944444444444442,0.7]","[0.002187467874038948,0.005571018786496779,0.9922415133394643,6.730985467572985e-17]",2
143,Ksenija,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
144,Ksenija Sekulic,0.9230769230769232,0.08333333333333333,0.4545454545454545,"[0.9230769230769232,0.08333333333333333,0.4545454545454545]","[4.07133336634364e-16,0.011297362936478681,0.9887026370635206,4.07130428006498e-16]",2
145,Kskoric,0.7692307692307693,0.19444444444444445,0.8888888888888888,"[0.7692307692307693,0.19444444444444445,0.8888888888888888]","[6.590505627178895e-05,0.023134574427800453,0.9767995205159278,8.761145955987944e-17]",2
146,Kvasina,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]","[5.281283701078254e-09,9.79328495382631e-10,1.6114910987461924e-08,0.9999999776244768]",3
147,Labura,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.0515241562991604e-15,2.9296457746865054e-10,1.798681713092685e-10,0.9999999995271661]",3
148,Lana,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
149,Lea Svilicic,0.9230769230769232,0.05952380952380953,0.9090909090909092,"[0.9230769230769232,0.05952380952380953,0.9090909090909092]","[0.9635879491889766,0.0005748980756730926,0.03583715273535037,1.1626900338375454e-17]",0
150,Lejla,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
151,Leo Mihaljevic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
152,ljubica basic,1.0,0.0,1.0,"[1.0,0.0,1.0]","[1.5605823585579424e-07,3.2127011603630895e-10,3.760475561140901e-09,0.9999998398600184]",3
153,Luc,0.8461538461538461,0.018518518518518528,1.0,"[0.8461538461538461,0.018518518518518528,1.0]","[2.307371808941173e-08,5.710315398561579e-10,2.0607694120850417e-09,0.999999974294481]",3
154,lucijan,1.0,0.052083333333333336,0.6666666666666666,"[1.0,0.052083333333333336,0.6666666666666666]","[6.349301403675269e-07,0.0019349610069228234,0.9980644040629367,1.1684180530145524e-16]",2
155,ludmilla,0.38461538461538464,0.0,0.5,"[0.38461538461538464,0.0,0.5]","[7.4141122513289355e-06,0.04428006297347453,0.9557125229142737,5.194388029718842e-16]",2
156,Luka Skocir,0.6923076923076923,0.10416666666666667,1.0,"[0.6923076923076923,0.10416666666666667,1.0]","[1.649428892381953e-10,9.921816592467302e-10,6.426872465679834e-09,0.999999992416003]",3
157,luka.voncina,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]","[8.597811317721768e-08,4.728410612681751e-10,3.5249468313823144e-09,0.9999999100240989]",3
158,lukaaa11,0.4615384615384616,0.04166666666666666,1.0,"[0.4615384615384616,0.04166666666666666,1.0]","[7.098077734896189e-13,5.187245447704141e-10,1.7318012763045516e-10,0.9999999993073855]",3
159,Lupodimare,0.4615384615384616,0.04166666666666666,0.4,"[0.4615384615384616,0.04166666666666666,0.4]","[1.171662374775314e-13,0.03701573380817638,0.9629842661917062,2.7180519234747424e-16]",2
160,Maja Demaria,0.7692307692307693,0.05555555555555556,1.0,"[0.7692307692307693,0.05555555555555556,1.0]","[5.683062009050241e-09,7.850449803790139e-10,3.4208336705497472e-09,0.9999999901110593]",3
161,Maja Grinek,0.6923076923076923,0.06666666666666668,0.875,"[0.6923076923076923,0.06666666666666668,0.875]","[0.9626596973503095,0.0017777178634171256,0.03556258478627345,1.3384407863655526e-17]",0
162,maja laurence,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[4.748508207374016e-09,0.027676842299475958,0.9723231529520153,4.563076242109587e-16]",2
163,MajaM,1.0,0.13333333333333333,0.5833333333333334,"[1.0,0.13333333333333333,0.5833333333333334]","[2.331791543653278e-14,0.007546972027095529,0.9924530279728809,2.237685593541089e-16]",2
164,Marco,1.0,0.2777777777777777,0.8333333333333334,"[1.0,0.2777777777777777,0.8333333333333334]","[3.4649385134723465e-13,0.0706217609225517,0.9293782390771014,4.063828016260865e-16]",2
165,Mare_,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]","[9.935346470013568e-15,3.8583952748858935e-10,1.5528130049322534e-11,0.9999999995986225]",3
166,mare10,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]","[1.137803289146788e-05,0.026935105832156244,0.9730535161349521,1.3289189077761807e-16]",2
167,Maria,0.6153846153846154,0.0119047619047619,0.8571428571428571,"[0.6153846153846154,0.0119047619047619,0.8571428571428571]","[0.9874494724325213,0.002085271366209091,0.010465256201269538,2.2761437976632134e-17]",0
168,Marijana,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]","[1.4811401720784237e-12,7.609586406890201e-10,2.525925630072339e-09,0.9999999967116346]",3
169,MARINO BRZAC,0.9230769230769232,0.16666666666666666,0.9090909090909092,"[0.9230769230769232,0.16666666666666666,0.9090909090909092]","[0.002385484235721582,0.01238435417270978,0.9852301615915687,9.473430606392286e-17]",2
170,Mario Bursac,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]","[5.276693248314039e-10,6.358331211691792e-10,4.366946703973355e-10,0.9999999983998029]",3
171,Mario91,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]","[5.743826181541948e-23,2.349505157551474e-09,1.9726475414403014e-08,0.9999999779240195]",3
172,Marjan Henigman,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]","[1.733911585462792e-08,5.335340531946647e-10,1.4779200524561774e-09,0.9999999806494301]",3
173,Markisha,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.0515241562991604e-15,2.9296457746865054e-10,1.798681713092685e-10,0.9999999995271661]",3
174,Marko Dundovic,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]","[0.6887666294940217,0.0022720281197961072,0.3089613423861822,5.583999614384731e-17]",0
175,Marko Kralj,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]","[2.7673621514224654e-15,4.366125631273763e-10,1.100980974670773e-09,0.9999999984624037]",3
176,Marko L,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]","[2.0301634587881168e-09,0.03580131090744678,0.9641986870623896,1.596655128223995e-16]",2
177,marko maticic,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]","[0.9580836593940034,0.0028564763299286254,0.03905986427606778,5.987752720352299e-17]",0
178,Maru��aaaa,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
179,Ma��a,0.7692307692307693,0.02083333333333333,1.0,"[0.7692307692307693,0.02083333333333333,1.0]","[4.782378657318853e-09,6.439801562929657e-10,1.1985937548058892e-09,0.9999999933750474]",3
180,masa sarusic,0.9230769230769232,0.027777777777777773,0.9090909090909092,"[0.9230769230769232,0.027777777777777773,0.9090909090909092]","[0.9846858520470859,0.0003670692116325818,0.014947078741281443,1.0516327582749572e-17]",0
181,Mate Vitaljic,0.7692307692307693,0.02083333333333333,0.7777777777777778,"[0.7692307692307693,0.02083333333333333,0.7777777777777778]","[0.8872375169309835,0.002304898452176081,0.11045758461684044,2.887375667545433e-17]",0
182,Matea Pavicic,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]","[5.891538969808736e-11,8.228216615975493e-10,2.2629746395096267e-09,0.9999999968552883]",3
183,Matija Osterc,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]","[8.826841468504394e-05,0.010901322451535658,0.9890104091337791,1.1600012465934197e-16]",2
184,Matija Turkalj,0.8461538461538461,0.10000000000000002,0.9,"[0.8461538461538461,0.10000000000000002,0.9]","[0.749911622725565,0.0043824884381974145,0.24570588883623776,3.8934549762577987e-17]",0
185,Matjazzavrl,0.6153846153846154,0.08333333333333333,0.8571428571428571,"[0.6153846153846154,0.08333333333333333,0.8571428571428571]","[0.9181708089454452,0.003780572224974458,0.07804861882958034,2.511051302141168e-17]",0
186,Mauro,0.6923076923076923,0.10416666666666667,0.75,"[0.6923076923076923,0.10416666666666667,0.75]","[0.19796228710295063,0.01046500945022783,0.7915727034468216,5.15994580817969e-17]",2
187,MedoPiki,1.0,0.13333333333333333,1.0,"[1.0,0.13333333333333333,1.0]","[3.15205199491038e-09,9.96303799916949e-10,6.119059968200248e-08,0.9999999346610445]",3
188,melina lako��,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]","[2.5273830981415636e-22,1.1784286437764632e-08,7.495042358060056e-15,0.9999999882157061]",3
189,mihaelas,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]","[5.743826181541948e-23,2.349505157551474e-09,1.9726475414403014e-08,0.9999999779240195]",3
190,Miho,0.8461538461538461,0.047619047619047616,0.8,"[0.8461538461538461,0.047619047619047616,0.8]","[0.8193080176070955,0.0019069818793428443,0.17878500051356166,2.6894733461140604e-17]",0
191,Milan Kura��,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]","[3.4258416075222848e-12,0.057539449071332655,0.9424605509252412,3.3113945685075913e-16]",2
192,miranF,1.0,1.0,1.0,"[1.0,1.0,1.0]","[1.6697727225515434e-19,9.86832405268095e-07,1.6697727225706074e-19,0.9999990131675948]",3
193,Mirela,1.0,0.13333333333333333,0.8333333333333334,"[1.0,0.13333333333333333,0.8333333333333334]","[0.006714085097803816,0.004562516655421584,0.9887233982467747,8.174484171709692e-17]",2
194,Mirjana Pu��karski,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]","[6.241960180070282e-11,6.263949794758649e-10,2.333530081476513e-10,0.9999999990778324]",3
195,Mirkomatic,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]","[0.6887666294940217,0.0022720281197961072,0.3089613423861822,5.583999614384731e-17]",0
196,miroc,0.4615384615384616,0.4166666666666667,0.8,"[0.4615384615384616,0.4166666666666667,0.8]","[7.0824678407197895e-15,0.6582474692702247,0.3417525307297612,7.082467840719689e-15]",1
197,Mi��o,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
198,MojcaDamijan,1.0,0.037037037037037035,1.0,"[1.0,0.037037037037037035,1.0]","[3.179427896264407e-07,4.4078120340292046e-10,1.0883745235077074e-08,0.9999996707326839]",3
199,Nada,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]","[2.2241434587280453e-20,2.887451803725555e-07,2.2241559180672922e-20,0.9999997112548197]",3
200,Nata��a,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]","[5.74191537769571e-12,5.759640777945253e-10,1.2443212743014816e-10,0.999999999293862]",3
201,Nejc Kodric,1.0,0.1875,1.0,"[1.0,0.1875,1.0]","[3.885902453195069e-12,1.5694225415365565e-09,8.37158142426534e-08,0.9999999147108773]",3
202,Nejc Likar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.0515241562991604e-15,2.9296457746865054e-10,1.798681713092685e-10,0.9999999995271661]",3
203,nenad,0.5384615384615384,0.0,1.0,"[0.5384615384615384,0.0,1.0]","[3.204089061919423e-12,5.530446289484099e-10,7.145811974923221e-11,0.9999999993722931]",3
204,NenadS,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]","[5.545720726992431e-09,1.0060536995154998e-09,3.338688183185152e-08,0.9999999600613438]",3
205,Neven,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]","[0.9806870152172831,0.00025976157696957705,0.01905322320574736,1.4639078584556456e-17]",0
206,Niko Vukusic,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]","[1.0424744900425528e-07,5.144888807370293e-10,4.900789804104222e-09,0.9999998903372723]",3
207,niko.mihovilovic,0.9230769230769232,0.007575757575757569,0.9090909090909092,"[0.9230769230769232,0.007575757575757569,0.9090909090909092]","[0.9863463132319019,0.0004620852099057355,0.013191601558192285,1.6761172292988793e-17]",0
208,Nikola Bar��ic,0.5384615384615384,0.20833333333333331,0.0,"[0.5384615384615384,0.20833333333333331,0.0]","[7.542891573887041e-15,0.9999377259169312,6.227408305373574e-05,7.542891573887041e-15]",1
209,Nikolaj,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
210,Nikoleta,0.7692307692307693,0.03571428571428572,1.0,"[0.7692307692307693,0.03571428571428572,1.0]","[5.974718512280521e-09,7.011434616770842e-10,1.924063096701083e-09,0.9999999914000749]",3
211,nikonikokaoja,0.3076923076923077,0.0,0.6666666666666666,"[0.3076923076923077,0.0,0.6666666666666666]","[0.9489299755842214,0.006412923262861454,0.04465710115291705,1.5229604714109358e-16]",0
212,Nina1,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
213,NinaP,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[4.748508207374016e-09,0.027676842299475958,0.9723231529520153,4.563076242109587e-16]",2
214,noordung,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]","[2.519600907257154e-23,5.171663424786741e-10,4.918719731155289e-09,0.9999999945641139]",3
215,Oaky,0.6923076923076923,0.02380952380952382,1.0,"[0.6923076923076923,0.02380952380952382,1.0]","[7.682901837341868e-10,6.779492303540035e-10,6.994166705583963e-10,0.999999997854344]",3
216,Ojiga,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
217,p2035e,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]","[2.7673621514224654e-15,4.366125631273763e-10,1.100980974670773e-09,0.9999999984624037]",3
218,Paval,1.0,0.2777777777777777,1.0,"[1.0,0.2777777777777777,1.0]","[7.761060868258311e-20,3.323981830308662e-09,4.92674114352319e-08,0.9999999474086066]",3
219,Pavle,1.0,0.015151515151515155,1.0,"[1.0,0.015151515151515155,1.0]","[2.467313294418164e-07,3.657094897500466e-10,5.965912952146373e-09,0.9999997469370482]",3
220,pedro,0.7692307692307693,0.75,1.0,"[0.7692307692307693,0.75,1.0]","[8.653056778266134e-22,3.15532855578871e-08,7.813068129051685e-18,0.9999999684467143]",3
221,peri,1.0,0.006944444444444438,0.75,"[1.0,0.006944444444444438,0.75]","[0.0087236623264308,0.002872839580735932,0.988403498092833,2.5686998752615875e-16]",2
222,Pero,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]","[5.564481937113285e-13,1.3279461575446225e-09,1.754750440253252e-08,0.999999981123993]",3
223,Petar,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]","[9.113083987839725e-08,6.543479267850293e-10,1.1258180478527161e-08,0.9999998969566317]",3
224,PeterKogej,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]","[0.004595864818606745,0.009394561145606538,0.9860095740357868,5.523710515632974e-17]",2
225,PetraP,0.7692307692307693,0.05555555555555556,1.0,"[0.7692307692307693,0.05555555555555556,1.0]","[5.683062009050241e-09,7.850449803790139e-10,3.4208336705497472e-09,0.9999999901110593]",3
226,Pina,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]","[1.9811980396723955e-07,3.409352894580719e-10,4.667736343105331e-09,0.9999997968715243]",3
227,Pino,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]","[5.564481937113285e-13,1.3279461575446225e-09,1.754750440253252e-08,0.999999981123993]",3
228,Pirko,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]","[3.227687506384855e-11,1.461677952364842e-09,5.6088828963397505e-08,0.9999999424172162]",3
229,Pjerino,0.4615384615384616,0.0,1.0,"[0.4615384615384616,0.0,1.0]","[2.044412055269738e-13,4.778261456625176e-10,3.374119793301812e-11,0.9999999994882282]",3
230,Pjero,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]","[5.276693248314039e-10,6.358331211691792e-10,4.366946703973355e-10,0.9999999983998029]",3
231,Plavac_mali,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]","[1.1136360929291298e-07,5.716395509099944e-10,7.194260399650442e-09,0.9999998808704907]",3
232,plombar,1.0,0.07142857142857144,0.75,"[1.0,0.07142857142857144,0.75]","[0.002284450265415382,0.0024602514675312955,0.9952552982670533,9.686376481650437e-17]",2
233,Pokmon,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]","[9.113083987839725e-08,6.543479267850293e-10,1.1258180478527161e-08,0.9999998969566317]",3
234,Pokret Otoka,0.5384615384615384,0.0625,1.0,"[0.5384615384615384,0.0625,1.0]","[9.582918743666174e-12,6.628586337592143e-10,6.784416128348828e-10,0.9999999986491169]",3
235,Polona,1.0,0.037037037037037035,0.9166666666666666,"[1.0,0.037037037037037035,0.9166666666666666]","[0.9761657248006131,0.0002734544066616042,0.02356082079272529,1.3288065120544334e-17]",0
236,poppy,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]","[8.826841468504394e-05,0.010901322451535658,0.9890104091337791,1.1600012465934197e-16]",2
237,Primosius,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
238,RadoL,0.9230769230769232,0.05952380952380953,1.0,"[0.9230769230769232,0.05952380952380953,1.0]","[9.113083987839725e-08,6.543479267850293e-10,1.1258180478527161e-08,0.9999998969566317]",3
239,Ramo,1.0,0.015151515151515155,0.8333333333333334,"[1.0,0.015151515151515155,0.8333333333333334]","[0.7707117071593192,0.0012810200902340356,0.22800727275044674,8.878950379864734e-17]",0
240,Rebeka,1.0,0.052083333333333336,1.0,"[1.0,0.052083333333333336,1.0]","[2.861280874210607e-07,5.010057180093203e-10,1.573280443557753e-08,0.9999996976381024]",3
241,RobiF,0.3076923076923077,0.0,1.0,"[0.3076923076923077,0.0,1.0]","[3.677463417453118e-16,2.911860738926617e-10,6.9651034454351814e-12,0.9999999997018485]",3
242,rocco337,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]","[5.743826181541948e-23,2.349505157551474e-09,1.9726475414403014e-08,0.9999999779240195]",3
243,Rok321,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
244,Roki,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]","[0.6887666294940217,0.0022720281197961072,0.3089613423861822,5.583999614384731e-17]",0
245,rokian,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
246,roman113,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[3.0280873117849243e-23,1.0001259284420074e-09,1.426333933321936e-09,0.9999999975735402]",3
247,Romana,0.6923076923076923,0.06666666666666668,0.75,"[0.6923076923076923,0.06666666666666668,0.75]","[0.690639697981187,0.004873440609201596,0.3044868614096114,3.166020576925935e-17]",0
248,ruzica kovacevic,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]","[1.1136360929291298e-07,5.716395509099944e-10,7.194260399650442e-09,0.9999998808704907]",3
249,Safet,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]","[1.6152145810244975e-12,1.0134891912271035e-09,7.495256705009743e-09,0.9999999914896389]",3
250,Sailman,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]","[1.1136360929291298e-07,5.716395509099944e-10,7.194260399650442e-09,0.9999998808704907]",3
251,Salieri,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]","[5.545720726992431e-09,1.0060536995154998e-09,3.338688183185152e-08,0.9999999600613438]",3
252,Sandi,0.4615384615384616,0.016666666666666663,1.0,"[0.4615384615384616,0.016666666666666663,1.0]","[4.1485872058140305e-13,4.938924145669219e-10,6.712768863279818e-11,0.9999999994385651]",3
253,sawyer,1.0,0.1875,1.0,"[1.0,0.1875,1.0]","[3.885902453195069e-12,1.5694225415365565e-09,8.37158142426534e-08,0.9999999147108773]",3
254,shrike,0.4615384615384616,0.016666666666666663,1.0,"[0.4615384615384616,0.016666666666666663,1.0]","[4.1485872058140305e-13,4.938924145669219e-10,6.712768863279818e-11,0.9999999994385651]",3
255,Silvestar Tokic,1.0,0.13333333333333333,1.0,"[1.0,0.13333333333333333,1.0]","[3.15205199491038e-09,9.96303799916949e-10,6.119059968200248e-08,0.9999999346610445]",3
256,��imun Zamberlin,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]","[0.9823431255714854,0.0003144175987893858,0.01734245682972509,2.22950936942022e-17]",0
257,��katja,0.5384615384615384,0.11111111111111112,0.8333333333333334,"[0.5384615384615384,0.11111111111111112,0.8333333333333334]","[0.6390229786605865,0.012846255889875839,0.3481307654495376,8.450539668893262e-17]",0
258,slipke,0.38461538461538464,0.3333333333333333,1.0,"[0.38461538461538464,0.3333333333333333,1.0]","[2.519600907257154e-23,5.171663424786741e-10,4.918719731155289e-09,0.9999999945641139]",3
259,Spasic Vladimir,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]","[4.2906445929109175e-13,5.620905215583569e-10,6.716105428702176e-10,0.9999999987658699]",3
260,splicho,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]","[1.084559011269058e-19,1.5226251521667267e-09,1.844322725758825e-08,0.9999999800341476]",3
261,staneb,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]","[1.0424744900425528e-07,5.144888807370293e-10,4.900789804104222e-09,0.9999998903372723]",3
262,Stanojevic,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]","[3.9265340694145783e-14,4.0846490613705476e-10,1.4088908497989256e-10,0.9999999994506068]",3
263,stinfio,1.0,0.13333333333333333,0.9166666666666666,"[1.0,0.13333333333333333,0.9166666666666666]","[0.08098020216783389,0.006742566659290021,0.912277231172876,1.154361300623752e-16]",2
264,stipica,1.0,0.07142857142857144,0.3333333333333333,"[1.0,0.07142857142857144,0.3333333333333333]","[5.645035456109751e-15,0.030446997158569744,0.969553002841419,5.645035456109751e-15]",2
265,TAMARA L.,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]","[0.9823431255714854,0.0003144175987893858,0.01734245682972509,2.22950936942022e-17]",0
266,tasa,0.5384615384615384,0.0625,1.0,"[0.5384615384615384,0.0625,1.0]","[9.582918743666174e-12,6.628586337592143e-10,6.784416128348828e-10,0.9999999986491169]",3
267,Tatjana,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]","[0.8179682937478219,0.004870405348601164,0.17716130090357676,8.473084091451335e-17]",0
268,tibor,0.4615384615384616,0.04166666666666666,1.0,"[0.4615384615384616,0.04166666666666666,1.0]","[7.098077734896189e-13,5.187245447704141e-10,1.7318012763045516e-10,0.9999999993073855]",3
269,Tina Kiler,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]","[5.31127502868483e-08,7.346452529970453e-10,3.816421923525658e-08,0.9999999079883852]",3
270,Tja��a,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]","[1.0424744900425528e-07,5.144888807370293e-10,4.900789804104222e-09,0.9999998903372723]",3
271,Tojo,0.9230769230769232,0.25,1.0,"[0.9230769230769232,0.25,1.0]","[2.2613678313961972e-17,2.708221449518879e-09,5.430993646738137e-08,0.999999942981842]",3
272,tomaz1961,0.9230769230769232,0.027777777777777773,0.8181818181818182,"[0.9230769230769232,0.027777777777777773,0.8181818181818182]","[0.8324609003048841,0.0013948056949235092,0.16614429400019248,4.1489099524260476e-17]",0
273,tomba,0.6923076923076923,0.06666666666666668,0.875,"[0.6923076923076923,0.06666666666666668,0.875]","[0.9626596973503095,0.0017777178634171256,0.03556258478627345,1.3384407863655526e-17]",0
274,Tome,0.5384615384615384,0.033333333333333326,0.8333333333333334,"[0.5384615384615384,0.033333333333333326,0.8333333333333334]","[0.9865466702196531,0.0016348788051672477,0.011818450975179638,1.6301032107473525e-17]",0
275,Tomica,0.5384615384615384,0.0,1.0,"[0.5384615384615384,0.0,1.0]","[3.204089061919423e-12,5.530446289484099e-10,7.145811974923221e-11,0.9999999993722931]",3
276,Tomislav Cipcic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
277,TonCa,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]","[5.31127502868483e-08,7.346452529970453e-10,3.816421923525658e-08,0.9999999079883852]",3
