,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,featuresForScaler,features,prediction
134,lucijan,Ordinary - Registered,0.38461538461538464,0.15384615384615385,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.38461538461538464,0.15384615384615385,0.46153846153846156]","[0.3130728898068531,-0.6710540012145998,0.378003469890077]",0
135,ludmilla,Ordinary - Registered,0.4,0.0,0.6,5.0,Independant,1,"[0.4,0.0,0.6]","[0.3609485543399327,-1.1011010730287871,0.7533002956292718]",0
136,Luka Skocir,Ordinary - Registered,0.2222222222222222,0.7777777777777778,0.0,9.0,Catch-upper,2,"[0.2222222222222222,0.7777777777777778,0.0]","[-0.1922813469312094,1.073025790031827,-0.8729859492405728]",0
137,luka.voncina,Ordinary - Registered,0.75,0.25,0.0,12.0,Follower,0,"[0.75,0.25,0.0]","[1.4501199224674934,-0.40227458133073263,-0.8729859492405728]",0
138,lukaaa11,Ordinary - Registered,0.3333333333333333,0.5,0.16666666666666666,6.0,Mixed - No predominent behavior,3,"[0.3333333333333333,0.5,0.16666666666666666]","[0.15348734136325434,0.2965519103673219,-0.4212397701100605]",0
139,Lupodimare,Ordinary - Registered,0.16666666666666666,0.5,0.3333333333333333,6.0,Mixed - No predominent behavior,3,"[0.16666666666666666,0.5,0.3333333333333333]","[-0.36516569107844127,0.2965519103673219,0.030506409020451927]",0
140,Maja Demaria,Ordinary - Registered,0.5,0.5,0.0,10.0,Mixed - No predominent behavior,3,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
141,Maja Grinek,Ordinary - Registered,0.2222222222222222,0.6666666666666666,0.1111111111111111,9.0,Catch-upper,2,"[0.2222222222222222,0.6666666666666666,0.1111111111111111]","[-0.1922813469312094,0.7624362381660248,-0.5718218298202312]",0
142,maja laurence,Ordinary - Registered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
143,MajaM,Ordinary - Registered,0.3076923076923077,0.6923076923076923,0.0,13.0,Catch-upper,2,"[0.3076923076923077,0.6923076923076923,0.0]","[0.07369456714145513,0.8341107501350561,-0.8729859492405728]",0
144,Mare_,Ordinary - Registered,1.0,0.0,0.0,5.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
145,mare10,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
146,Maria,Ordinary - Registered,0.625,0.0,0.375,8.0,Follower,0,"[0.625,0.0,0.375]","[1.0611301481362219,-1.1011010730287871,0.1434429538030801]",0
147,Marijana,Ordinary - Registered,0.14285714285714285,0.8571428571428571,0.0,7.0,Catch-upper,2,"[0.14285714285714285,0.8571428571428571,0.0]","[-0.43925898142725495,1.2948754699359712,-0.8729859492405728]",0
148,MARINO BRZAC,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,12.0,Catch-upper,2,"[0.16666666666666666,0.8333333333333334,0.0]","[-0.36516569107844127,1.228320565964728,-0.8729859492405728]",0
149,Mario Bursac,Ordinary - Registered,0.7777777777777778,0.2222222222222222,0.0,9.0,Follower,0,"[0.7777777777777778,0.2222222222222222,0.0]","[1.5365620945411096,-0.47992196929718317,-0.8729859492405728]",0
150,Mario91,Ordinary - Registered,0.0,0.6666666666666666,0.3333333333333333,9.0,Catch-upper,2,"[0.0,0.6666666666666666,0.3333333333333333]","[-0.8838187235201369,0.7624362381660248,0.030506409020451927]",0
151,Marjan Henigman,Ordinary - Registered,0.8181818181818182,0.18181818181818182,0.0,11.0,Follower,0,"[0.8181818181818182,0.18181818181818182,0.0]","[1.6622961630118238,-0.5928636245211112,-0.8729859492405728]",0
152,Markisha,Ordinary - Registered,0.25,0.75,0.0,4.0,Catch-upper,2,"[0.25,0.75,0.0]","[-0.10583917485759342,0.9953784020653764,-0.8729859492405728]",0
153,Marko Dundovic,Ordinary - Registered,0.07692307692307693,0.15384615384615385,0.7692307692307693,13.0,Independant,1,"[0.07692307692307693,0.15384615384615385,0.7692307692307693]","[-0.6444404008547389,-0.6710540012145998,1.2119964159771768]",0
154,Marko Kralj,Ordinary - Registered,0.0,1.0,0.0,5.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
155,Marko L,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
156,marko maticic,Ordinary - Registered,0.25,0.5,0.25,4.0,Catch-upper,2,"[0.25,0.5,0.25]","[-0.10583917485759342,0.2965519103673219,-0.19536668054480422]",0
157,Maša,Ordinary - Registered,0.7,0.3,0.0,10.0,Follower,0,"[0.7,0.3,0.0]","[1.2945240127349846,-0.26250928299112175,-0.8729859492405728]",0
158,masa sarusic,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,"[0.5833333333333334,0.4166666666666667,0.0]","[0.931466890025798,0.06360974646797045,-0.8729859492405728]",0
159,Mate Vitaljic,Ordinary - Registered,0.6,0.4,0.0,10.0,Follower,0,"[0.6,0.4,0.0]","[0.9833321932699673,0.01702131368810015,-0.8729859492405728]",0
160,Matija Osterc,Ordinary - Registered,0.15384615384615385,0.7692307692307693,0.07692307692307693,13.0,Catch-upper,2,"[0.15384615384615385,0.7692307692307693,0.07692307692307693]","[-0.40506207818934087,1.04913428604215,-0.6644877127187979]",0
161,Matija Turkalj,Ordinary - Registered,0.0,0.0,1.0,11.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
162,Matjazzavrl,Ordinary - Registered,0.25,0.25,0.5,8.0,Independant,1,"[0.25,0.25,0.5]","[-0.10583917485759342,-0.40227458133073263,0.4822525881509644]",0
163,Mauro,Ordinary - Registered,0.0,0.0,1.0,9.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
164,MedoPiki,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
165,melina lakoš,Ordinary - Registered,0.0,0.0,1.0,9.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
166,mihaelas,Ordinary - Registered,0.0,0.5555555555555556,0.4444444444444444,9.0,Catch-upper,2,"[0.0,0.5555555555555556,0.4444444444444444]","[-0.8838187235201369,0.451846686300223,0.33167052844079353]",0
167,Miho,Ordinary - Registered,0.18181818181818182,0.36363636363636365,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.18181818181818182,0.36363636363636365,0.45454545454545453]","[-0.31801541540192346,-0.0846261760134351,0.3590490847517337]",0
168,Milan Kuraš,Ordinary - Registered,0.0,0.15384615384615385,0.8461538461538461,13.0,Independant,1,"[0.0,0.15384615384615385,0.8461538461538461]","[-0.8838187235201369,-0.6710540012145998,1.420494652498952]",0
169,Mirela,Ordinary - Registered,0.15384615384615385,0.15384615384615385,0.6923076923076923,13.0,Independant,1,"[0.15384615384615385,0.15384615384615385,0.6923076923076923]","[-0.40506207818934087,-0.6710540012145998,1.0034981794554017]",0
170,Mirjana Puškarski,Ordinary - Registered,0.75,0.25,0.0,8.0,Follower,0,"[0.75,0.25,0.0]","[1.4501199224674934,-0.40227458133073263,-0.8729859492405728]",0
171,Mirkomatic,Ordinary - Registered,0.15384615384615385,0.38461538461538464,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.15384615384615385,0.38461538461538464,0.46153846153846156]","[-0.40506207818934087,-0.025983393493318595,0.378003469890077]",0
172,miroc,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
173,Mišo,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
174,MojcaDamijan,Ordinary - Registered,0.6153846153846154,0.38461538461538464,0.0,13.0,Follower,0,"[0.6153846153846154,0.38461538461538464,0.0]","[1.0312078578030472,-0.025983393493318595,-0.8729859492405728]",0
175,Nataša,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.14285714285714285,7.0,Follower,0,"[0.5714285714285714,0.2857142857142857,0.14285714285714285]","[0.8944202448513909,-0.3024422253738678,-0.4857749385572765]",0
176,Nejc Kodric,Ordinary - Registered,0.07692307692307693,0.6923076923076923,0.23076923076923078,13.0,Catch-upper,2,"[0.07692307692307693,0.6923076923076923,0.23076923076923078]","[-0.6444404008547389,0.8341107501350561,-0.24749123967524794]",0
177,Nejc Likar,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[-0.10583917485759342,-1.1011010730287871,1.159871856846733]",0
178,nenad,Ordinary - Registered,1.0,0.0,0.0,7.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
179,NenadS,Ordinary - Registered,0.16666666666666666,0.5833333333333334,0.25,12.0,Catch-upper,2,"[0.16666666666666666,0.5833333333333334,0.25]","[-0.36516569107844127,0.5294940742666735,-0.19536668054480422]",0
180,Neven,Ordinary - Registered,0.6153846153846154,0.38461538461538464,0.0,13.0,Follower,0,"[0.6153846153846154,0.38461538461538464,0.0]","[1.0312078578030472,-0.025983393493318595,-0.8729859492405728]",0
181,Niko Vukusic,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,12.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
182,niko.mihovilovic,Ordinary - Registered,0.75,0.16666666666666666,0.08333333333333333,12.0,Follower,0,"[0.75,0.16666666666666666,0.08333333333333333]","[1.4501199224674934,-0.6352167452300842,-0.6471128596753167]",0
183,Nikola Baržic,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
184,Nikoleta,Ordinary - Registered,0.6,0.4,0.0,10.0,Follower,0,"[0.6,0.4,0.0]","[0.9833321932699673,0.01702131368810015,-0.8729859492405728]",0
185,nikonikokaoja,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[-0.10583917485759342,-1.1011010730287871,1.159871856846733]",0
186,Oaky,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,9.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
187,Ojiga,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
188,Pavle,Ordinary - Registered,0.7692307692307693,0.23076923076923078,0.0,13.0,Follower,0,"[0.7692307692307693,0.23076923076923078,0.0]","[1.5099645031338431,-0.456030465307506,-0.8729859492405728]",0
189,pedro,Ordinary - Registered,0.0,1.0,0.0,10.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
190,peri,Ordinary - Registered,0.7692307692307693,0.0,0.23076923076923078,13.0,Follower,0,"[0.7692307692307693,0.0,0.23076923076923078]","[1.5099645031338431,-1.1011010730287871,-0.24749123967524794]",0
191,Pero,Ordinary - Registered,0.0,0.2222222222222222,0.7777777777777778,9.0,Independant,1,"[0.0,0.2222222222222222,0.7777777777777778]","[-0.8838187235201369,-0.47992196929718317,1.2351628867018185]",0
192,Petar,Ordinary - Registered,0.3333333333333333,0.25,0.4166666666666667,12.0,Mixed - No predominent behavior,3,"[0.3333333333333333,0.25,0.4166666666666667]","[0.15348734136325434,-0.40227458133073263,0.25637949858570824]",0
193,PeterKogej,Ordinary - Registered,0.09090909090909091,0.36363636363636365,0.5454545454545454,11.0,Independant,1,"[0.09090909090909091,0.36363636363636365,0.5454545454545454]","[-0.6009170694610302,-0.0846261760134351,0.605456091550195]",0
194,PetraP,Ordinary - Registered,0.2,0.8,0.0,10.0,Catch-upper,2,"[0.2,0.8,0.0]","[-0.2614350845901021,1.1351437004049876,-0.8729859492405728]",0
195,Pina,Ordinary - Registered,0.8461538461538461,0.15384615384615385,0.0,13.0,Follower,0,"[0.8461538461538461,0.15384615384615385,0.0]","[1.749342825799241,-0.6710540012145998,-0.8729859492405728]",0
196,Pino,Ordinary - Registered,0.1111111111111111,0.2222222222222222,0.6666666666666666,9.0,Independant,1,"[0.1111111111111111,0.2222222222222222,0.6666666666666666]","[-0.5380500352256732,-0.47992196929718317,0.9339987672814767]",0
197,Pirko,Ordinary - Registered,0.0,0.3333333333333333,0.6666666666666666,12.0,Independant,1,"[0.0,0.3333333333333333,0.6666666666666666]","[-0.8838187235201369,-0.16933241743138117,0.9339987672814767]",0
198,Pjerino,Ordinary - Registered,1.0,0.0,0.0,6.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
199,Pjero,Ordinary - Registered,0.5555555555555556,0.2222222222222222,0.2222222222222222,9.0,Follower,0,"[0.5555555555555556,0.2222222222222222,0.2222222222222222]","[0.845024717952182,-0.47992196929718317,-0.2706577103998897]",0
200,Plavac_mali,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,"[0.5833333333333334,0.4166666666666667,0.0]","[0.931466890025798,0.06360974646797045,-0.8729859492405728]",0
201,plombar,Ordinary - Registered,0.23076923076923078,0.7692307692307693,0.0,13.0,Catch-upper,2,"[0.23076923076923078,0.7692307692307693,0.0]","[-0.16568375552394288,1.04913428604215,-0.8729859492405728]",0
202,Pokmon,Ordinary - Registered,0.3333333333333333,0.6666666666666666,0.0,12.0,Catch-upper,2,"[0.3333333333333333,0.6666666666666666,0.0]","[0.15348734136325434,0.7624362381660248,-0.8729859492405728]",0
203,Pokret Otoka,Ordinary - Registered,0.2857142857142857,0.7142857142857143,0.0,7.0,Catch-upper,2,"[0.2857142857142857,0.7142857142857143,0.0]","[0.00530076066562702,0.8955460461085115,-0.8729859492405728]",0
204,Polona,Ordinary - Registered,0.46153846153846156,0.0,0.5384615384615384,13.0,Independant,1,"[0.46153846153846156,0.0,0.5384615384615384]","[0.5524512124722512,-1.1011010730287871,0.5865017064118518]",0
205,Primosius,Ordinary - Registered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
206,RadoL,Ordinary - Registered,0.4166666666666667,0.3333333333333333,0.25,12.0,Mixed - No predominent behavior,3,"[0.4166666666666667,0.3333333333333333,0.25]","[0.4128138575841023,-0.16933241743138117,-0.19536668054480422]",0
207,Ramo,Ordinary - Registered,0.7692307692307693,0.23076923076923078,0.0,13.0,Follower,0,"[0.7692307692307693,0.23076923076923078,0.0]","[1.5099645031338431,-0.456030465307506,-0.8729859492405728]",0
208,Rebeka,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
209,RobiF,Ordinary - Registered,0.75,0.0,0.25,4.0,Follower,0,"[0.75,0.0,0.25]","[1.4501199224674934,-1.1011010730287871,-0.19536668054480422]",0
210,rocco337,Ordinary - Registered,0.0,1.0,0.0,9.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
211,Rok321,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
212,Roki,Ordinary - Registered,0.15384615384615385,0.15384615384615385,0.6923076923076923,13.0,Independant,1,"[0.15384615384615385,0.15384615384615385,0.6923076923076923]","[-0.40506207818934087,-0.6710540012145998,1.0034981794554017]",0
213,rokian,Ordinary - Registered,0.5,0.0,0.5,4.0,Follower,0,"[0.5,0.0,0.5]","[0.6721403738049501,-1.1011010730287871,0.4822525881509644]",0
214,Romana,Ordinary - Registered,0.1111111111111111,0.5555555555555556,0.3333333333333333,9.0,Catch-upper,2,"[0.1111111111111111,0.5555555555555556,0.3333333333333333]","[-0.5380500352256732,0.451846686300223,0.030506409020451927]",0
215,ruzica kovacevic,Ordinary - Registered,0.25,0.5833333333333334,0.16666666666666666,12.0,Catch-upper,2,"[0.25,0.5833333333333334,0.16666666666666666]","[-0.10583917485759342,0.5294940742666735,-0.4212397701100605]",0
216,Sailman,Ordinary - Registered,0.5,0.5,0.0,12.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
217,Salieri,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
218,Sandi,Ordinary - Registered,0.5,0.3333333333333333,0.16666666666666666,6.0,Mixed - No predominent behavior,3,"[0.5,0.3333333333333333,0.16666666666666666]","[0.6721403738049501,-0.16933241743138117,-0.4212397701100605]",0
219,sawyer,Ordinary - Registered,0.07692307692307693,0.6153846153846154,0.3076923076923077,13.0,Catch-upper,2,"[0.07692307692307693,0.6153846153846154,0.3076923076923077]","[-0.6444404008547389,0.6190872142279625,-0.03899300315347296]",0
220,shrike,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
221,Silvestar Tokic,Ordinary - Registered,0.3076923076923077,0.6923076923076923,0.0,13.0,Catch-upper,2,"[0.3076923076923077,0.6923076923076923,0.0]","[0.07369456714145513,0.8341107501350561,-0.8729859492405728]",0
222,Šimun Zamberlin,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,"[0.7692307692307693,0.15384615384615385,0.07692307692307693]","[1.5099645031338431,-0.6710540012145998,-0.6644877127187979]",0
223,Škatja,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.5714285714285714,7.0,Independant,1,"[0.14285714285714285,0.2857142857142857,0.5714285714285714]","[-0.43925898142725495,-0.3024422253738678,0.6758580934926125]",0
224,slipke,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
225,splicho,Ordinary - Registered,0.0,1.0,0.0,8.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
226,staneb,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,"[0.5833333333333334,0.4166666666666667,0.0]","[0.931466890025798,0.06360974646797045,-0.8729859492405728]",0
227,Stanojevic,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
228,stipica,Ordinary - Registered,0.3076923076923077,0.46153846153846156,0.23076923076923078,13.0,Mixed - No predominent behavior,3,"[0.3076923076923077,0.46153846153846156,0.23076923076923078]","[0.07369456714145513,0.18904014241377512,-0.24749123967524794]",0
229,TAMARA L.,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,"[0.7692307692307693,0.15384615384615385,0.07692307692307693]","[1.5099645031338431,-0.6710540012145998,-0.6644877127187979]",0
230,tasa,Ordinary - Registered,0.2857142857142857,0.7142857142857143,0.0,7.0,Catch-upper,2,"[0.2857142857142857,0.7142857142857143,0.0]","[0.00530076066562702,0.8955460461085115,-0.8729859492405728]",0
231,Tatjana,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
232,tibor,Ordinary - Registered,0.0,0.5,0.5,6.0,Mixed - No predominent behavior,3,"[0.0,0.5,0.5]","[-0.8838187235201369,0.2965519103673219,0.4822525881509644]",0
233,Tina Kiler,Ordinary - Registered,0.15384615384615385,0.8461538461538461,0.0,13.0,Catch-upper,2,"[0.15384615384615385,0.8461538461538461,0.0]","[-0.40506207818934087,1.2641578219492435,-0.8729859492405728]",0
234,Tjaša,Ordinary - Registered,0.5833333333333334,0.25,0.16666666666666666,12.0,Follower,0,"[0.5833333333333334,0.25,0.16666666666666666]","[0.931466890025798,-0.40227458133073263,-0.4212397701100605]",0
235,Tojo,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,12.0,Catch-upper,2,"[0.16666666666666666,0.8333333333333334,0.0]","[-0.36516569107844127,1.228320565964728,-0.8729859492405728]",0
236,tomaz1961,Ordinary - Registered,0.5,0.3333333333333333,0.16666666666666666,12.0,Follower,0,"[0.5,0.3333333333333333,0.16666666666666666]","[0.6721403738049501,-0.16933241743138117,-0.4212397701100605]",0
237,tomba,Ordinary - Registered,0.2222222222222222,0.7777777777777778,0.0,9.0,Catch-upper,2,"[0.2222222222222222,0.7777777777777778,0.0]","[-0.1922813469312094,1.073025790031827,-0.8729859492405728]",0
238,Tome,Ordinary - Registered,0.42857142857142855,0.5714285714285714,0.0,7.0,Catch-upper,2,"[0.42857142857142855,0.5714285714285714,0.0]","[0.449860502758509,0.4962166222810517,-0.8729859492405728]",0
239,Tomica,Ordinary - Registered,1.0,0.0,0.0,7.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
240,Tomislav Cipcic,Ordinary - Registered,0.0,0.5,0.5,4.0,Catch-upper,2,"[0.0,0.5,0.5]","[-0.8838187235201369,0.2965519103673219,0.4822525881509644]",0
241,TonCa,Ordinary - Registered,0.15384615384615385,0.38461538461538464,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.15384615384615385,0.38461538461538464,0.46153846153846156]","[-0.40506207818934087,-0.025983393493318595,0.378003469890077]",0
242,toni88,Ordinary - Registered,0.08333333333333333,0.6666666666666666,0.25,12.0,Catch-upper,2,"[0.08333333333333333,0.6666666666666666,0.25]","[-0.6244922072992891,0.7624362381660248,-0.19536668054480422]",0
243,Tpk,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.14285714285714285,7.0,Follower,0,"[0.5714285714285714,0.2857142857142857,0.14285714285714285]","[0.8944202448513909,-0.3024422253738678,-0.4857749385572765]",0
244,Trojan,Ordinary - Registered,0.8888888888888888,0.0,0.1111111111111111,9.0,Follower,0,"[0.8888888888888888,0.0,0.1111111111111111]","[1.882330782835573,-1.1011010730287871,-0.5718218298202312]",0
245,Urle,Ordinary - Registered,0.0,0.23076923076923078,0.7692307692307693,13.0,Independant,1,"[0.0,0.23076923076923078,0.7692307692307693]","[-0.8838187235201369,-0.456030465307506,1.2119964159771768]",0
246,Urosv,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,"[0.5833333333333334,0.4166666666666667,0.0]","[0.931466890025798,0.06360974646797045,-0.8729859492405728]",0
247,vanja123,Ordinary - Registered,0.2,0.8,0.0,5.0,Catch-upper,2,"[0.2,0.8,0.0]","[-0.2614350845901021,1.1351437004049876,-0.8729859492405728]",0
248,Vedran,Ordinary - Registered,0.45454545454545453,0.18181818181818182,0.36363636363636365,11.0,Mixed - No predominent behavior,3,"[0.45454545454545453,0.18181818181818182,0.36363636363636365]","[0.5306895467753967,-0.5928636245211112,0.11264207795327244]",0
249,Vedran_499,Ordinary - Registered,0.2857142857142857,0.2857142857142857,0.42857142857142855,7.0,Mixed - No predominent behavior,3,"[0.2857142857142857,0.2857142857142857,0.42857142857142855]","[0.00530076066562702,-0.3024422253738678,0.28864708280931617]",0
250,vedrana,Ordinary - Registered,0.25,0.5,0.25,4.0,Catch-upper,2,"[0.25,0.5,0.25]","[-0.10583917485759342,0.2965519103673219,-0.19536668054480422]",0
251,vibord,Ordinary - Registered,0.0,0.38461538461538464,0.6153846153846154,13.0,Independant,1,"[0.0,0.38461538461538464,0.6153846153846154]","[-0.8838187235201369,-0.025983393493318595,0.7949999429336269]",0
252,vid,Ordinary - Registered,0.09090909090909091,0.5454545454545454,0.36363636363636365,11.0,Catch-upper,2,"[0.09090909090909091,0.5454545454545454,0.36363636363636365]","[-0.6009170694610302,0.4236112724942408,0.11264207795327244]",0
253,Vido,Ordinary - Registered,0.25,0.75,0.0,4.0,Catch-upper,2,"[0.25,0.75,0.0]","[-0.10583917485759342,0.9953784020653764,-0.8729859492405728]",0
254,Vido Repanšek,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
255,Viktor Vic,Ordinary - Registered,0.5454545454545454,0.18181818181818182,0.2727272727272727,11.0,Follower,0,"[0.5454545454545454,0.18181818181818182,0.2727272727272727]","[0.8135912008345033,-0.5928636245211112,-0.13376492884518895]",0
256,vini,Ordinary - Registered,0.1,0.0,0.9,10.0,Independant,1,"[0.1,0.0,0.9]","[-0.5726269040551195,-1.1011010730287871,1.5664434180641944]",0
257,Vlado,Ordinary - Registered,0.8181818181818182,0.0,0.18181818181818182,11.0,Follower,0,"[0.8181818181818182,0.0,0.18181818181818182]","[1.6622961630118238,-1.1011010730287871,-0.3801719356436502]",0
258,Vlajko,Ordinary - Registered,0.0,0.15384615384615385,0.8461538461538461,13.0,Independant,1,"[0.0,0.15384615384615385,0.8461538461538461]","[-0.8838187235201369,-0.6710540012145998,1.420494652498952]",0
259,Vlasta Svetina,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
260,wavemaker,Ordinary - Registered,0.16666666666666666,0.6666666666666666,0.16666666666666666,12.0,Catch-upper,2,"[0.16666666666666666,0.6666666666666666,0.16666666666666666]","[-0.36516569107844127,0.7624362381660248,-0.4212397701100605]",0
261,x,Ordinary - Registered,0.0,0.0,1.0,10.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
262,Žanetic,Ordinary - Registered,0.0,0.5384615384615384,0.46153846153846156,13.0,Catch-upper,2,"[0.0,0.5384615384615384,0.46153846153846156]","[-0.8838187235201369,0.4040636783208687,0.378003469890077]",0
263,Zdenko,Ordinary - Registered,0.0,0.6,0.4,5.0,Catch-upper,2,"[0.0,0.6,0.4]","[-0.8838187235201369,0.5760825070465436,0.211204880672657]",0
264,Zdenko Škrlj,Ordinary - Registered,0.3076923076923077,0.15384615384615385,0.5384615384615384,13.0,Independant,1,"[0.3076923076923077,0.15384615384615385,0.5384615384615384]","[0.07369456714145513,-0.6710540012145998,0.5865017064118518]",0
265,Zdravko,Ordinary - Registered,0.15384615384615385,0.3076923076923077,0.5384615384615384,13.0,Independant,1,"[0.15384615384615385,0.3076923076923077,0.5384615384615384]","[-0.40506207818934087,-0.24100692940041232,0.5865017064118518]",0
266,Živko Joncic,Ordinary - Registered,0.0,0.9230769230769231,0.07692307692307693,13.0,Catch-upper,2,"[0.0,0.9230769230769231,0.07692307692307693]","[-0.8838187235201369,1.4791813578563375,-0.6644877127187979]",0
267,zvjezdana,Ordinary - Registered,0.2,0.6,0.2,5.0,Catch-upper,2,"[0.2,0.6,0.2]","[-0.2614350845901021,0.5760825070465436,-0.3308905342839579]",0
