,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,regularitybehavior,regularityClasses,features,probability,prediction
87,IgorGancevic,Ordinary - Registered,1.0,2.0,5.0,Independant,1,"[1.0,2.0,5.0]","[0.000182251382141953,0.9998177486173964,2.308583816116476e-13,2.308583816116476e-13]",1
88,igorr,Ordinary - Registered,2.0,1.0,6.0,Independant,1,"[2.0,1.0,6.0]","[7.896717708287685e-07,0.9999992103278306,1.9931498348659094e-13,1.9931498348659094e-13]",1
89,iivana,Ordinary - Registered,2.0,1.0,4.0,Independant,1,"[2.0,1.0,4.0]","[0.05739311709784968,0.9426068829014667,3.4184459393480304e-13,3.4184459393480304e-13]",1
90,Ina,Ordinary - Registered,9.0,0.0,1.0,Follower,0,"[9.0,0.0,1.0]","[2.8894380470761767e-05,8.457243565314903e-09,0.9999710971622857,6.906371967600217e-17]",2
91,Ines,Ordinary - Registered,1.0,7.0,0.0,Catch-upper,2,"[1.0,7.0,0.0]","[6.696349984269451e-19,4.590777841009684e-07,6.585845632681009e-19,0.9999995409222159]",3
92,Ivan Odrljin,Ordinary - Registered,9.0,1.0,3.0,Follower,0,"[9.0,1.0,3.0]","[0.9991482294488313,0.0008517705498404796,6.641095908776261e-13,6.641095908776261e-13]",0
93,Ivana PR,Ordinary - Registered,5.0,0.0,0.0,Follower,0,"[5.0,0.0,0.0]","[3.000104368997422e-08,4.196290186752542e-09,0.13807185464504412,0.861928111157622]",3
94,IvanV,Ordinary - Registered,4.0,2.0,0.0,Follower,0,"[4.0,2.0,0.0]","[5.307595831596476e-07,6.353387130311361e-08,3.1773770953853195e-19,0.9999994057065456]",3
95,Ivica Komljenovic,Ordinary - Registered,2.0,11.0,0.0,Catch-upper,2,"[2.0,11.0,0.0]","[1.0482632365047826e-17,2.929736272644863e-07,1.0482632365047826e-17,0.9999997070263728]",3
96,Iztok3,Ordinary - Registered,2.0,4.0,4.0,Mixed - No predominent behavior,3,"[2.0,4.0,4.0]","[4.992866163403093e-06,0.9999950071335912,1.226827614719011e-13,1.226827614719011e-13]",1
97,jadralec Jaro,Ordinary - Registered,5.0,1.0,2.0,Follower,0,"[5.0,1.0,2.0]","[0.9713547473289968,0.028645252670858098,7.251939658098332e-14,7.251939658098332e-14]",0
98,Jadran,Ordinary - Registered,10.0,2.0,0.0,Follower,0,"[10.0,2.0,0.0]","[5.885485913373616e-07,4.781975671438478e-11,1.5261658614330405e-18,0.999999411403589]",3
99,Janez  stupica,Ordinary - Registered,5.0,0.0,3.0,Follower,0,"[5.0,0.0,3.0]","[1.1182702922213767e-06,6.593623318234837e-07,0.999998222367376,2.127938769873915e-18]",2
100,Jani Pristavec,Ordinary - Registered,12.0,1.0,0.0,Follower,0,"[12.0,1.0,0.0]","[6.691060961847308e-07,1.5172649515396402e-13,5.895227809490772e-18,0.9999993308937521]",3
101,Jaroš,Ordinary - Registered,4.0,1.0,1.0,Follower,0,"[4.0,1.0,1.0]","[0.9736860057410013,0.026313994258759014,1.1988539489848149e-13,1.1988539489848149e-13]",0
102,Jasminka,Ordinary - Registered,5.0,2.0,0.0,Follower,0,"[5.0,2.0,0.0]","[4.98829575802363e-07,3.91173507499114e-08,2.970623461439526e-19,0.9999994620530734]",3
103,jelena,Ordinary - Registered,10.0,1.0,0.0,Follower,0,"[10.0,1.0,0.0]","[4.923734259976596e-07,1.6872538161040853e-11,1.3975450749221375e-18,0.9999995076097015]",3
104,Jelena-Marija,Ordinary - Registered,3.0,7.0,1.0,Catch-upper,2,"[3.0,7.0,1.0]","[4.877163789831302e-13,0.9999999999985569,4.776685958365933e-13,4.776685958365933e-13]",1
105,Jelena Cutura,Ordinary - Registered,3.0,1.0,1.0,Follower,0,"[3.0,1.0,1.0]","[0.9687381240370816,0.031261875962639046,1.3970249339202863e-13,1.3970249339202863e-13]",0
106,jerko,Ordinary - Registered,6.0,6.0,0.0,Follower,0,"[6.0,6.0,0.0]","[2.825225329235683e-16,1.9914247957952656e-07,7.304242304780947e-19,0.9999998008575202]",3
107,Jerko. Marinkovic,Ordinary - Registered,8.0,4.0,0.0,Follower,0,"[8.0,4.0,0.0]","[9.728474153135018e-10,7.875562069705934e-09,7.779978411268945e-19,0.9999999911515906]",3
108,Josip Rabanasic,Ordinary - Registered,3.0,3.0,1.0,Mixed - No predominent behavior,3,"[3.0,3.0,1.0]","[0.44661679906433976,0.5533832009349798,3.4014492663445777e-13,3.4014492663445777e-13]",1
109,josko52@gmail.com,Ordinary - Registered,1.0,5.0,1.0,Catch-upper,2,"[1.0,5.0,1.0]","[1.2252105717196021e-05,0.9999877478929968,6.430084190353281e-13,6.430084190353281e-13]",1
110,JOZE,Ordinary - Registered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[1.990724701905048e-10,4.863309469293737e-07,0.9999995134699806,1.2423396057374423e-18]",2
111,Jožko,Ordinary - Registered,6.0,1.0,3.0,Follower,0,"[6.0,1.0,3.0]","[0.9203239329677718,0.07967606703171524,2.5648482145313944e-13,2.5648482145313944e-13]",0
112,Jure Gros,Ordinary - Registered,4.0,4.0,5.0,Mixed - No predominent behavior,3,"[4.0,4.0,5.0]","[3.481703273293705e-08,0.9999999651825185,2.2440980634483286e-13,2.2440980634483286e-13]",1
113,jure111,Ordinary - Registered,1.0,5.0,0.0,Catch-upper,2,"[1.0,5.0,0.0]","[2.9119877714707106e-12,2.966974074585406e-07,4.565724573702348e-19,0.9999997032996805]",3
114,jurebizjak,Ordinary - Registered,6.0,1.0,5.0,Follower,0,"[6.0,1.0,5.0]","[0.003584148181304083,0.9964158518150472,1.824335824634739e-12,1.824335824634739e-12]",1
115,kapitan72,Ordinary - Registered,5.0,4.0,0.0,Follower,0,"[5.0,4.0,0.0]","[1.0244282243824807e-09,1.7074380631299235e-07,2.876029498508682e-19,0.9999998282317655]",3
116,Karla,Ordinary - Registered,2.0,2.0,0.0,Follower,0,"[2.0,2.0,0.0]","[6.608468680138701e-07,7.118042456204074e-08,5.393653781022578e-19,0.9999992679727073]",3
117,Karmen Hrvatic,Ordinary - Registered,6.0,5.0,0.0,Follower,0,"[6.0,5.0,0.0]","[1.5850767943592249e-12,1.3746377727529445e-07,4.683226162412593e-19,0.9999998625346377]",3
118,Katarina Šedlbauer,Ordinary - Registered,0.0,0.0,7.0,Independant,1,"[0.0,0.0,7.0]","[2.831473361589699e-16,8.61316639487991e-07,0.9999991386833602,1.0927027095488727e-18]",2
119,kec,Ordinary - Registered,1.0,1.0,11.0,Independant,1,"[1.0,1.0,11.0]","[5.3920959022560964e-12,0.9999999999838237,5.3920959022560964e-12,5.3920959022560964e-12]",1
120,kemi,Ordinary - Registered,4.0,2.0,2.0,Follower,0,"[4.0,2.0,2.0]","[0.8870920723879249,0.11290792761193773,6.871846075699736e-14,6.871846075699736e-14]",0
121,Kiklop,Ordinary - Registered,2.0,0.0,9.0,Independant,1,"[2.0,0.0,9.0]","[2.1950450805460563e-18,3.2742748244735912e-06,0.9999967257251755,2.195043022771949e-18]",2
122,KlaraM,Ordinary - Registered,1.0,0.0,3.0,Independant,1,"[1.0,0.0,3.0]","[2.9478378346225707e-07,3.0123447564622186e-07,0.9999994039817409,1.4460315332993411e-18]",2
123,Kreso,Ordinary - Registered,2.0,6.0,4.0,Catch-upper,2,"[2.0,6.0,4.0]","[5.968969210067356e-13,0.9999999999988429,2.8009603960594996e-13,2.8009603960594996e-13]",1
124,Kristijan Lopac,Ordinary - Registered,3.0,2.0,6.0,Independant,1,"[3.0,2.0,6.0]","[2.3557327986152748e-07,0.9999997644264269,1.46649089726585e-13,1.46649089726585e-13]",1
125,Ksenija Sekulic,Ordinary - Registered,0.0,0.0,12.0,Independant,1,"[0.0,0.0,12.0]","[6.557370382337399e-18,2.724207162259022e-07,0.9999997275792837,6.557370382337399e-18]",2
126,Kskoric,Ordinary - Registered,0.0,0.0,10.0,Independant,1,"[0.0,0.0,10.0]","[2.229155526067766e-18,6.718850469718038e-07,0.999999328114953,2.2291555260634622e-18]",2
127,Kvasina,Ordinary - Registered,5.0,6.0,0.0,Catch-upper,2,"[5.0,6.0,0.0]","[3.019978777584768e-16,4.048744665591154e-07,5.21918377213457e-19,0.9999995951255332]",3
128,Labura,Ordinary - Registered,1.0,2.0,1.0,Catch-upper,2,"[1.0,2.0,1.0]","[0.9639253897100021,0.03607461028968802,1.5491053029115572e-13,1.5491053029115572e-13]",0
129,Lana,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[4.5694707029938897e-07,3.04461400560508e-08,5.71215463928456e-19,0.9999995126067897]",3
130,Lea Svilicic,Ordinary - Registered,5.0,1.0,6.0,Independant,1,"[5.0,1.0,6.0]","[2.724057618907666e-06,0.9999972759411498,6.156808638761748e-13,6.156808638761748e-13]",1
131,Leo Mihaljevic,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[4.5694707029938897e-07,3.04461400560508e-08,5.71215463928456e-19,0.9999995126067897]",3
132,ljubica basic,Ordinary - Registered,12.0,0.0,1.0,Follower,0,"[12.0,0.0,1.0]","[0.0008512717953528407,1.7411411033736343e-10,0.9991487280305248,8.171688828133462e-15]",2
133,Luc,Ordinary - Registered,9.0,2.0,0.0,Follower,0,"[9.0,2.0,0.0]","[5.344107450506846e-07,3.236712472865215e-10,8.456738909442361e-19,0.9999994652655837]",3
134,lucijan,Ordinary - Registered,6.0,1.0,6.0,Mixed - No predominent behavior,3,"[6.0,1.0,6.0]","[7.761692506075728e-06,0.9999922383033649,2.0645147558287673e-12,2.0645147558287673e-12]",1
135,ludmilla,Ordinary - Registered,2.0,0.0,3.0,Independant,1,"[2.0,0.0,3.0]","[3.423011255682906e-07,4.905887464261753e-07,0.999999167110128,1.1408719204625332e-18]",2
136,Luka Skocir,Ordinary - Registered,4.0,5.0,0.0,Catch-upper,2,"[4.0,5.0,0.0]","[1.83820594010697e-12,4.403062643409014e-07,3.1243440379160303e-19,0.9999995596918975]",3
137,luka.voncina,Ordinary - Registered,10.0,2.0,0.0,Follower,0,"[10.0,2.0,0.0]","[5.885485913373616e-07,4.781975671438478e-11,1.5261658614330405e-18,0.999999411403589]",3
138,lukaaa11,Ordinary - Registered,3.0,2.0,1.0,Mixed - No predominent behavior,3,"[3.0,2.0,1.0]","[0.9333715690069647,0.06662843099284599,9.458890726509256e-14,9.458890726509256e-14]",0
