,user,cat,orderseq,orderjump,orderoutOfOrder,nbVideos,orderbehavior,orderClasses,features,probability,prediction
127,Kvasina,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]","[0.0005632442791268854,0.9993412155864733,9.554013439984681e-05]",1
128,Labura,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
129,Lana,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]","[0.018663798719682146,0.00444907713381507,0.9768871241465028]",2
130,Lea Svilicic,Ordinary - Registered,0.5833333333333334,0.25,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.5833333333333334,0.25,0.08333333333333333]","[0.14191060695423263,0.014744563548384621,0.8433448294973828]",2
131,Leo Mihaljevic,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
132,ljubica basic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
133,Luc,Ordinary - Registered,0.7272727272727273,0.18181818181818182,0.0,11.0,Sequential - One after the other,1,"[0.7272727272727273,0.18181818181818182,0.0]","[0.002144063763274153,0.9874806097023581,0.010375326534367672]",1
134,lucijan,Ordinary - Registered,0.23076923076923078,0.38461538461538464,0.3076923076923077,13.0,Sequential - Jumping forward,0,"[0.23076923076923078,0.38461538461538464,0.3076923076923077]","[0.13381893504840262,1.0631138111995038e-16,0.8661810649515972]",2
135,ludmilla,Ordinary - Registered,0.2,0.2,0.4,5.0,Sequential - Jumping forward,0,"[0.2,0.2,0.4]","[0.0014235172264062197,4.6512791331482367e-17,0.9985764827735937]",2
136,Luka Skocir,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]","[0.0008440784731879416,0.9980800330692656,0.0010758884575464867]",1
137,luka.voncina,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
138,lukaaa11,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
139,Lupodimare,Ordinary - Registered,0.0,0.3333333333333333,0.5,6.0,Out of order,3,"[0.0,0.3333333333333333,0.5]","[0.00018569501239375908,6.164818516785648e-17,0.9998143049876063]",2
140,Maja Demaria,Ordinary - Registered,0.9,0.0,0.0,10.0,Sequential - One after the other,1,"[0.9,0.0,0.0]","[0.0005550675063030172,0.9993582152878077,8.671720588949166e-05]",1
141,Maja Grinek,Ordinary - Registered,0.5555555555555556,0.2222222222222222,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.5555555555555556,0.2222222222222222,0.1111111111111111]","[0.16482919591724343,8.044113935267518e-05,0.8350903629434039]",2
142,maja laurence,Ordinary - Registered,0.5,0.0,0.25,4.0,Sequential - One after the other,1,"[0.5,0.0,0.25]","[0.6480606153934666,3.92197502879154e-15,0.35193938460652946]",0
143,MajaM,Ordinary - Registered,0.46153846153846156,0.07692307692307693,0.38461538461538464,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.07692307692307693,0.38461538461538464]","[0.005846040442192098,8.168976596782619e-17,0.9941539595578078]",2
144,Mare_,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]","[0.0017789361522007306,0.9981973846546519,2.367919314744755e-05]",1
145,mare10,Ordinary - Registered,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.2857142857142857,0.14285714285714285]","[0.0974425554099138,3.050418003071488e-09,0.9025574415396682]",2
146,Maria,Ordinary - Registered,0.625,0.125,0.125,8.0,Sequential - One after the other,1,"[0.625,0.125,0.125]","[0.3450269430259728,7.222239939458027e-06,0.6549658347340876]",2
147,Marijana,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]","[0.0006791035583931072,0.9992685135866715,5.2382854935440036e-05]",1
148,MARINO BRZAC,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]","[0.2650489062213085,0.07561520756105702,0.6593358862176344]",2
149,Mario Bursac,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.0,9.0,Sequential - One after the other,1,"[0.6666666666666666,0.2222222222222222,0.0]","[0.0032593280900210654,0.9678067356140496,0.028933936295929552]",1
150,Mario91,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]","[0.0005603169722409387,0.9993630169164087,7.666611135032786e-05]",1
151,Marjan Henigman,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]","[0.00079805663332853,0.998404975417056,0.0007969679496155353]",1
152,Markisha,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
153,Marko Dundovic,Ordinary - Registered,0.8461538461538461,0.0,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.8461538461538461,0.0,0.07692307692307693]","[0.38052860332162414,0.5236505378664222,0.09582085881195365]",1
154,Marko Kralj,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]","[0.0017789361522007306,0.9981973846546519,2.367919314744755e-05]",1
155,Marko L,Ordinary - Registered,0.75,0.08333333333333333,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.75,0.08333333333333333,0.08333333333333333]","[0.42774286977380954,0.19407675644804653,0.37818037377814395]",0
156,marko maticic,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]","[0.14971380463923148,1.595533352281715e-16,0.8502861953607684]",2
157,Maša,Ordinary - Registered,0.7,0.2,0.0,10.0,Sequential - One after the other,1,"[0.7,0.2,0.0]","[0.0025470519127342387,0.9810793880494062,0.016373560037859565]",1
158,masa sarusic,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]","[0.2650489062213085,0.07561520756105702,0.6593358862176344]",2
159,Mate Vitaljic,Ordinary - Registered,0.4,0.3,0.2,10.0,Sequential - Jumping forward,0,"[0.4,0.3,0.2]","[0.10725899978385858,4.099131450427721e-17,0.8927410002161413]",2
160,Matija Osterc,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
161,Matija Turkalj,Ordinary - Registered,0.7272727272727273,0.09090909090909091,0.09090909090909091,11.0,Sequential - One after the other,1,"[0.7272727272727273,0.09090909090909091,0.09090909090909091]","[0.46884312049293464,0.04774037960874593,0.4834164998983194]",2
162,Matjazzavrl,Ordinary - Registered,0.25,0.5,0.125,8.0,Sequential - Jumping forward,0,"[0.25,0.5,0.125]","[0.03369888208339421,1.791625011211228e-09,0.9663011161249807]",2
163,Mauro,Ordinary - Registered,0.3333333333333333,0.3333333333333333,0.2222222222222222,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.3333333333333333,0.2222222222222222]","[0.08225338505206563,3.5508705786404215e-17,0.9177466149479344]",2
164,MedoPiki,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
165,melina lakoš,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]","[0.0008440784731879416,0.9980800330692656,0.0010758884575464867]",1
166,mihaelas,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]","[0.0008440784731879416,0.9980800330692656,0.0010758884575464867]",1
167,Miho,Ordinary - Registered,0.45454545454545453,0.2727272727272727,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.45454545454545453,0.2727272727272727,0.18181818181818182]","[0.13579591714861566,5.880731657591224e-15,0.8642040828513785]",2
168,Milan Kuraš,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]","[0.24982876209794777,0.23544334504166947,0.5147278928603828]",2
169,Mirela,Ordinary - Registered,0.5384615384615384,0.23076923076923078,0.15384615384615385,13.0,Sequential - One after the other,1,"[0.5384615384615384,0.23076923076923078,0.15384615384615385]","[0.19981382799652442,3.52253638843818e-10,0.800186171651222]",2
170,Mirjana Puškarski,Ordinary - Registered,0.625,0.25,0.0,8.0,Sequential - One after the other,1,"[0.625,0.25,0.0]","[0.004653932516173801,0.9357857531492608,0.05956031433456546]",1
171,Mirkomatic,Ordinary - Registered,0.8461538461538461,0.0,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.8461538461538461,0.0,0.07692307692307693]","[0.38052860332162414,0.5236505378664222,0.09582085881195365]",1
172,miroc,Ordinary - Registered,0.6666666666666666,0.0,0.16666666666666666,6.0,Sequential - One after the other,1,"[0.6666666666666666,0.0,0.16666666666666666]","[0.6845740788017999,3.0067280411804288e-12,0.31542592119519336]",0
173,Mišo,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
174,MojcaDamijan,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
175,Nataša,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.0,7.0,Sequential - One after the other,1,"[0.5714285714285714,0.2857142857142857,0.0]","[0.007699393339124489,0.8440050325197644,0.14829557414111103]",1
176,Nejc Kodric,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
177,Nejc Likar,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
178,nenad,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.0,7.0,Sequential - One after the other,1,"[0.5714285714285714,0.2857142857142857,0.0]","[0.007699393339124489,0.8440050325197644,0.14829557414111103]",1
179,NenadS,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
180,Neven,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
181,Niko Vukusic,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
182,niko.mihovilovic,Ordinary - Registered,0.5833333333333334,0.25,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.5833333333333334,0.25,0.08333333333333333]","[0.14191060695423263,0.014744563548384621,0.8433448294973828]",2
183,Nikola Baržic,Ordinary - Registered,0.0,0.0,0.8571428571428571,7.0,Out of order,3,"[0.0,0.0,0.8571428571428571]","[4.340730173895889e-16,2.164944003033741e-16,0.9999999999999993]",2
184,Nikoleta,Ordinary - Registered,0.8,0.1,0.0,10.0,Sequential - One after the other,1,"[0.8,0.1,0.0]","[0.0008090528446152545,0.9982787918613555,0.0009121552940291826]",1
185,nikonikokaoja,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]","[0.14971380463923148,1.595533352281715e-16,0.8502861953607684]",2
186,Oaky,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.0,9.0,Sequential - One after the other,1,"[0.6666666666666666,0.2222222222222222,0.0]","[0.0032593280900210654,0.9678067356140496,0.028933936295929552]",1
187,Ojiga,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
188,Pavle,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
189,pedro,Ordinary - Registered,0.9,0.0,0.0,10.0,Sequential - One after the other,1,"[0.9,0.0,0.0]","[0.0005550675063030172,0.9993582152878077,8.671720588949166e-05]",1
190,peri,Ordinary - Registered,0.6153846153846154,0.07692307692307693,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.6153846153846154,0.07692307692307693,0.23076923076923078]","[0.2086589523766903,1.5429892639649084e-16,0.7913410476233096]",2
191,Pero,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]","[0.0008440784731879416,0.9980800330692656,0.0010758884575464867]",1
192,Petar,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
193,PeterKogej,Ordinary - Registered,0.2727272727272727,0.45454545454545453,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.2727272727272727,0.45454545454545453,0.18181818181818182]","[0.11030461272664001,2.867916510068454e-16,0.8896953872733597]",2
194,PetraP,Ordinary - Registered,0.9,0.0,0.0,10.0,Sequential - One after the other,1,"[0.9,0.0,0.0]","[0.0005550675063030172,0.9993582152878077,8.671720588949166e-05]",1
195,Pina,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
196,Pino,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]","[0.0005603169722409387,0.9993630169164087,7.666611135032786e-05]",1
197,Pirko,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
198,Pjerino,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
199,Pjero,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]","[0.0008440784731879416,0.9980800330692656,0.0010758884575464867]",1
200,Plavac_mali,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
201,plombar,Ordinary - Registered,0.5384615384615384,0.15384615384615385,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.5384615384615384,0.15384615384615385,0.23076923076923078]","[0.16551231944570693,7.550039247739759e-17,0.8344876805542929]",2
202,Pokmon,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
203,Pokret Otoka,Ordinary - Registered,0.7142857142857143,0.14285714285714285,0.0,7.0,Sequential - One after the other,1,"[0.7142857142857143,0.14285714285714285,0.0]","[0.001112936966185659,0.9971618603416368,0.001725202692177601]",1
204,Polona,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
205,Primosius,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
206,RadoL,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
207,Ramo,Ordinary - Registered,0.6923076923076923,0.07692307692307693,0.15384615384615385,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.07692307692307693,0.15384615384615385]","[0.4351540503659442,1.4200449625947235e-09,0.5648459482140109]",2
208,Rebeka,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
209,RobiF,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
210,rocco337,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]","[0.0005603169722409387,0.9993630169164087,7.666611135032786e-05]",1
211,Rok321,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
212,Roki,Ordinary - Registered,0.46153846153846156,0.38461538461538464,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.38461538461538464,0.07692307692307693]","[0.05566208104457829,0.0009070248987520237,0.9434308940566698]",2
213,rokian,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
214,Romana,Ordinary - Registered,0.4444444444444444,0.2222222222222222,0.2222222222222222,9.0,Sequential - One after the other,1,"[0.4444444444444444,0.2222222222222222,0.2222222222222222]","[0.09837764033177687,3.7797747320378496e-17,0.901622359668223]",2
215,ruzica kovacevic,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
216,Sailman,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
217,Salieri,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
218,Sandi,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.0,6.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.0]","[0.0015925023979620175,0.9959483865705753,0.0024591110314626566]",1
219,sawyer,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
220,shrike,Ordinary - Registered,0.5,0.3333333333333333,0.0,6.0,Sequential - One after the other,1,"[0.5,0.3333333333333333,0.0]","[0.01400101911119937,0.5683600597854654,0.4176389211033352]",1
221,Silvestar Tokic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
222,Šimun Zamberlin,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
223,Škatja,Ordinary - Registered,0.2857142857142857,0.42857142857142855,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.2857142857142857,0.42857142857142855,0.14285714285714285]","[0.04462830057891683,1.1354281244797234e-10,0.9553716993075404]",2
224,slipke,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]","[0.0017789361522007306,0.9981973846546519,2.367919314744755e-05]",1
225,splicho,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]","[0.0005913903732523226,0.9993433681700903,6.52414566573117e-05]",1
226,staneb,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
227,Stanojevic,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]","[0.0017789361522007306,0.9981973846546519,2.367919314744755e-05]",1
228,stipica,Ordinary - Registered,0.23076923076923078,0.07692307692307693,0.6153846153846154,13.0,Out of order,3,"[0.23076923076923078,0.07692307692307693,0.6153846153846154]","[3.097032845150272e-07,8.44660934633639e-17,0.9999996902967154]",2
229,TAMARA L.,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]","[0.24982876209794777,0.23544334504166947,0.5147278928603828]",2
230,tasa,Ordinary - Registered,0.7142857142857143,0.14285714285714285,0.0,7.0,Sequential - One after the other,1,"[0.7142857142857143,0.14285714285714285,0.0]","[0.001112936966185659,0.9971618603416368,0.001725202692177601]",1
231,Tatjana,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]","[0.14971380463923148,1.595533352281715e-16,0.8502861953607684]",2
232,tibor,Ordinary - Registered,0.5,0.3333333333333333,0.0,6.0,Sequential - One after the other,1,"[0.5,0.3333333333333333,0.0]","[0.01400101911119937,0.5683600597854654,0.4176389211033352]",1
233,Tina Kiler,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
234,Tjaša,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
235,Tojo,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
236,tomaz1961,Ordinary - Registered,0.5833333333333334,0.16666666666666666,0.16666666666666666,12.0,Sequential - One after the other,1,"[0.5833333333333334,0.16666666666666666,0.16666666666666666]","[0.24136927604889394,7.466926797451249e-12,0.7586307239436391]",2
237,tomba,Ordinary - Registered,0.6666666666666666,0.1111111111111111,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.6666666666666666,0.1111111111111111,0.1111111111111111]","[0.3991424189437587,0.00037631299570458563,0.6004812680605368]",2
238,Tome,Ordinary - Registered,0.5714285714285714,0.14285714285714285,0.14285714285714285,7.0,Sequential - One after the other,1,"[0.5714285714285714,0.14285714285714285,0.14285714285714285]","[0.2875334583860393,2.2253850998457868e-08,0.7124665193601096]",2
239,Tomica,Ordinary - Registered,0.7142857142857143,0.14285714285714285,0.0,7.0,Sequential - One after the other,1,"[0.7142857142857143,0.14285714285714285,0.0]","[0.001112936966185659,0.9971618603416368,0.001725202692177601]",1
240,Tomislav Cipcic,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
241,TonCa,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
242,toni88,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
243,Tpk,Ordinary - Registered,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.2857142857142857,0.14285714285714285]","[0.0974425554099138,3.050418003071488e-09,0.9025574415396682]",2
244,Trojan,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]","[0.0008440784731879416,0.9980800330692656,0.0010758884575464867]",1
245,Urle,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
246,Urosv,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
247,vanja123,Ordinary - Registered,0.0,0.4,0.4,5.0,Sequential - Jumping forward,0,"[0.0,0.4,0.4]","[0.00434790867436505,7.335614522496808e-17,0.9956520913256348]",2
248,Vedran,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]","[0.00079805663332853,0.998404975417056,0.0007969679496155353]",1
249,Vedran_499,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.42857142857142855,7.0,Mix,2,"[0.14285714285714285,0.2857142857142857,0.42857142857142855]","[0.0015272324075859094,3.2155571266112463e-17,0.9984727675924141]",2
250,vedrana,Ordinary - Registered,0.0,0.25,0.5,4.0,Out of order,3,"[0.0,0.25,0.5]","[4.969827228081553e-05,1.544825368218832e-16,0.999950301727719]",2
251,vibord,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
252,vid,Ordinary - Registered,0.6363636363636364,0.18181818181818182,0.09090909090909091,11.0,Sequential - One after the other,1,"[0.6363636363636364,0.18181818181818182,0.09090909090909091]","[0.24197190816840972,0.014720967454649,0.7433071243769412]",2
253,Vido,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]","[0.14971380463923148,1.595533352281715e-16,0.8502861953607684]",2
254,Vido Repanšek,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
