,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,regularitybehavior,regularityClasses,features,probability,prediction
222,Šimun Zamberlin,Ordinary - Registered,11.0,1.0,1.0,Follower,0,"[11.0,1.0,1.0]","[0.9999999995573835,4.421339208749429e-10,4.825810257716332e-13]",0
223,Škatja,Ordinary - Registered,2.0,1.0,4.0,Independant,1,"[2.0,1.0,4.0]","[0.02462309524364958,0.9637807113498527,0.011596193406497868]",1
224,slipke,Ordinary - Registered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
225,splicho,Ordinary - Registered,2.0,6.0,0.0,Catch-upper,2,"[2.0,6.0,0.0]","[0.8812797889625094,3.102040075561531e-13,0.11872021103718047]",0
226,staneb,Ordinary - Registered,9.0,3.0,0.0,Follower,0,"[9.0,3.0,0.0]","[0.9999971191899854,2.8808098179357007e-06,1.9681172455849188e-13]",0
227,Stanojevic,Ordinary - Registered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
228,stipica,Ordinary - Registered,5.0,5.0,3.0,Mixed - No predominent behavior,3,"[5.0,5.0,3.0]","[0.9999999999991869,4.065780257652895e-13,4.0657801807800026e-13]",0
229,TAMARA L.,Ordinary - Registered,11.0,1.0,1.0,Follower,0,"[11.0,1.0,1.0]","[0.9999999995573835,4.421339208749429e-10,4.825810257716332e-13]",0
230,tasa,Ordinary - Registered,5.0,2.0,0.0,Follower,0,"[5.0,2.0,0.0]","[0.9884314132214602,0.011568586778470624,6.923048808846479e-14]",0
231,Tatjana,Ordinary - Registered,2.0,2.0,0.0,Follower,0,"[2.0,2.0,0.0]","[0.9960211162822076,0.0016769719813563258,0.002301911736436017]",0
232,tibor,Ordinary - Registered,1.0,2.0,3.0,Mixed - No predominent behavior,3,"[1.0,2.0,3.0]","[0.09442953148668118,0.00019262136607516288,0.9053778471472436]",2
233,Tina Kiler,Ordinary - Registered,6.0,7.0,0.0,Catch-upper,2,"[6.0,7.0,0.0]","[0.9999999999982044,8.978068817787998e-13,8.978068817787998e-13]",0
234,Tjaša,Ordinary - Registered,8.0,2.0,2.0,Follower,0,"[8.0,2.0,2.0]","[0.9991912215238654,0.0008087784759879784,1.4671384786422896e-13]",0
235,Tojo,Ordinary - Registered,3.0,9.0,0.0,Catch-upper,2,"[3.0,9.0,0.0]","[0.9999724063504156,6.06574323186235e-12,2.7593643518639484e-05]",0
236,tomaz1961,Ordinary - Registered,8.0,2.0,2.0,Follower,0,"[8.0,2.0,2.0]","[0.9991912215238654,0.0008087784759879784,1.4671384786422896e-13]",0
237,tomba,Ordinary - Registered,5.0,4.0,0.0,Follower,0,"[5.0,4.0,0.0]","[0.999999999998255,1.6554645778050964e-12,8.957261706048244e-14]",0
238,Tome,Ordinary - Registered,5.0,2.0,0.0,Follower,0,"[5.0,2.0,0.0]","[0.9884314132214602,0.011568586778470624,6.923048808846479e-14]",0
239,Tomica,Ordinary - Registered,7.0,0.0,0.0,Follower,0,"[7.0,0.0,0.0]","[0.9999965940316932,3.40596818484712e-06,1.219505078433491e-13]",0
240,Tomislav Cipcic,Ordinary - Registered,1.0,1.0,2.0,Independant,1,"[1.0,1.0,2.0]","[0.16597056152078377,0.2858773205015876,0.5481521179776286]",2
241,TonCa,Ordinary - Registered,4.0,3.0,6.0,Mixed - No predominent behavior,3,"[4.0,3.0,6.0]","[0.9989876555715635,0.0010123443289098912,9.952653001478268e-11]",0
242,toni88,Ordinary - Registered,3.0,6.0,3.0,Catch-upper,2,"[3.0,6.0,3.0]","[0.9999879210381074,6.646447122003405e-13,1.2078961227918681e-05]",0
243,Tpk,Ordinary - Registered,5.0,1.0,1.0,Follower,0,"[5.0,1.0,1.0]","[0.873813044577985,0.12618695542195316,6.184508288333279e-14]",0
244,Trojan,Ordinary - Registered,8.0,0.0,1.0,Follower,0,"[8.0,0.0,1.0]","[0.9999999492320031,5.0767867395215577e-08,1.296300588024106e-13]",0
245,Urle,Ordinary - Registered,1.0,2.0,10.0,Independant,1,"[1.0,2.0,10.0]","[1.3017450715679443e-08,0.030329345140137628,0.9696706418424117]",2
246,Urosv,Ordinary - Registered,10.0,2.0,0.0,Follower,0,"[10.0,2.0,0.0]","[0.9999963133593909,3.686640336032588e-06,2.7305048293007815e-13]",0
247,vanja123,Ordinary - Registered,3.0,2.0,0.0,Follower,0,"[3.0,2.0,0.0]","[0.9943796958679857,0.0056203038065516285,3.254627601504991e-10]",0
248,Vedran,Ordinary - Registered,6.0,1.0,4.0,Follower,0,"[6.0,1.0,4.0]","[0.6656724020532264,0.3343275979459236,8.499291247071249e-13]",0
249,Vedran_499,Ordinary - Registered,3.0,1.0,3.0,Mixed - No predominent behavior,3,"[3.0,1.0,3.0]","[0.13632219861840883,0.8636777965753183,4.806272789958565e-09]",1
250,vedrana,Ordinary - Registered,2.0,1.0,1.0,Follower,0,"[2.0,1.0,1.0]","[0.4388442156638993,0.5599896134224762,0.00116617091362454]",1
251,vibord,Ordinary - Registered,2.0,3.0,8.0,Independant,1,"[2.0,3.0,8.0]","[2.3833463813851536e-05,1.8729742948025114e-07,0.9999759792387567]",2
252,vid,Ordinary - Registered,3.0,4.0,4.0,Mixed - No predominent behavior,3,"[3.0,4.0,4.0]","[0.9999891970158025,1.2120653611501267e-12,1.080298298549145e-05]",0
253,Vido,Ordinary - Registered,2.0,2.0,0.0,Follower,0,"[2.0,2.0,0.0]","[0.9960211162822076,0.0016769719813563258,0.002301911736436017]",0
254,Vido Repanšek,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
255,Viktor Vic,Ordinary - Registered,7.0,1.0,3.0,Follower,0,"[7.0,1.0,3.0]","[0.9906363274851794,0.009363672514501386,3.192428386990659e-13]",0
256,vini,Ordinary - Registered,1.0,0.0,9.0,Independant,1,"[1.0,0.0,9.0]","[1.0310688470070205e-09,0.9859019220857477,0.014098076883183618]",1
257,Vlado,Ordinary - Registered,9.0,0.0,2.0,Follower,0,"[9.0,0.0,2.0]","[0.9999999993503669,6.493337229624897e-10,2.9941445088015584e-13]",0
258,Vlajko,Ordinary - Registered,2.0,0.0,11.0,Independant,1,"[2.0,0.0,11.0]","[5.402284286171084e-13,0.9957522127907812,0.004247787208678498]",1
259,Vlasta Svetina,Ordinary - Registered,0.0,0.0,12.0,Independant,1,"[0.0,0.0,12.0]","[1.5100742890988326e-13,0.9999999804164458,1.9583403246690514e-08]",1
260,wavemaker,Ordinary - Registered,5.0,5.0,2.0,Mixed - No predominent behavior,3,"[5.0,5.0,2.0]","[0.9999999999996774,1.613350370707891e-13,1.6133503385603467e-13]",0
261,x,Ordinary - Registered,0.0,0.0,10.0,Independant,1,"[0.0,0.0,10.0]","[6.515837680255492e-12,0.9999992239919686,7.760015155333229e-07]",1
262,Žanetic,Ordinary - Registered,1.0,6.0,6.0,Mixed - No predominent behavior,3,"[1.0,6.0,6.0]","[0.0027059642029066025,8.938822233527068e-13,0.9972940357961995]",2
263,Zdenko,Ordinary - Registered,1.0,2.0,2.0,Mixed - No predominent behavior,3,"[1.0,2.0,2.0]","[0.2112359310749644,0.00014049841736244207,0.7886235705076732]",2
264,Zdenko Škrlj,Ordinary - Registered,5.0,1.0,7.0,Independant,1,"[5.0,1.0,7.0]","[0.0001817455435691816,0.9998182544557889,6.4192526316009e-13]",1
265,Zdravko,Ordinary - Registered,4.0,2.0,7.0,Independant,1,"[4.0,2.0,7.0]","[0.002457063905025527,0.9975429360885595,6.4149677791127844e-12]",1
266,Živko Joncic,Ordinary - Registered,1.0,11.0,1.0,Catch-upper,2,"[1.0,11.0,1.0]","[0.00993431167087103,1.0127748755507966e-12,0.9900656883281163]",2
267,zvjezdana,Ordinary - Registered,2.0,2.0,1.0,Mixed - No predominent behavior,3,"[2.0,2.0,1.0]","[0.9921755514577496,0.0019689084116465416,0.0058555401306039055]",0
268,Zvonimir Matic,Ordinary - Registered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[0.30238341263303053,9.163354236012502e-11,0.6976165872753359]",2
269,003136ec-fd3a-908e-de7e-45301e3b,Ordinary - Unregistered,2.0,3.0,0.0,Catch-upper,2,"[2.0,3.0,0.0]","[0.9939932304397343,6.8271627523903355e-09,0.006006762733102936]",0
270,0064c3fd-7e6e-425c-f754-34b889c8,Ordinary - Unregistered,0.0,0.0,6.0,Independant,1,"[0.0,0.0,6.0]","[2.5580638086816446e-05,0.9997300481269202,0.00024437123499299973]",1
271,037820a7-a143-422c-3ebd-3553d373,Ordinary - Unregistered,1.0,6.0,0.0,Catch-upper,2,"[1.0,6.0,0.0]","[0.09164669079561864,4.614063978850351e-14,0.9083533092043352]",2
272,04745589-295d-158e-c6c0-ef24f730,Ordinary - Unregistered,4.0,0.0,0.0,Follower,0,"[4.0,0.0,0.0]","[0.9554480326689787,0.04455196733085561,1.6563920953016744e-13]",0
273,04a7d779-f053-b1a3-386e-82d69979,Ordinary - Unregistered,0.0,0.0,7.0,Independant,1,"[0.0,0.0,7.0]","[1.1514914060598648e-06,0.9999279288929124,7.091961568152456e-05]",1
274,068616a9-816f-e8e4-d737-6ddba1df,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
275,06f2e041-7a2d-a0ab-5f48-fd01f0a2,Ordinary - Unregistered,1.0,10.0,0.0,Catch-upper,2,"[1.0,10.0,0.0]","[0.008558346837693789,2.6044415813390937e-13,0.9914416531620458]",2
276,0781bbba-c179-f93c-1116-8d684911,Ordinary - Unregistered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
277,08ee9ac0-7656-2b25-ce41-b44d758e,Ordinary - Unregistered,4.0,0.0,0.0,Follower,0,"[4.0,0.0,0.0]","[0.9554480326689787,0.04455196733085561,1.6563920953016744e-13]",0
278,0a84077c-d3fa-56fc-803c-a863ca7e,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
279,0c9621b0-ff94-77e8-727f-5420882d,Ordinary - Unregistered,6.0,0.0,0.0,Follower,0,"[6.0,0.0,0.0]","[0.9998567007727535,0.0001432992271273752,1.1908713270256877e-13]",0
280,0e59235e-e51a-a5cd-e0ba-0fffe847,Ordinary - Unregistered,1.0,10.0,0.0,Catch-upper,2,"[1.0,10.0,0.0]","[0.008558346837693789,2.6044415813390937e-13,0.9914416531620458]",2
281,101c246c-3f77-d919-ca38-8d19141e,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
282,10355f7a-f86a-830c-cbf1-fb3c40b6,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
283,135b42ab-ac52-d14a-c37c-6ffeca28,Ordinary - Unregistered,0.0,0.0,8.0,Independant,1,"[0.0,0.0,8.0]","[3.256148957229697e-08,0.9999819670223857,1.800041612462068e-05]",1
284,1459b8fd-ecab-4e30-1fc9-3d649648,Ordinary - Unregistered,1.0,6.0,0.0,Catch-upper,2,"[1.0,6.0,0.0]","[0.09164669079561864,4.614063978850351e-14,0.9083533092043352]",2
285,1496b095-5b5f-4c47-5066-49bcf5d6,Ordinary - Unregistered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[0.30238341263303053,9.163354236012502e-11,0.6976165872753359]",2
286,14a5fec5-bb5b-cac7-e40e-9a363e5c,Ordinary - Unregistered,1.0,2.0,1.0,Catch-upper,2,"[1.0,2.0,1.0]","[0.3306615623743089,0.00011414006065162359,0.6692242975650394]",2
287,16ba8f74-d9b7-c724-98c5-f31f43be,Ordinary - Unregistered,5.0,1.0,0.0,Follower,0,"[5.0,1.0,0.0]","[0.8875946960825982,0.1124053039173249,7.687319975527788e-14]",0
288,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,Ordinary - Unregistered,1.0,7.0,0.0,Catch-upper,2,"[1.0,7.0,0.0]","[0.05451815094247088,5.47300456062943e-14,0.9454818490574745]",2
289,195b9f52-3731-37a7-2c74-19d11cb6,Ordinary - Unregistered,0.0,0.0,7.0,Independant,1,"[0.0,0.0,7.0]","[1.1514914060598648e-06,0.9999279288929124,7.091961568152456e-05]",1
290,196bc15c-4aac-31e9-7c5d-3599ce10,Ordinary - Unregistered,1.0,0.0,4.0,Independant,1,"[1.0,0.0,4.0]","[0.004015972030616868,0.8105904101793369,0.18539361779004626]",1
291,1acb1c12-47e9-e408-eaf9-8167947a,Ordinary - Unregistered,4.0,0.0,0.0,Follower,0,"[4.0,0.0,0.0]","[0.9554480326689787,0.04455196733085561,1.6563920953016744e-13]",0
292,1b1cd7ac-2f24-1493-5d7e-d7873af1,Ordinary - Unregistered,3.0,0.0,1.0,Follower,0,"[3.0,0.0,1.0]","[0.687416355099859,0.312583644822319,7.782204573205707e-11]",0
293,1beb31a1-0aea-018e-a7e1-82085ffa,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
294,1c09a110-d9c3-2442-9f5d-aee802c0,Ordinary - Unregistered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[0.30238341263303053,9.163354236012502e-11,0.6976165872753359]",2
295,1cb07e56-7b73-0087-0a17-3e9c1f88,Ordinary - Unregistered,4.0,4.0,0.0,Follower,0,"[4.0,4.0,0.0]","[0.9999999999997151,1.9129962137820502e-13,9.349831661649374e-14]",0
296,1d3ed189-1162-0dd0-bcb2-fda83a50,Ordinary - Unregistered,5.0,0.0,1.0,Follower,0,"[5.0,0.0,1.0]","[0.9959179261367237,0.004082073863166754,1.0952508833791494e-13]",0
297,1d66d118-9cc1-c6cd-c61c-02ca2ddc,Ordinary - Unregistered,2.0,3.0,0.0,Catch-upper,2,"[2.0,3.0,0.0]","[0.9939932304397343,6.8271627523903355e-09,0.006006762733102936]",0
298,1d90b45b-4d8d-42a1-43cd-38e1a241,Ordinary - Unregistered,4.0,0.0,1.0,Follower,0,"[4.0,0.0,1.0]","[0.9458435470517311,0.0541564529481383,1.3051712520376778e-13]",0
299,1e81aa64-c3c9-ee4f-ce3c-c4248be0,Ordinary - Unregistered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
300,1f7f3fd7-7087-1461-cf43-9add2172,Ordinary - Unregistered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
301,1f96865d-62d4-b049-1788-cfccf324,Ordinary - Unregistered,4.0,0.0,0.0,Follower,0,"[4.0,0.0,0.0]","[0.9554480326689787,0.04455196733085561,1.6563920953016744e-13]",0
302,20e2fc85-7d0f-8a2c-b651-4b811a97,Ordinary - Unregistered,2.0,1.0,3.0,Mixed - No predominent behavior,3,"[2.0,1.0,3.0]","[0.1121547275929468,0.8810910197720687,0.00675425263498454]",1
303,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,Ordinary - Unregistered,1.0,11.0,0.0,Catch-upper,2,"[1.0,11.0,0.0]","[0.004240409674802022,6.29179720931553e-13,0.9957595903245688]",2
304,258d2e1f-e3e8-2612-8285-895fb96d,Ordinary - Unregistered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
305,269144fa-ef0e-c81e-52ff-df9a348a,Ordinary - Unregistered,3.0,9.0,1.0,Catch-upper,2,"[3.0,9.0,1.0]","[0.9999439791012472,4.4791973529622766e-12,5.6020894273675906e-05]",0
306,270174bf-baf8-aab4-48e3-139fcf47,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
307,27080783-250a-3521-f816-6e7b29cf,Ordinary - Unregistered,5.0,0.0,0.0,Follower,0,"[5.0,0.0,0.0]","[0.9965831528670026,0.0034168471328639496,1.334640441688722e-13]",0
308,2c1d08f2-a1ba-6915-db46-1a7721b9,Ordinary - Unregistered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
309,2ee1d86b-74ed-47f3-5733-61cc4821,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
310,2f7f0e40-1234-75db-2bcf-bdfbdfbc,Ordinary - Unregistered,6.0,0.0,0.0,Follower,0,"[6.0,0.0,0.0]","[0.9998567007727535,0.0001432992271273752,1.1908713270256877e-13]",0
311,31a88be4-13ad-06c2-119c-3551a490,Ordinary - Unregistered,1.0,2.0,7.0,Independant,1,"[1.0,2.0,7.0]","[8.749488026786458e-05,0.0016473599970127726,0.9982651451227194]",2
312,3244a4c0-3f85-3017-5694-2f5647cb,Ordinary - Unregistered,6.0,0.0,1.0,Follower,0,"[6.0,0.0,1.0]","[0.9998332164708855,0.00016678352901367932,1.0088838546756156e-13]",0
313,3447bacb-f54d-55c2-592f-3a3ff765,Ordinary - Unregistered,2.0,6.0,0.0,Catch-upper,2,"[2.0,6.0,0.0]","[0.8812797889625094,3.102040075561531e-13,0.11872021103718047]",0
314,34a3d1d8-74eb-8a4e-0506-b9ca1551,Ordinary - Unregistered,1.0,0.0,3.0,Independant,1,"[1.0,0.0,3.0]","[0.020556444860231865,0.7733554243896157,0.20608813075015242]",1
315,35813a40-7aa6-5336-237b-c93f1759,Ordinary - Unregistered,1.0,7.0,0.0,Catch-upper,2,"[1.0,7.0,0.0]","[0.05451815094247088,5.47300456062943e-14,0.9454818490574745]",2
316,35ce5334-aefb-9a61-d1c3-7f01a776,Ordinary - Unregistered,1.0,7.0,0.0,Catch-upper,2,"[1.0,7.0,0.0]","[0.05451815094247088,5.47300456062943e-14,0.9454818490574745]",2
317,35daa597-4591-5a82-57a9-1fba2635,Ordinary - Unregistered,4.0,0.0,0.0,Follower,0,"[4.0,0.0,0.0]","[0.9554480326689787,0.04455196733085561,1.6563920953016744e-13]",0
318,367365a7-8d2a-3b00-f3e3-f877be3c,Ordinary - Unregistered,2.0,5.0,0.0,Catch-upper,2,"[2.0,5.0,0.0]","[0.9558974483261387,1.9995790516093798e-13,0.04410255167366128]",0
319,3681eecc-7864-c1c1-0024-4d4234be,Ordinary - Unregistered,1.0,9.0,0.0,Catch-upper,2,"[1.0,9.0,0.0]","[0.01658648884603013,1.2945478567424293e-13,0.9834135111538403]",2
320,36a67ef1-5f22-7846-3f95-faec67c9,Ordinary - Unregistered,4.0,0.0,0.0,Follower,0,"[4.0,0.0,0.0]","[0.9554480326689787,0.04455196733085561,1.6563920953016744e-13]",0
321,37ada581-75c2-560e-2eb3-3db3a231,Ordinary - Unregistered,1.0,4.0,0.0,Catch-upper,2,"[1.0,4.0,0.0]","[0.21668351563603855,5.3653936750302755e-14,0.7833164843639078]",2
322,37d73652-37e1-cc5f-6c84-3b9a528c,Ordinary - Unregistered,5.0,1.0,0.0,Follower,0,"[5.0,1.0,0.0]","[0.8875946960825982,0.1124053039173249,7.687319975527788e-14]",0
323,380773a6-f975-22c8-187e-e40fe702,Ordinary - Unregistered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
324,3be7d5a2-f78e-3472-e5ac-fa27ed08,Ordinary - Unregistered,0.0,0.0,6.0,Independant,1,"[0.0,0.0,6.0]","[2.5580638086816446e-05,0.9997300481269202,0.00024437123499299973]",1
325,3c370e25-1bd5-c34b-ec40-31117752,Ordinary - Unregistered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[0.30238341263303053,9.163354236012502e-11,0.6976165872753359]",2
326,3d524e1d-934c-6d53-022b-983c91c3,Ordinary - Unregistered,2.0,1.0,2.0,Mixed - No predominent behavior,3,"[2.0,1.0,2.0]","[0.2840602972149195,0.712894170131018,0.0030455326540625343]",1
327,3d7d0f75-dda5-644d-e527-018ff340,Ordinary - Unregistered,1.0,1.0,9.0,Independant,1,"[1.0,1.0,9.0]","[8.915931244099483e-09,0.9452037020677561,0.05479628901631265]",1
328,3dc06a27-afe4-b105-1f3c-997851c7,Ordinary - Unregistered,2.0,8.0,1.0,Catch-upper,2,"[2.0,8.0,1.0]","[0.3947632048510782,5.533760497608384e-13,0.6052367951483684]",2
329,3e4346e0-6285-8776-f373-101eac22,Ordinary - Unregistered,5.0,0.0,0.0,Follower,0,"[5.0,0.0,0.0]","[0.9965831528670026,0.0034168471328639496,1.334640441688722e-13]",0
330,3e713aeb-dcb2-d6a8-962f-635df3e8,Ordinary - Unregistered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
331,3fc2e2fe-697a-3255-1a17-4204819d,Ordinary - Unregistered,4.0,4.0,0.0,Follower,0,"[4.0,4.0,0.0]","[0.9999999999997151,1.9129962137820502e-13,9.349831661649374e-14]",0
332,404bc704-6703-c3c0-815e-55c756c5,Ordinary - Unregistered,7.0,0.0,1.0,Follower,0,"[7.0,0.0,1.0]","[0.9999961404726713,3.85952722227148e-06,1.0659017147727037e-13]",0
333,4196e8ee-e405-a1e1-4a7f-7d9149a5,Ordinary - Unregistered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[0.30238341263303053,9.163354236012502e-11,0.6976165872753359]",2
334,42779e7e-90bc-7eac-5aa8-a9874f90,Ordinary - Unregistered,4.0,3.0,4.0,Mixed - No predominent behavior,3,"[4.0,3.0,4.0]","[0.9999863869548397,1.361304424068243e-05,9.196419773138546e-13]",0
335,440d90ef-c7d7-0530-608e-8c0fc440,Ordinary - Unregistered,5.0,2.0,0.0,Follower,0,"[5.0,2.0,0.0]","[0.9884314132214602,0.011568586778470624,6.923048808846479e-14]",0
336,459f5319-edaf-cd53-126d-fdfb12a5,Ordinary - Unregistered,4.0,0.0,0.0,Follower,0,"[4.0,0.0,0.0]","[0.9554480326689787,0.04455196733085561,1.6563920953016744e-13]",0
337,45d78fe4-7d30-3b18-371e-57bb06c7,Ordinary - Unregistered,1.0,8.0,0.0,Catch-upper,2,"[1.0,8.0,0.0]","[0.03078644227326041,7.706250782019228e-14,0.9692135577266625]",2
338,4641102c-f3d3-3878-6d00-1c49a28c,Ordinary - Unregistered,3.0,1.0,7.0,Independant,1,"[3.0,1.0,7.0]","[1.75355059351729e-05,0.9999822321956189,2.3229844587363712e-07]",1
339,4a97a9b2-74fe-c9f3-625f-0176bddf,Ordinary - Unregistered,2.0,0.0,4.0,Independant,1,"[2.0,0.0,4.0]","[0.013534052626660251,0.9821142635850226,0.00435168378831717]",1
340,4b21d918-4ac0-0787-3094-37c9432c,Ordinary - Unregistered,5.0,6.0,0.0,Catch-upper,2,"[5.0,6.0,0.0]","[0.9999999999994398,2.8010700266269166e-13,2.8010700266269166e-13]",0
341,4bd540f6-e34d-4592-7680-b2735389,Ordinary - Unregistered,6.0,0.0,0.0,Follower,0,"[6.0,0.0,0.0]","[0.9998567007727535,0.0001432992271273752,1.1908713270256877e-13]",0
342,4c4ac589-35f5-76e3-d0a3-fedab6c6,Ordinary - Unregistered,4.0,2.0,2.0,Follower,0,"[4.0,2.0,2.0]","[0.9790206700612973,0.0209793299386148,8.782424159843952e-14]",0
343,4cc576c8-f218-94be-fef3-4b6fd86e,Ordinary - Unregistered,4.0,4.0,5.0,Mixed - No predominent behavior,3,"[4.0,4.0,5.0]","[0.9999999999721023,1.9402763836718035e-11,8.49495156685503e-12]",0
344,4d0232bc-202c-ee3a-e58c-e543848c,Ordinary - Unregistered,5.0,0.0,2.0,Follower,0,"[5.0,0.0,2.0]","[0.9922612224822418,0.007738777517599325,1.5890065097621156e-13]",0
345,4debb215-7398-77ba-2243-94adbd31,Ordinary - Unregistered,1.0,0.0,8.0,Independant,1,"[1.0,0.0,8.0]","[5.5504393771242545e-08,0.9684870229220993,0.031512921573506984]",1
346,4f3771bf-0850-3813-5de9-d0592e66,Ordinary - Unregistered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
347,502b50b6-08fa-b922-9bb6-dbd4d848,Ordinary - Unregistered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
348,53cb26b0-7222-8eb4-ef0d-29e7a801,Ordinary - Unregistered,1.0,4.0,0.0,Catch-upper,2,"[1.0,4.0,0.0]","[0.21668351563603855,5.3653936750302755e-14,0.7833164843639078]",2
349,5409088d-b542-9cac-7fac-9ab00271,Ordinary - Unregistered,3.0,9.0,0.0,Catch-upper,2,"[3.0,9.0,0.0]","[0.9999724063504156,6.06574323186235e-12,2.7593643518639484e-05]",0
350,5414140f-2888-40b9-e1e2-7984f327,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
351,54e1c86d-b289-f693-e3a3-5d393778,Ordinary - Unregistered,5.0,1.0,0.0,Follower,0,"[5.0,1.0,0.0]","[0.8875946960825982,0.1124053039173249,7.687319975527788e-14]",0
352,554558f4-55fd-07df-ddb3-309239ad,Ordinary - Unregistered,2.0,0.0,2.0,Follower,0,"[2.0,0.0,2.0]","[0.19087986840354798,0.8080352145016093,0.0010849170948426074]",1
353,56a4a9a0-7ab4-0a76-0621-b118321b,Ordinary - Unregistered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
354,57b97824-05f2-21af-72f1-95f7d697,Ordinary - Unregistered,1.0,4.0,3.0,Catch-upper,2,"[1.0,4.0,3.0]","[0.08603861700472527,4.267549882787537e-14,0.9139613829952321]",2
355,5bfa22fd-175f-02d2-c446-36369a81,Ordinary - Unregistered,1.0,0.0,10.0,Independant,1,"[1.0,0.0,10.0]","[1.1989186355370804e-11,0.9945331258175254,0.005466874170485338]",1
356,5d557ed3-ce5e-24e4-a66e-aa966d6c,Ordinary - Unregistered,2.0,1.0,1.0,Follower,0,"[2.0,1.0,1.0]","[0.4388442156638993,0.5599896134224762,0.00116617091362454]",1
357,5e97ad83-2b2c-529e-f831-deac0066,Ordinary - Unregistered,1.0,3.0,1.0,Catch-upper,2,"[1.0,3.0,1.0]","[0.2707398812364225,9.471092058235077e-11,0.7292601186688665]",2
358,5fad3306-616d-9b57-3411-75efa34d,Ordinary - Unregistered,2.0,2.0,2.0,Mixed - No predominent behavior,3,"[2.0,2.0,2.0]","[0.9758910734240311,0.0036329699239543546,0.020475956652014578]",0
359,600fadb1-9f64-3bf4-b14c-378c45ae,Ordinary - Unregistered,5.0,0.0,6.0,Independant,1,"[5.0,0.0,6.0]","[0.08571228956517214,0.9142877104158571,1.8970721211425222e-11]",1
360,6408c27b-ab13-d145-5b44-24f30202,Ordinary - Unregistered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[0.30238341263303053,9.163354236012502e-11,0.6976165872753359]",2
